timestamp,open,high,low,close,volume,quote_volume,trades,close_time
1757757600000,0.0737400,0.0739200,0.0734300,0.0735500,1358595,100062.7788800,1034,1757761199999
1757761200000,0.0735400,0.0736500,0.0727900,0.0734700,1948548,142768.4280900,1698,1757764799999
1757764800000,0.0734500,0.0737100,0.0733000,0.0736500,593641,43594.1065800,841,1757768399999
1757768400000,0.0736600,0.0740900,0.0721400,0.0730500,4894443,358936.7163100,3088,1757771999999
1757772000000,0.0731000,0.0737300,0.0725900,0.0733700,2401488,175832.7169200,2026,1757775599999
1757775600000,0.0733600,0.0737200,0.0727900,0.0730200,1781120,130367.5971400,1834,1757779199999
1757779200000,0.0730400,0.0732400,0.0722400,0.0725000,1670145,121515.9746100,1799,1757782799999
1757782800000,0.0725400,0.0728600,0.0720300,0.0726900,1528029,110650.8179500,1534,1757786399999
1757786400000,0.0726700,0.0728000,0.0724400,0.0727200,520034,37771.9433100,732,1757789999999
1757790000000,0.0726900,0.0731400,0.0726400,0.0731200,736580,53654.1062900,937,1757793599999
1757793600000,0.0730900,0.0734800,0.0729900,0.0733000,1236269,90519.3443400,1315,1757797199999
1757797200000,0.0733100,0.0736100,0.0732900,0.0734600,491499,36111.8628300,810,1757800799999
1757800800000,0.0734500,0.0735900,0.0730000,0.0735600,1886519,138179.3294300,1363,1757804399999
1757804400000,0.0735600,0.0735600,0.0731800,0.0733000,599553,43954.4007200,593,1757807999999
1757808000000,0.0733000,0.0735300,0.0728600,0.0730700,781820,57289.3664600,823,1757811599999
1757811600000,0.0730600,0.0730600,0.0723200,0.0728100,2500096,181418.5181900,1746,1757815199999
1757815200000,0.0728100,0.0730300,0.0726200,0.0728700,1744763,127085.0986700,1414,1757818799999
1757818800000,0.0728700,0.0728900,0.0719300,0.0720400,981233,70977.7760600,976,1757822399999
1757822400000,0.0720800,0.0722200,0.0718500,0.0721000,2225640,160323.1256400,1685,1757825999999
1757826000000,0.0721100,0.0727100,0.0721000,0.0725900,910979,65985.7933700,698,1757829599999
1757829600000,0.0726000,0.0726200,0.0718600,0.0722200,856795,61918.6630300,683,1757833199999
1757833200000,0.0722200,0.0722200,0.0718700,0.0721300,397980,28675.5326300,579,1757836799999
1757836800000,0.0721200,0.0723300,0.0718800,0.0720700,642342,46300.6427800,824,1757840399999
1757840400000,0.0720700,0.0723700,0.0719400,0.0722400,625057,45078.9549800,800,1757843999999
1757844000000,0.0722500,0.0724800,0.0721800,0.0724000,516314,37339.9247200,660,1757847599999
1757847600000,0.0724000,0.0724200,0.0710100,0.0712200,2161516,154806.7761500,2275,1757851199999
1757851200000,0.0712300,0.0714100,0.0705300,0.0707200,2007991,142378.2642000,1999,1757854799999
1757854800000,0.0707400,0.0710000,0.0701400,0.0703400,1170052,82728.3600700,1268,1757858399999
1757858400000,0.0703500,0.0710500,0.0702400,0.0706500,2763715,195122.7707000,2270,1757861999999
1757862000000,0.0706700,0.0707500,0.0701900,0.0705400,786488,55422.4145300,1199,1757865599999
1757865600000,0.0705400,0.0710200,0.0704800,0.0709300,595509,42156.0980100,997,1757869199999
1757869200000,0.0709600,0.0714600,0.0709000,0.0712600,410721,29214.7136800,831,1757872799999
1757872800000,0.0712300,0.0712300,0.0707800,0.0707900,210621,14952.1466200,671,1757876399999
1757876400000,0.0707900,0.0712200,0.0707100,0.0710000,394039,27963.2553600,779,1757879999999
1757880000000,0.0710300,0.0719000,0.0710200,0.0711400,1085216,77539.4094300,1049,1757883599999
1757883600000,0.0711300,0.0714700,0.0708600,0.0712600,589289,41944.8050200,776,1757887199999
1757887200000,0.0712700,0.0717200,0.0710900,0.0714100,497646,35532.4596400,879,1757890799999
1757890800000,0.0714100,0.0714400,0.0706700,0.0708000,1139595,80875.3742100,2837,1757894399999
1757894400000,0.0708000,0.0714400,0.0707500,0.0714100,831635,59139.4095200,3752,1757897999999
1757898000000,0.0714100,0.0714600,0.0707700,0.0711900,1037756,73825.4768700,3705,1757901599999
1757901600000,0.0711900,0.0714900,0.0710500,0.0710800,1035404,73759.0628300,3720,1757905199999
1757905200000,0.0710800,0.0713800,0.0710600,0.0711700,1001744,71353.1170300,1245,1757908799999
1757908800000,0.0711700,0.0714100,0.0710300,0.0711000,715454,50934.2939800,999,1757912399999
1757912400000,0.0711100,0.0713200,0.0711000,0.0711800,797376,56783.2938400,1002,1757915999999
1757916000000,0.0711800,0.0712500,0.0699800,0.0703100,1788762,126429.4301000,1982,1757919599999
1757919600000,0.0703100,0.0706200,0.0696500,0.0697900,1823491,127765.1156700,2206,1757923199999
1757923200000,0.0697900,0.0698100,0.0676600,0.0679400,9769297,671647.7878400,5235,1757926799999
