timestamp,open,high,low,close,volume,quote_volume,trades,close_time
1757750400000,6.851,6.897,6.847,6.894,62168.85,427688.61592,3693,1757753999999
1757754000000,6.893,6.933,6.881,6.908,112719.64,779243.24544,5385,1757757599999
1757757600000,6.910,6.933,6.897,6.915,101672.90,703353.76773,4321,1757761199999
1757761200000,6.915,6.927,6.880,6.926,78162.89,539666.93162,4174,1757764799999
1757764800000,6.926,6.945,6.915,6.940,72698.80,503730.01733,3819,1757768399999
1757768400000,6.940,6.959,6.804,6.886,356002.89,2449803.39690,11272,1757771999999
1757772000000,6.886,6.918,6.830,6.896,152702.54,1050286.01634,7580,1757775599999
1757775600000,6.895,6.925,6.867,6.892,181779.82,1252184.65897,6672,1757779199999
1757779200000,6.892,6.923,6.820,6.852,154859.36,1065801.94275,9022,1757782799999
1757782800000,6.852,6.880,6.775,6.878,114585.22,782161.42235,8381,1757786399999
1757786400000,6.876,6.879,6.841,6.874,53822.26,369273.23049,4486,1757789999999
1757790000000,6.874,6.887,6.857,6.882,32802.95,225502.79646,3023,1757793599999
1757793600000,6.883,6.920,6.878,6.907,54436.76,375916.52260,3601,1757797199999
1757797200000,6.906,6.941,6.905,6.914,42766.79,296034.14640,2662,1757800799999
1757800800000,6.914,6.943,6.900,6.908,48403.84,334829.56554,2976,1757804399999
1757804400000,6.909,6.936,6.899,6.935,51923.77,359278.61251,2785,1757807999999
1757808000000,6.935,6.944,6.855,6.873,64015.06,442217.78021,3830,1757811599999
1757811600000,6.872,6.888,6.794,6.888,128761.71,881022.38888,5949,1757815199999
1757815200000,6.886,6.923,6.875,6.905,74243.98,512236.97432,4477,1757818799999
1757818800000,6.906,6.918,6.819,6.832,98694.66,678351.44275,4430,1757822399999
1757822400000,6.832,6.880,6.797,6.871,115612.16,789080.60067,4284,1757825999999
1757826000000,6.871,6.907,6.869,6.898,100897.45,695294.08294,3584,1757829599999
1757829600000,6.897,6.902,6.843,6.869,60880.64,418363.87408,3391,1757833199999
1757833200000,6.869,6.873,6.830,6.844,46974.49,321927.22332,2699,1757836799999
1757836800000,6.844,6.871,6.827,6.838,49604.66,339582.93673,3051,1757840399999
1757840400000,6.838,6.880,6.829,6.879,39925.15,273585.04914,2882,1757843999999
1757844000000,6.878,6.884,6.843,6.851,56592.34,388270.40203,2854,1757847599999
1757847600000,6.852,6.861,6.774,6.781,290457.80,1976206.47073,6734,1757851199999
1757851200000,6.781,6.809,6.733,6.760,295038.77,1996552.42861,7082,1757854799999
1757854800000,6.761,6.776,6.709,6.729,201070.83,1356429.99172,6924,1757858399999
1757858400000,6.730,6.781,6.688,6.718,265290.43,1782228.84803,10518,1757861999999
1757862000000,6.718,6.729,6.677,6.704,101148.77,677800.04687,6195,1757865599999
1757865600000,6.705,6.766,6.699,6.735,91992.96,619671.31896,5448,1757869199999
1757869200000,6.735,6.788,6.726,6.773,101530.93,687543.52988,4523,1757872799999
1757872800000,6.773,6.775,6.738,6.746,29570.74,199735.37053,2769,1757876399999
1757876400000,6.746,6.784,6.731,6.756,34725.82,234802.48954,3373,1757879999999
1757880000000,6.755,6.782,6.751,6.754,27258.57,184372.91387,2999,1757883599999
1757883600000,6.755,6.797,6.728,6.788,38780.58,262415.22318,2798,1757887199999
1757887200000,6.787,6.817,6.763,6.805,60641.82,411980.58150,3060,1757890799999
1757890800000,6.805,6.807,6.713,6.727,67299.26,454137.42635,4334,1757894399999
1757894400000,6.726,6.770,6.717,6.720,61640.36,415600.99976,5251,1757897999999
1757898000000,6.720,6.758,6.652,6.741,100173.27,671609.00429,7079,1757901599999
1757901600000,6.741,6.787,6.731,6.742,40958.62,276800.82545,4275,1757905199999
1757905200000,6.743,6.790,6.740,6.780,64555.31,437330.25832,3142,1757908799999
1757908800000,6.780,6.811,6.769,6.777,57580.94,391096.79976,3704,1757912399999
1757912400000,6.778,6.824,6.773,6.824,73158.27,498014.29210,3120,1757915999999
1757916000000,6.824,6.824,6.718,6.737,197856.37,1336299.99083,5020,1757919599999
1757919600000,6.736,6.774,6.654,6.665,251215.68,1682262.44477,8591,1757923199999
1757923200000,6.663,6.665,6.510,6.517,441323.73,2901854.72368,16613,1757926799999
1757926800000,6.516,6.573,6.507,6.566,214501.10,1405062.16476,8709,1757930399999
1757930400000,6.566,6.566,6.517,6.547,71069.92,464723.31702,5050,1757933999999
1757934000000,6.548,6.567,6.532,6.554,49997.13,327595.84249,4106,1757937599999
1757937600000,6.554,6.580,6.516,6.521,68640.28,449405.28793,4991,1757941199999
1757941200000,6.521,6.570,6.510,6.539,88116.22,576125.39485,6008,1757944799999
1757944800000,6.540,6.546,6.472,6.490,200461.51,1303646.42614,8210,1757948399999
1757948400000,6.491,6.514,6.435,6.474,122435.37,792211.45547,6783,1757951999999
1757952000000,6.474,6.481,6.413,6.423,96203.70,620433.37403,7091,1757955599999
1757955600000,6.423,6.477,6.419,6.475,46364.89,298859.53408,4799,1757959199999
1757959200000,6.475,6.485,6.445,6.473,49008.75,316614.43875,3983,1757962799999
1757962800000,6.473,6.499,6.444,6.481,49483.61,320392.36549,4043,1757966399999
1757966400000,6.482,6.516,6.477,6.514,48295.28,313876.26050,3350,1757969999999
1757970000000,6.515,6.538,6.501,6.533,38387.04,250162.30619,2379,1757973599999
1757973600000,6.534,6.542,6.502,6.516,34050.95,222057.49050,2730,1757977199999
1757977200000,6.516,6.531,6.506,6.524,27338.15,178265.33913,2206,1757980799999
1757980800000,6.525,6.526,6.493,6.510,45549.64,296528.09194,3392,1757984399999
1757984400000,6.510,6.545,6.490,6.492,55003.31,358779.44711,3390,1757987999999
1757988000000,6.492,6.520,6.486,6.486,54994.60,357484.61112,3171,1757991599999
1757991600000,6.488,6.512,6.480,6.480,51344.79,333414.07029,3484,1757995199999
