timestamp,open,high,low,close,volume,quote_volume,trades,close_time
1757754000000,5.2768000,5.3125000,5.2676000,5.3081000,255299,1349951.0496000,11648,1757757599999
1757757600000,5.3085000,5.3327000,5.2733000,5.2785000,410974,2178309.1192000,15951,1757761199999
1757761200000,5.2783000,5.2871000,5.2508000,5.2778000,306990,1617019.4770000,11776,1757764799999
1757764800000,5.2777000,5.2843000,5.2550000,5.2787000,255695,1347665.3576000,11064,1757768399999
1757768400000,5.2790000,5.2802000,5.1330000,5.2001000,773113,4024929.5893000,25025,1757771999999
1757772000000,5.2001000,5.2111000,5.1609000,5.1733000,597917,3099298.6042000,26279,1757775599999
1757775600000,5.1740000,5.2206000,5.1306000,5.1406000,555497,2872321.9802000,26121,1757779199999
1757779200000,5.1413000,5.1636000,5.1005000,5.1060000,591451,3032728.2794000,30291,1757782799999
1757782800000,5.1064000,5.1450000,5.0804000,5.1338000,507849,2595991.0738000,25589,1757786399999
1757786400000,5.1341000,5.1800000,5.1118000,5.1635000,322407,1659617.5752000,16501,1757789999999
1757790000000,5.1631000,5.1658000,5.1450000,5.1580000,131973,680518.7377000,10422,1757793599999
1757793600000,5.1578000,5.2158000,5.1571000,5.1942000,374961,1948564.9759000,15105,1757797199999
1757797200000,5.1935000,5.2152000,5.1750000,5.1835000,139063,722351.1887000,8243,1757800799999
1757800800000,5.1836000,5.2030000,5.1630000,5.1792000,142186,736727.6223000,9238,1757804399999
1757804400000,5.1799000,5.2000000,5.1759000,5.1822000,136324,707253.2364000,8559,1757807999999
1757808000000,5.1822000,5.1968000,5.1511000,5.1648000,166720,863310.5285000,11621,1757811599999
1757811600000,5.1648000,5.1999000,5.1310000,5.1991000,231651,1194551.0121000,14872,1757815199999
1757815200000,5.1990000,5.2698000,5.1990000,5.2325000,418297,2191151.7497000,20173,1757818799999
1757818800000,5.2326000,5.2339000,5.1378000,5.1413000,383307,1986791.9306000,16832,1757822399999
1757822400000,5.1414000,5.1503000,5.0700000,5.1170000,519789,2654488.1419000,22302,1757825999999
1757826000000,5.1170000,5.1778000,5.1132000,5.1675000,224618,1157613.0671000,11788,1757829599999
1757829600000,5.1675000,5.1741000,5.1058000,5.1284000,178345,916253.5528000,11785,1757833199999
1757833200000,5.1283000,5.1307000,5.0989000,5.1083000,198394,1014486.8729000,11750,1757836799999
1757836800000,5.1083000,5.1300000,5.0892000,5.1154000,158324,808793.6328000,10419,1757840399999
1757840400000,5.1146000,5.1352000,5.1010000,5.1191000,120482,616609.7245000,9241,1757843999999
1757844000000,5.1192000,5.1230000,5.0968000,5.1081000,125446,641022.3333000,8080,1757847599999
1757847600000,5.1087000,5.1198000,5.0196000,5.0293000,731615,3699249.8679000,27823,1757851199999
1757851200000,5.0294000,5.0587000,4.9888000,5.0070000,354206,1778052.8337000,17931,1757854799999
1757854800000,5.0075000,5.0163000,4.9354000,4.9839000,467784,2332157.2209000,19776,1757858399999
1757858400000,4.9834000,5.0274000,4.9306000,4.9591000,653513,3251597.2641000,28998,1757861999999
1757862000000,4.9590000,4.9760000,4.9218000,4.9528000,282920,1400596.0456000,16408,1757865599999
1757865600000,4.9524000,4.9997000,4.9426000,4.9743000,163892,815513.2170000,11185,1757869199999
1757869200000,4.9736000,5.0305000,4.9657000,5.0121000,215503,1079543.0128000,12553,1757872799999
1757872800000,5.0124000,5.0244000,4.9959000,5.0136000,129136,647198.3421000,9644,1757876399999
1757876400000,5.0136000,5.0417000,4.9918000,5.0227000,106406,534393.6495000,7851,1757879999999
1757880000000,5.0229000,5.0546000,5.0179000,5.0434000,101323,510854.4103000,9273,1757883599999
1757883600000,5.0435000,5.0742000,5.0081000,5.0590000,187691,947356.2795000,10692,1757887199999
1757887200000,5.0590000,5.0891000,5.0379000,5.0797000,176150,892262.3670000,11244,1757890799999
1757890800000,5.0795000,5.0827000,5.0236000,5.0514000,210877,1064518.9265000,13247,1757894399999
1757894400000,5.0515000,5.0849000,5.0244000,5.0261000,333851,1687042.5355000,16437,1757897999999
1757898000000,5.0260000,5.0476000,4.9744000,5.0330000,307238,1539719.9648000,17376,1757901599999
1757901600000,5.0329000,5.0686000,5.0206000,5.0317000,213830,1079325.5425000,11807,1757905199999
1757905200000,5.0320000,5.0896000,5.0282000,5.0824000,176993,896853.3164000,10729,1757908799999
1757908800000,5.0819000,5.1183000,5.0765000,5.0945000,269671,1375326.2710000,14698,1757912399999
1757912400000,5.0945000,5.1338000,5.0905000,5.1286000,454931,2327683.6616000,15639,1757915999999
1757916000000,5.1286000,5.1334000,5.0232000,5.0432000,417063,2114326.9613000,18649,1757919599999
1757919600000,5.0425000,5.0907000,4.9700000,4.9977000,612956,3076314.2999000,26016,1757923199999
