timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,ALTUSDT,258486416.00000000,2124758.33952000
1771718400000,ALTUSDT,254863269.00000000,2034894.60414594
1771804800000,ALTUSDT,256017798.00000000,1950855.62076000
1771891200000,ALTUSDT,253339995.00000000,1863313.12982505
1771977600000,ALTUSDT,251457213.00000000,1859500.94441370
1772064000000,ALTUSDT,254440336.00000000,1975736.84225008
1772150400000,ALTUSDT,255316098.00000000,1922152.35011496
1772236800000,ALTUSDT,259219800.00000000,1945185.37920000
1772323200000,ALTUSDT,273109937.00000000,2057085.89427896
1772409600000,ALTUSDT,273399005.00000000,1943046.72853500
1772496000000,ALTUSDT,283537482.00000000,2052527.83219800
1772582400000,ALTUSDT,270227673.00000000,1978336.79403300
1772668800000,ALTUSDT,264957046.00000000,1967189.48544976
1772755200000,ALTUSDT,265234673.00000000,1922765.71497890
1772841600000,ALTUSDT,264907680.00000000,1892235.55824000
1772928000000,ALTUSDT,261491963.00000000,1846656.24270600
1773014400000,ALTUSDT,262011963.00000000,1859760.91337400
1773100800000,ALTUSDT,254942380.00000000,1851187.60965600
1773187200000,ALTUSDT,259101368.00000000,1952847.01061600
1773273600000,ALTUSDT,279739405.00000000,2136929.31479500
1773360000000,ALTUSDT,274577152.00000000,2069056.90849536
1773446400000,ALTUSDT,259841188.00000000,1931919.23278000
1773532800000,ALTUSDT,248147396.00000000,1850931.42676400
1773619200000,ALTUSDT,273610151.00000000,2156595.21018200
1773705600000,ALTUSDT,264496809.00000000,2129992.80287700
1773792000000,ALTUSDT,275858290.00000000,2222159.90359760
1773878400000,ALTUSDT,267022429.00000000,2013082.09223100
1773964800000,ALTUSDT,272459074.00000000,2050799.44999800
