timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,ARUSDT,1766653.80000000,3572173.98360000
1771718400000,ARUSDT,1756838.00000000,3514936.70694880
1771804800000,ARUSDT,1825420.30000000,3602469.70018045
1771891200000,ARUSDT,1835090.30000000,3405398.90728457
1771977600000,ARUSDT,1861978.00000000,3448336.37139396
1772064000000,ARUSDT,2629426.10000000,4700254.60542103
1772150400000,ARUSDT,2582087.70000000,4197442.41064193
1772236800000,ARUSDT,2438138.10000000,3936834.62426261
1772323200000,ARUSDT,2455611.80000000,3916700.82100000
1772409600000,ARUSDT,2684956.50000000,4115319.57849452
1772496000000,ARUSDT,2740443.60000000,4485530.18676415
1772582400000,ARUSDT,2518345.10000000,4172897.83070000
1772668800000,ARUSDT,2335401.40000000,3958875.95449415
1772755200000,ARUSDT,2218267.80000000,3695634.15480000
1772841600000,ARUSDT,2166693.90000000,3522512.66138470
1772928000000,ARUSDT,2144128.90000000,3333029.46383310
1773014400000,ARUSDT,2144410.50000000,3356002.43250000
1773100800000,ARUSDT,2109265.80000000,3357951.15360000
1773187200000,ARUSDT,2344069.80000000,3854969.19669971
1773273600000,ARUSDT,2515722.50000000,4535546.18331560
1773360000000,ARUSDT,2574161.40000000,4899625.13872889
1773446400000,ARUSDT,2199406.20000000,4010435.29281320
1773532800000,ARUSDT,2203802.10000000,4044750.21173293
1773619200000,ARUSDT,2203969.30000000,4052972.81446525
1773705600000,ARUSDT,2282822.30000000,4405650.69345398
1773792000000,ARUSDT,2253243.80000000,4221513.59259624
1773878400000,ARUSDT,2181880.00000000,3800040.05747840
1773964800000,ARUSDT,2140045.90000000,3584576.88250000
