timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,AXLUSDT,55313293.50000000,3110343.93211590
1771718400000,AXLUSDT,55635061.20000000,3099985.61006400
1771804800000,AXLUSDT,55895211.90000000,2971393.93622095
1771891200000,AXLUSDT,51660678.10000000,2660176.21257283
1771977600000,AXLUSDT,52575807.70000000,2650346.46615700
1772064000000,AXLUSDT,85484294.00000000,5011225.23430746
1772150400000,AXLUSDT,73815935.30000000,4202341.19662900
1772236800000,AXLUSDT,69521518.80000000,3866091.66046800
1772323200000,AXLUSDT,64881715.90000000,3563952.65438700
1772409600000,AXLUSDT,61145652.00000000,3229727.40213996
1772496000000,AXLUSDT,55926514.40000000,3042669.15283369
1772582400000,AXLUSDT,56528675.70000000,2980191.78290400
1772668800000,AXLUSDT,52715354.70000000,2903461.05054852
1772755200000,AXLUSDT,48063094.90000000,2582617.53504711
1772841600000,AXLUSDT,51553511.30000000,2848847.03443800
1772928000000,AXLUSDT,49050381.90000000,2593631.15768047
1773014400000,AXLUSDT,47473034.40000000,2464955.18287049
1773100800000,AXLUSDT,48593726.80000000,2570851.11635400
1773187200000,AXLUSDT,49022303.60000000,2604807.94535458
1773273600000,AXLUSDT,47842188.60000000,2575195.74470957
1773360000000,AXLUSDT,47784670.40000000,2679286.46932800
1773446400000,AXLUSDT,44722131.20000000,2491022.70784000
1773532800000,AXLUSDT,45151397.30000000,2470902.99301893
1773619200000,AXLUSDT,46029480.20000000,2557973.28841450
1773705600000,AXLUSDT,44237499.60000000,2554892.10952340
1773792000000,AXLUSDT,42782678.20000000,2477117.06778000
1773878400000,AXLUSDT,43849712.50000000,2382793.37725000
1773964800000,AXLUSDT,45289560.40000000,2350528.18476000
