timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,CARVUSDT,19833875.00000000,1219981.65125000
1771718400000,CARVUSDT,21716157.00000000,1481796.76101732
1771804800000,CARVUSDT,21034840.00000000,1346352.39311720
1771891200000,CARVUSDT,19258486.00000000,1143690.80489638
1771977600000,CARVUSDT,18797792.00000000,1079497.79353728
1772064000000,CARVUSDT,18901802.00000000,1144582.36456028
1772150400000,CARVUSDT,19062859.00000000,1167028.22798000
1772236800000,CARVUSDT,18959588.00000000,1199762.72864000
1772323200000,CARVUSDT,18387263.00000000,1128455.19831291
1772409600000,CARVUSDT,18463708.00000000,1105314.55454236
1772496000000,CARVUSDT,18530524.00000000,1150588.21625124
1772582400000,CARVUSDT,18384456.00000000,1094996.58381600
1772668800000,CARVUSDT,18479705.00000000,1136374.90192665
1772755200000,CARVUSDT,18423255.00000000,1119949.67145000
1772841600000,CARVUSDT,18225498.00000000,1073041.32191334
1772928000000,CARVUSDT,18367837.00000000,1068273.39992000
1773014400000,CARVUSDT,18257913.00000000,1016965.75410000
1773100800000,CARVUSDT,18567256.00000000,1040137.68112000
1773187200000,CARVUSDT,18556183.00000000,1045458.50477111
1773273600000,CARVUSDT,19043752.00000000,1086826.92664000
1773360000000,CARVUSDT,18896563.00000000,1078911.92518221
1773446400000,CARVUSDT,18540530.00000000,1076648.57710000
1773532800000,CARVUSDT,18766941.00000000,1065333.55627650
1773619200000,CARVUSDT,18840356.00000000,1091798.63020000
1773705600000,CARVUSDT,18602758.00000000,1114119.17662000
1773792000000,CARVUSDT,19050265.00000000,1155779.57755000
1773878400000,CARVUSDT,18682219.00000000,1096887.62956948
1773964800000,CARVUSDT,18163195.00000000,1042204.12910000
