timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,INXUSDT,82282516.00000000,1040586.66141916
1771718400000,INXUSDT,92658838.00000000,1234948.65356858
1771804800000,INXUSDT,76630513.00000000,904163.42288700
1771891200000,INXUSDT,83303437.00000000,902174.55664126
1771977600000,INXUSDT,87921900.00000000,1092095.50428000
1772064000000,INXUSDT,78477256.00000000,977747.34773144
1772150400000,INXUSDT,69788379.00000000,844236.99960090
1772236800000,INXUSDT,72092544.00000000,821980.44262656
1772323200000,INXUSDT,78329320.00000000,970186.95752000
1772409600000,INXUSDT,70579718.00000000,805455.74181600
1772496000000,INXUSDT,70341158.00000000,789087.11044400
1772582400000,INXUSDT,75667791.00000000,942646.63994070
1772668800000,INXUSDT,71815521.00000000,902649.28344900
1772755200000,INXUSDT,68455204.00000000,843162.74766800
1772841600000,INXUSDT,65734738.00000000,766532.77981800
1772928000000,INXUSDT,67303794.00000000,754884.73780752
1773014400000,INXUSDT,68170204.00000000,795478.11047600
1773100800000,INXUSDT,65146382.00000000,736238.80689660
1773187200000,INXUSDT,68671963.00000000,781636.64381934
1773273600000,INXUSDT,72970667.00000000,802696.30937342
1773360000000,INXUSDT,72301879.00000000,813757.64814500
1773446400000,INXUSDT,68236780.00000000,764183.69922000
1773532800000,INXUSDT,96891012.00000000,1217048.00173200
1773619200000,INXUSDT,90789362.00000000,1147032.79950800
1773705600000,INXUSDT,81939497.00000000,1020146.73765000
1773792000000,INXUSDT,78718259.00000000,936353.69080500
1773878400000,INXUSDT,78229531.00000000,910219.36827244
1773964800000,INXUSDT,82360501.00000000,1007899.80866766
