timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,LAUSDT,24423534.20000000,5106961.00122000
1771718400000,LAUSDT,22271185.30000000,4636765.01336321
1771804800000,LAUSDT,22269101.10000000,4731559.11277313
1771891200000,LAUSDT,32203944.90000000,7200100.99975953
1771977600000,LAUSDT,30996370.70000000,7450276.50275855
1772064000000,LAUSDT,28044323.80000000,6904512.51956000
1772150400000,LAUSDT,26165613.00000000,6194679.57226344
1772236800000,LAUSDT,25115633.60000000,5825501.14090226
1772323200000,LAUSDT,23057684.10000000,5141774.78221622
1772409600000,LAUSDT,23764740.80000000,5051317.33251290
1772496000000,LAUSDT,22742241.00000000,4962356.98620000
1772582400000,LAUSDT,23994288.20000000,5014408.64844453
1772668800000,LAUSDT,22800798.00000000,4877711.78593752
1772755200000,LAUSDT,20940439.50000000,4546169.41545000
1772841600000,LAUSDT,19776310.70000000,4382430.45112000
1772928000000,LAUSDT,30941959.80000000,7030224.60014543
1773014400000,LAUSDT,26828241.30000000,5864653.54818000
1773100800000,LAUSDT,25465403.10000000,5500527.06960000
1773187200000,LAUSDT,25220756.80000000,5876436.33440000
1773273600000,LAUSDT,22004360.30000000,5235584.58344579
1773360000000,LAUSDT,22119185.00000000,5120571.19904165
1773446400000,LAUSDT,21689258.80000000,5298494.40868480
1773532800000,LAUSDT,24320376.80000000,5655622.88118902
1773619200000,LAUSDT,22578322.40000000,5209965.73067470
1773705600000,LAUSDT,22542515.20000000,5340321.85088000
1773792000000,LAUSDT,20911369.30000000,4999908.39963000
1773878400000,LAUSDT,20257557.30000000,4750546.89019845
1773964800000,LAUSDT,19140212.30000000,4566854.65478000
