timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,LAYERUSDT,24838251.70000000,2163222.45559205
1771718400000,LAYERUSDT,25311984.40000000,2238788.82757463
1771804800000,LAYERUSDT,24792046.30000000,2088721.71939972
1771891200000,LAYERUSDT,24591483.20000000,1992898.96273947
1771977600000,LAYERUSDT,26201442.60000000,2132797.42764000
1772064000000,LAYERUSDT,25022644.70000000,2158089.75279451
1772150400000,LAYERUSDT,25621691.40000000,2216076.71312399
1772236800000,LAYERUSDT,31861286.00000000,2819851.25614400
1772323200000,LAYERUSDT,42464579.80000000,4144542.98848000
1772409600000,LAYERUSDT,35459853.90000000,3258760.57341000
1772496000000,LAYERUSDT,36467631.40000000,3271146.53658000
1772582400000,LAYERUSDT,35786094.80000000,3087441.03453862
1772668800000,LAYERUSDT,33256304.70000000,2934865.23158148
1772755200000,LAYERUSDT,32391018.60000000,2765629.38471636
1772841600000,LAYERUSDT,31405833.90000000,2586584.48000400
1772928000000,LAYERUSDT,30853386.00000000,2509730.42597136
1773014400000,LAYERUSDT,29461456.70000000,2309483.59071300
1773100800000,LAYERUSDT,29043690.00000000,2298227.18970000
1773187200000,LAYERUSDT,28795235.40000000,2357465.92219800
1773273600000,LAYERUSDT,28600987.40000000,2443668.36345600
1773360000000,LAYERUSDT,27153677.70000000,2268418.23505800
1773446400000,LAYERUSDT,27551731.90000000,2280456.84936300
1773532800000,LAYERUSDT,27409555.40000000,2276648.63534616
1773619200000,LAYERUSDT,27033253.80000000,2264265.05873984
1773705600000,LAYERUSDT,26083661.40000000,2285189.57525400
1773792000000,LAYERUSDT,26602859.00000000,2335939.05455738
1773878400000,LAYERUSDT,25725039.50000000,2122830.25954000
1773964800000,LAYERUSDT,24902694.10000000,2071556.25848342
