timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,PIXELUSDT,152571717.00000000,801561.45245139
1771718400000,PIXELUSDT,155418455.00000000,826523.11461275
1771804800000,PIXELUSDT,155011590.00000000,784819.02982230
1771891200000,PIXELUSDT,157746609.00000000,772999.39821834
1771977600000,PIXELUSDT,158040315.00000000,777874.43043000
1772064000000,PIXELUSDT,168395959.00000000,870827.70673629
1772150400000,PIXELUSDT,171767196.00000000,873951.49324800
1772236800000,PIXELUSDT,188477594.00000000,931305.48747280
1772323200000,PIXELUSDT,185802073.00000000,923280.22906868
1772409600000,PIXELUSDT,169696919.00000000,813998.78712082
1772496000000,PIXELUSDT,170878934.00000000,838005.67144006
1772582400000,PIXELUSDT,168652338.00000000,858440.40042000
1772668800000,PIXELUSDT,172251967.00000000,899480.82395763
1772755200000,PIXELUSDT,172932689.00000000,942656.08773900
1772841600000,PIXELUSDT,170414911.00000000,910475.74499970
1772928000000,PIXELUSDT,165542763.00000000,832183.46960100
1773014400000,PIXELUSDT,168232261.00000000,860844.47953700
1773100800000,PIXELUSDT,164790413.00000000,825300.05057834
1773187200000,PIXELUSDT,1015509646.00000000,8995739.87264410
1773273600000,PIXELUSDT,1563448581.00000000,22475292.53822226
1773360000000,PIXELUSDT,1165497558.00000000,12434646.82639968
1773446400000,PIXELUSDT,1112653600.00000000,14225276.27600000
1773532800000,PIXELUSDT,967238677.00000000,11683275.97948300
1773619200000,PIXELUSDT,936419313.00000000,10861162.40795493
1773705600000,PIXELUSDT,889002372.00000000,9224733.11305800
1773792000000,PIXELUSDT,862712717.00000000,8086206.29644100
1773878400000,PIXELUSDT,803588412.00000000,7219550.79578568
1773964800000,PIXELUSDT,798978711.00000000,7184416.56931200
