timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,RLCUSDT,3411572.60000000,1460303.76196174
1771718400000,RLCUSDT,3402296.10000000,1431682.18417060
1771804800000,RLCUSDT,3342615.40000000,1350715.55169522
1771891200000,RLCUSDT,3358470.90000000,1309615.10644367
1771977600000,RLCUSDT,3344985.60000000,1318258.82496000
1772064000000,RLCUSDT,3344199.60000000,1368822.89942698
1772150400000,RLCUSDT,3402757.60000000,1350894.76720000
1772236800000,RLCUSDT,3432922.90000000,1319813.26478981
1772323200000,RLCUSDT,3328726.90000000,1311851.27129000
1772409600000,RLCUSDT,3345155.30000000,1272022.96725933
1772496000000,RLCUSDT,3302281.30000000,1275180.87741695
1772582400000,RLCUSDT,3746603.00000000,1344503.40488996
1772668800000,RLCUSDT,3880272.20000000,1494977.03261703
1772755200000,RLCUSDT,3630739.90000000,1359497.22536272
1772841600000,RLCUSDT,3685167.60000000,1371691.20463652
1772928000000,RLCUSDT,3600369.00000000,1327456.05030000
1773014400000,RLCUSDT,3452586.20000000,1285590.94540617
1773100800000,RLCUSDT,3421034.00000000,1286947.38841678
1773187200000,RLCUSDT,3425476.30000000,1333150.19392760
1773273600000,RLCUSDT,3459689.80000000,1371039.88269473
1773360000000,RLCUSDT,3459272.30000000,1379707.30298881
1773446400000,RLCUSDT,3473713.10000000,1415190.71694000
1773532800000,RLCUSDT,3525673.40000000,1394403.82970000
1773619200000,RLCUSDT,3400414.40000000,1380228.20496000
1773705600000,RLCUSDT,3111539.40000000,1375172.87279999
1773792000000,RLCUSDT,3588760.60000000,1658366.27326000
1773878400000,RLCUSDT,3623074.70000000,1576362.95530030
1773964800000,RLCUSDT,3532868.80000000,1474972.72400000
