timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,RSRUSDT,1136715855.00000000,1727660.32653885
1771718400000,RSRUSDT,1158212399.00000000,1715891.66911850
1771804800000,RSRUSDT,1180122613.00000000,1698196.44010700
1771891200000,RSRUSDT,1146539875.00000000,1571883.23782750
1771977600000,RSRUSDT,1152031741.00000000,1637037.10396100
1772064000000,RSRUSDT,1134923094.00000000,1728851.04755208
1772150400000,RSRUSDT,1097797828.00000000,1644501.14634400
1772236800000,RSRUSDT,1117888038.00000000,1648426.52195442
1772323200000,RSRUSDT,1149715606.00000000,1701567.59972394
1772409600000,RSRUSDT,1120376909.00000000,1631055.90789129
1772496000000,RSRUSDT,1161536060.00000000,1729527.19334000
1772582400000,RSRUSDT,1113716407.00000000,1686166.64019800
1772668800000,RSRUSDT,1076635374.00000000,1732413.98030340
1772755200000,RSRUSDT,1037752981.00000000,1618780.49753209
1772841600000,RSRUSDT,1136492956.00000000,1804750.81412800
1772928000000,RSRUSDT,1150460770.00000000,1846489.53585000
1773014400000,RSRUSDT,1164905373.00000000,1901125.56873600
1773100800000,RSRUSDT,1127196966.00000000,1806164.05847010
1773187200000,RSRUSDT,1152986931.00000000,1858868.58989682
1773273600000,RSRUSDT,1108358266.00000000,1782240.09172800
1773360000000,RSRUSDT,1052213369.00000000,1784553.87382400
1773446400000,RSRUSDT,1079959738.00000000,1845651.19224200
1773532800000,RSRUSDT,1150284230.00000000,2048656.21363000
1773619200000,RSRUSDT,1104191664.00000000,1983680.32437600
1773705600000,RSRUSDT,1061661042.00000000,1950281.95076442
1773792000000,RSRUSDT,1054953476.00000000,1852498.30385600
1773878400000,RSRUSDT,983129027.00000000,1624620.71711750
1773964800000,RSRUSDT,935358407.00000000,1508817.29274763
