timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,SAGAUSDT,48512994.70000000,1552900.96034700
1771718400000,SAGAUSDT,47396379.00000000,1489562.49804483
1771804800000,SAGAUSDT,47955856.40000000,1475168.18048614
1771891200000,SAGAUSDT,47389972.20000000,1385682.78712800
1771977600000,SAGAUSDT,48592816.30000000,1405056.90996103
1772064000000,SAGAUSDT,52571959.60000000,1645338.31096605
1772150400000,SAGAUSDT,48284554.60000000,1470264.68757000
1772236800000,SAGAUSDT,50117028.60000000,1528303.75204842
1772323200000,SAGAUSDT,50856947.60000000,1535434.81922850
1772409600000,SAGAUSDT,52357138.60000000,1508932.73445200
1772496000000,SAGAUSDT,50069634.80000000,1495003.68997945
1772582400000,SAGAUSDT,52594207.90000000,1710363.64090800
1772668800000,SAGAUSDT,49158886.90000000,1594706.91720297
1772755200000,SAGAUSDT,47580037.10000000,1526332.38094055
1772841600000,SAGAUSDT,46690251.70000000,1478213.36882200
1772928000000,SAGAUSDT,47493009.70000000,1413210.54537495
1773014400000,SAGAUSDT,48505571.50000000,1489245.70436876
1773100800000,SAGAUSDT,48226045.50000000,1479518.65146677
1773187200000,SAGAUSDT,50008995.70000000,1631833.03679760
1773273600000,SAGAUSDT,55802292.70000000,1939966.70571550
1773360000000,SAGAUSDT,55425166.60000000,1886754.14605890
1773446400000,SAGAUSDT,51760990.40000000,1775171.11670282
1773532800000,SAGAUSDT,50985862.40000000,1728420.73536000
1773619200000,SAGAUSDT,50909505.00000000,1720807.45135650
1773705600000,SAGAUSDT,51917414.50000000,1802572.63144000
1773792000000,SAGAUSDT,51798572.10000000,1764777.35144700
1773878400000,SAGAUSDT,47326434.80000000,1528643.84404000
1773964800000,SAGAUSDT,49551295.00000000,1522473.44913400
