timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,SAPIENUSDT,21774757.00000000,1938443.52278007
1771718400000,SAPIENUSDT,22537710.00000000,2107541.37922380
1771804800000,SAPIENUSDT,28413557.00000000,2692016.88576370
1771891200000,SAPIENUSDT,24557451.00000000,2308022.20925460
1771977600000,SAPIENUSDT,22828254.00000000,1984291.87598802
1772064000000,SAPIENUSDT,23252609.00000000,2141332.76281000
1772150400000,SAPIENUSDT,21027269.00000000,1874160.48597000
1772236800000,SAPIENUSDT,22583221.00000000,2084882.96272000
1772323200000,SAPIENUSDT,21046833.00000000,1826654.63607000
1772409600000,SAPIENUSDT,23137842.00000000,1844780.14266000
1772496000000,SAPIENUSDT,23340152.00000000,1973409.85160000
1772582400000,SAPIENUSDT,22044367.00000000,1788293.28018282
1772668800000,SAPIENUSDT,23387622.00000000,1952584.38227868
1772755200000,SAPIENUSDT,23223094.00000000,1831434.73403910
1772841600000,SAPIENUSDT,24674336.00000000,1880184.40320000
1772928000000,SAPIENUSDT,24162069.00000000,1779536.38185000
1773014400000,SAPIENUSDT,24050609.00000000,1797302.01057000
1773100800000,SAPIENUSDT,23094476.00000000,1702293.82596000
1773187200000,SAPIENUSDT,23915159.00000000,1741501.87838000
1773273600000,SAPIENUSDT,23311745.00000000,1796169.95225000
1773360000000,SAPIENUSDT,23372596.00000000,1826340.72831496
1773446400000,SAPIENUSDT,22599403.00000000,1727506.95309314
1773532800000,SAPIENUSDT,22561385.00000000,1709250.52760000
1773619200000,SAPIENUSDT,22858044.00000000,1757783.58360000
1773705600000,SAPIENUSDT,22083160.00000000,1775706.89560000
1773792000000,SAPIENUSDT,21991882.00000000,1726733.95996816
1773878400000,SAPIENUSDT,21139026.00000000,1575068.82726000
1773964800000,SAPIENUSDT,21010998.00000000,1488442.21041780
