timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,SKRUSDT,154085641.00000000,3134718.28050400
1771718400000,SKRUSDT,148481337.00000000,2857772.77921116
1771804800000,SKRUSDT,143551859.00000000,2678626.01027076
1771891200000,SKRUSDT,137786586.00000000,2561728.20691200
1771977600000,SKRUSDT,269619255.00000000,6874395.86657340
1772064000000,SKRUSDT,257677156.00000000,5766299.39696800
1772150400000,SKRUSDT,239896514.00000000,5027751.14041200
1772236800000,SKRUSDT,211750591.00000000,4370955.69942200
1772323200000,SKRUSDT,199209222.00000000,4341848.66136324
1772409600000,SKRUSDT,189205156.00000000,4076803.49633200
1772496000000,SKRUSDT,185197595.00000000,3980266.71174000
1772582400000,SKRUSDT,181767485.00000000,4160112.42919500
1772668800000,SKRUSDT,170674537.00000000,3792142.44080672
1772755200000,SKRUSDT,162042709.00000000,3723013.88105659
1772841600000,SKRUSDT,142311609.00000000,3301913.95201800
1772928000000,SKRUSDT,169558323.00000000,4181433.71833902
1773014400000,SKRUSDT,165909058.00000000,3936856.03728200
1773100800000,SKRUSDT,153697607.00000000,3896541.73266400
1773187200000,SKRUSDT,141419269.00000000,3417820.89319200
1773273600000,SKRUSDT,136750743.00000000,3187523.06858700
1773360000000,SKRUSDT,132265768.00000000,3031901.74671040
1773446400000,SKRUSDT,136021455.00000000,3032195.71571820
1773532800000,SKRUSDT,137560707.00000000,3137469.47357823
1773619200000,SKRUSDT,131737281.00000000,3050634.94662576
1773705600000,SKRUSDT,137906565.00000000,3358852.29714000
1773792000000,SKRUSDT,134119110.00000000,3078646.49883270
1773878400000,SKRUSDT,127175212.00000000,2830913.86035940
1773964800000,SKRUSDT,126761387.00000000,2727106.45150190
