timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,TIAUSDT,38998607.00000000,12921731.75576203
1771718400000,TIAUSDT,38676195.00000000,12875305.31550000
1771804800000,TIAUSDT,40196379.00000000,12545289.88590000
1771891200000,TIAUSDT,40421354.00000000,12110237.65840000
1771977600000,TIAUSDT,39922206.00000000,11963871.12441966
1772064000000,TIAUSDT,42171841.00000000,14819184.92740000
1772150400000,TIAUSDT,39557377.00000000,13355782.11765751
1772236800000,TIAUSDT,40970755.00000000,13094002.55697940
1772323200000,TIAUSDT,38906101.00000000,12698951.36640000
1772409600000,TIAUSDT,38664881.00000000,12322497.57470000
1772496000000,TIAUSDT,38666609.00000000,12583480.27322988
1772582400000,TIAUSDT,39027274.00000000,12890708.60220000
1772668800000,TIAUSDT,39335240.00000000,13349382.52096120
1772755200000,TIAUSDT,38750557.00000000,13193626.89502060
1772841600000,TIAUSDT,37279040.00000000,12277871.58189120
1772928000000,TIAUSDT,36601587.00000000,11675906.25300000
1773014400000,TIAUSDT,36482741.00000000,11371800.24825796
1773100800000,TIAUSDT,36466002.00000000,11768981.32783692
1773187200000,TIAUSDT,35731371.00000000,11698450.86540000
1773273600000,TIAUSDT,36524877.00000000,12429415.64310000
1773360000000,TIAUSDT,36217088.00000000,12386244.09600000
1773446400000,TIAUSDT,38666056.00000000,13459654.09360000
1773532800000,TIAUSDT,37046633.00000000,12904763.01227555
1773619200000,TIAUSDT,37116686.00000000,13160755.46333882
1773705600000,TIAUSDT,37102037.00000000,14243472.00430000
1773792000000,TIAUSDT,36678833.00000000,13622518.57620000
1773878400000,TIAUSDT,35874203.00000000,12507724.91061139
1773964800000,TIAUSDT,36453381.00000000,12168651.84140448
