timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,VTHOUSDT,1383996504.00000000,829110.78565128
1771718400000,VTHOUSDT,1373953629.00000000,810454.02713823
1771804800000,VTHOUSDT,3331321680.00000000,2035104.41431200
1771891200000,VTHOUSDT,2550685515.00000000,1557193.50690750
1771977600000,VTHOUSDT,2404581046.00000000,1390328.76079720
1772064000000,VTHOUSDT,2235662076.00000000,1360310.94676296
1772150400000,VTHOUSDT,2030081047.00000000,1205096.71112014
1772236800000,VTHOUSDT,1988955156.00000000,1183627.21333560
1772323200000,VTHOUSDT,1952256645.00000000,1174477.59763200
1772409600000,VTHOUSDT,1836653017.00000000,1094828.86343370
1772496000000,VTHOUSDT,1915117934.00000000,1137388.54100260
1772582400000,VTHOUSDT,1966804686.00000000,1156677.83583660
1772668800000,VTHOUSDT,1945389962.00000000,1169957.52314680
1772755200000,VTHOUSDT,1883043418.00000000,1105553.62114198
1772841600000,VTHOUSDT,1830391276.00000000,1056135.76625200
1772928000000,VTHOUSDT,1843784303.00000000,1052432.08015240
1773014400000,VTHOUSDT,1828527929.00000000,1029698.93265777
1773100800000,VTHOUSDT,1842126360.00000000,1058835.81046440
1773187200000,VTHOUSDT,1792851447.00000000,1044640.75262349
1773273600000,VTHOUSDT,2101763971.00000000,1243613.74164070
1773360000000,VTHOUSDT,1948622514.00000000,1150973.37411924
1773446400000,VTHOUSDT,1859572077.00000000,1094358.16731450
1773532800000,VTHOUSDT,1865175609.00000000,1086203.66765724
1773619200000,VTHOUSDT,1899443585.00000000,1133037.09288835
1773705600000,VTHOUSDT,1741202916.00000000,1081165.12663188
1773792000000,VTHOUSDT,1807492533.00000000,1137870.77429949
1773878400000,VTHOUSDT,1896528042.00000000,1146071.89578060
1773964800000,VTHOUSDT,1845042281.00000000,1080087.75129740
