timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,ARIAUSDT,22630739.00000000,1648802.99886781
1771588800000,ARIAUSDT,22282172.00000000,1561258.98329236
1771603200000,ARIAUSDT,22361492.00000000,1543613.79276000
1771617600000,ARIAUSDT,22586251.00000000,1591878.97048000
1771632000000,ARIAUSDT,22477741.00000000,1586250.36115403
1771646400000,ARIAUSDT,22414412.00000000,1583802.35192000
1771660800000,ARIAUSDT,22602224.00000000,1599333.37024000
1771675200000,ARIAUSDT,22389796.00000000,1587083.00152116
1771689600000,ARIAUSDT,22557624.00000000,1592690.51672208
1771704000000,ARIAUSDT,22530593.00000000,1586379.05313000
1771718400000,ARIAUSDT,22848392.00000000,1600758.34352000
1771732800000,ARIAUSDT,22737964.00000000,1587109.88720000
1771747200000,ARIAUSDT,22806247.00000000,1608680.36757701
1771761600000,ARIAUSDT,22838243.00000000,1620601.72328000
1771776000000,ARIAUSDT,22956057.00000000,1646369.15318253
1771790400000,ARIAUSDT,22951604.00000000,1623554.46552468
1771804800000,ARIAUSDT,22962596.00000000,1611055.73536000
1771819200000,ARIAUSDT,23028326.00000000,1606333.28078242
1771833600000,ARIAUSDT,23024598.00000000,1613053.37250234
1771848000000,ARIAUSDT,22888071.00000000,1612464.60195000
1771862400000,ARIAUSDT,22788321.00000000,1590875.70521421
1771876800000,ARIAUSDT,22730908.00000000,1626851.08556000
1771891200000,ARIAUSDT,22646354.00000000,1630763.95154000
1771905600000,ARIAUSDT,22645834.00000000,1649975.46524000
1771920000000,ARIAUSDT,22860215.00000000,1670972.21607015
1771934400000,ARIAUSDT,22605453.00000000,1621263.08916000
1771948800000,ARIAUSDT,22477214.00000000,1539559.46547522
1771963200000,ARIAUSDT,22412301.00000000,1537889.95949412
1771977600000,ARIAUSDT,22460510.00000000,1537702.66587500
1771992000000,ARIAUSDT,22364531.00000000,1571486.71061452
1772006400000,ARIAUSDT,22175293.00000000,1552492.26293000
1772020800000,ARIAUSDT,22143874.00000000,1565793.33054000
1772035200000,ARIAUSDT,21861920.00000000,1626661.73604640
1772049600000,ARIAUSDT,21847571.00000000,1713723.46924000
1772064000000,ARIAUSDT,21964107.00000000,1724182.39950000
1772078400000,ARIAUSDT,22037323.00000000,1722437.16568000
1772092800000,ARIAUSDT,22188029.00000000,1714150.82449414
1772107200000,ARIAUSDT,22142018.00000000,1670491.70563956
1772121600000,ARIAUSDT,21632076.00000000,1745059.57092000
1772136000000,ARIAUSDT,21337591.00000000,1707647.40773000
1772150400000,ARIAUSDT,21375121.00000000,1715139.70904000
1772164800000,ARIAUSDT,21408003.00000000,1723467.33751725
1772179200000,ARIAUSDT,21413692.00000000,1697677.50176000
1772193600000,ARIAUSDT,21330639.00000000,1675543.87731456
1772208000000,ARIAUSDT,21232025.00000000,1639536.97050000
1772222400000,ARIAUSDT,21422909.00000000,1639709.45486000
1772236800000,ARIAUSDT,21478896.00000000,1658981.81431296
1772251200000,ARIAUSDT,21782332.00000000,1638708.36127856
