timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,ARUSDT,1723298.20000000,3397488.05371810
1771574400000,ARUSDT,1713009.70000000,3354072.99260000
1771588800000,ARUSDT,1735504.00000000,3368192.05717920
1771603200000,ARUSDT,1746610.80000000,3543325.48872258
1771617600000,ARUSDT,1767036.00000000,3575082.44937996
1771632000000,ARUSDT,1766653.80000000,3572173.98360000
1771646400000,ARUSDT,1765464.70000000,3552138.88079204
1771660800000,ARUSDT,1769147.40000000,3617021.82391705
1771675200000,ARUSDT,1751208.40000000,3627689.07260398
1771689600000,ARUSDT,1763288.00000000,3611734.06449152
1771704000000,ARUSDT,1758687.30000000,3560632.60943315
1771718400000,ARUSDT,1756838.00000000,3514936.70694880
1771732800000,ARUSDT,1834340.40000000,3654006.07680000
1771747200000,ARUSDT,1866917.90000000,3705832.03150000
1771761600000,ARUSDT,1866437.40000000,3717943.30080000
1771776000000,ARUSDT,1831170.00000000,3609236.07000000
1771790400000,ARUSDT,1835248.10000000,3621617.45007331
1771804800000,ARUSDT,1825420.30000000,3602469.70018045
1771819200000,ARUSDT,1855522.50000000,3465508.99581413
1771833600000,ARUSDT,1865436.90000000,3565036.57151621
1771848000000,ARUSDT,1839941.00000000,3545566.30700000
1771862400000,ARUSDT,1829485.00000000,3433119.01564870
1771876800000,ARUSDT,1811848.10000000,3344671.59260000
1771891200000,ARUSDT,1835090.30000000,3405398.90728457
1771905600000,ARUSDT,1854700.30000000,3440469.05650000
1771920000000,ARUSDT,1860198.10000000,3415323.71160000
1771934400000,ARUSDT,1846498.00000000,3384630.83400000
1771948800000,ARUSDT,1852162.80000000,3459840.11040000
1771963200000,ARUSDT,1867324.60000000,3489793.05002669
1771977600000,ARUSDT,1861978.00000000,3448336.37139396
1771992000000,ARUSDT,1842995.90000000,3466675.28790000
1772006400000,ARUSDT,1824606.30000000,3454774.90757160
1772020800000,ARUSDT,2270208.70000000,3849776.93840931
1772035200000,ARUSDT,2585014.70000000,4674269.12849901
1772049600000,ARUSDT,2483228.00000000,4775247.44400000
1772064000000,ARUSDT,2629426.10000000,4700254.60542103
1772078400000,ARUSDT,2610543.90000000,4620662.70300000
1772092800000,ARUSDT,2596053.00000000,4457423.00100000
1772107200000,ARUSDT,2619092.70000000,4414665.33950350
1772121600000,ARUSDT,2595554.70000000,4365099.68293880
1772136000000,ARUSDT,2561554.70000000,4225683.77279664
1772150400000,ARUSDT,2582087.70000000,4197442.41064193
1772164800000,ARUSDT,2573235.30000000,4279290.30390000
1772179200000,ARUSDT,2514359.20000000,4308216.67717225
1772193600000,ARUSDT,2453547.70000000,4123940.02631652
1772208000000,ARUSDT,2410785.70000000,4018779.76190000
1772222400000,ARUSDT,2410900.50000000,3897585.69269471
1772236800000,ARUSDT,2438138.10000000,3936834.62426261
1772251200000,ARUSDT,2453400.50000000,3897103.97515699
1772265600000,ARUSDT,2540937.30000000,3892715.94360000
1772280000000,ARUSDT,2638525.90000000,3941957.69460000
1772294400000,ARUSDT,2524811.90000000,3841441.46780797
1772308800000,ARUSDT,2503834.60000000,3890958.96840000
1772323200000,ARUSDT,2455611.80000000,3916700.82100000
1772337600000,ARUSDT,2490463.40000000,3974779.58640000
1772352000000,ARUSDT,2530243.90000000,3994209.59601808
1772366400000,ARUSDT,2562671.40000000,3932427.79699576
1772380800000,ARUSDT,2630985.10000000,4083444.68213762
1772395200000,ARUSDT,2653498.80000000,4060856.82338611
