timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,AVNTUSDT,31812411.00000000,6071530.34273154
1771588800000,AVNTUSDT,31300938.00000000,5928397.65720000
1771603200000,AVNTUSDT,31162603.00000000,5945824.65240000
1771617600000,AVNTUSDT,30660475.00000000,5807093.96500000
1771632000000,AVNTUSDT,30722906.00000000,5868075.04600000
1771646400000,AVNTUSDT,30860845.00000000,5940712.66250000
1771660800000,AVNTUSDT,30802208.00000000,5891962.47056416
1771675200000,AVNTUSDT,31479926.00000000,6127512.19123024
1771689600000,AVNTUSDT,31656343.00000000,6035488.19230636
1771704000000,AVNTUSDT,31225770.00000000,5887618.93350000
1771718400000,AVNTUSDT,31144517.00000000,5836596.16328705
1771732800000,AVNTUSDT,31039958.00000000,5722171.55976048
1771747200000,AVNTUSDT,31152861.00000000,5696259.82360209
1771761600000,AVNTUSDT,31257428.00000000,5780983.47760428
1771776000000,AVNTUSDT,31251789.00000000,5682141.52261668
1771790400000,AVNTUSDT,31169871.00000000,5657331.58650000
1771804800000,AVNTUSDT,31088340.00000000,5654969.04600000
1771819200000,AVNTUSDT,30196080.00000000,5206133.93319360
1771833600000,AVNTUSDT,30075401.00000000,5284247.95570000
1771848000000,AVNTUSDT,30082864.00000000,5365777.86911376
1771862400000,AVNTUSDT,29825821.00000000,5172524.21665777
1771876800000,AVNTUSDT,29943170.00000000,5137267.33318250
1771891200000,AVNTUSDT,29773826.00000000,5180645.72400000
1771905600000,AVNTUSDT,29708641.00000000,5168007.64307958
1771920000000,AVNTUSDT,29653036.00000000,5060096.95907492
1771934400000,AVNTUSDT,29736007.00000000,5069989.19350000
1771948800000,AVNTUSDT,29883076.00000000,5307234.29760000
1771963200000,AVNTUSDT,29950368.00000000,5307205.20960000
1771977600000,AVNTUSDT,29571867.00000000,5233183.37362431
1771992000000,AVNTUSDT,29599371.00000000,5313087.09450000
1772006400000,AVNTUSDT,29692888.00000000,5353627.70640000
1772020800000,AVNTUSDT,29449645.00000000,5286211.27750000
1772035200000,AVNTUSDT,29255138.00000000,5388796.41960000
1772049600000,AVNTUSDT,28865157.00000000,5374692.23340000
1772064000000,AVNTUSDT,28943282.00000000,5268833.89754872
1772078400000,AVNTUSDT,29279972.00000000,5299674.93200000
1772092800000,AVNTUSDT,29605330.00000000,5333372.66654310
1772107200000,AVNTUSDT,29426842.00000000,5267537.13878900
1772121600000,AVNTUSDT,29339171.00000000,5240043.12730159
1772136000000,AVNTUSDT,29242115.00000000,5223744.75157780
1772150400000,AVNTUSDT,29181272.00000000,5221393.03463848
1772164800000,AVNTUSDT,29183038.00000000,5460146.40980000
1772179200000,AVNTUSDT,29194175.00000000,5400922.37500000
1772193600000,AVNTUSDT,29180025.00000000,5374960.60500000
1772208000000,AVNTUSDT,29303160.00000000,5355604.34472720
1772222400000,AVNTUSDT,29388800.00000000,5234145.28000000
1772236800000,AVNTUSDT,29408250.00000000,5252313.45000000
1772251200000,AVNTUSDT,29551859.00000000,5231885.94092156
1772265600000,AVNTUSDT,29523096.00000000,4942100.72912688
1772280000000,AVNTUSDT,29816598.00000000,4967445.22680000
1772294400000,AVNTUSDT,29503314.00000000,5027364.70560000
1772308800000,AVNTUSDT,29231192.00000000,5147612.91120000
1772323200000,AVNTUSDT,29161315.00000000,5225707.64800000
1772337600000,AVNTUSDT,28737904.00000000,5151101.75001968
1772352000000,AVNTUSDT,28878987.00000000,5178002.36910000
1772366400000,AVNTUSDT,29219804.00000000,5111981.62615484
1772380800000,AVNTUSDT,29336137.00000000,5106897.21493181
1772395200000,AVNTUSDT,29403659.00000000,5003055.21966743
1772409600000,AVNTUSDT,29297788.00000000,5015781.30560000
1772424000000,AVNTUSDT,28912450.00000000,5049593.22006650
1772438400000,AVNTUSDT,28767829.00000000,4937500.45208659
1772452800000,AVNTUSDT,28995592.00000000,4984342.26480000
1772467200000,AVNTUSDT,29086147.00000000,5218054.77180000
1772481600000,AVNTUSDT,29331898.00000000,5178205.46192626
1772496000000,AVNTUSDT,29629384.00000000,5167364.56960000
1772510400000,AVNTUSDT,29764704.00000000,5101670.26560000
1772524800000,AVNTUSDT,29632882.00000000,5077232.21688196
1772539200000,AVNTUSDT,29479200.00000000,5030995.73875200
1772553600000,AVNTUSDT,29062293.00000000,4931871.12210000
1772568000000,AVNTUSDT,29418716.00000000,4998966.19649804
1772582400000,AVNTUSDT,29368651.00000000,4975049.47940000
1772596800000,AVNTUSDT,28977132.00000000,4897416.96572304
1772611200000,AVNTUSDT,29017882.00000000,4951514.75493294
1772625600000,AVNTUSDT,29295905.00000000,5015458.93600000
1772640000000,AVNTUSDT,28812163.00000000,5109244.72997872
