timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,AXLUSDT,51258396.10000000,2857327.52883996
1771574400000,AXLUSDT,51431524.90000000,2888394.43838400
1771588800000,AXLUSDT,52630292.90000000,2972656.83533679
1771603200000,AXLUSDT,54866373.90000000,3108603.10117777
1771617600000,AXLUSDT,55422308.50000000,3109745.72993500
1771632000000,AXLUSDT,55313293.50000000,3110343.93211590
1771646400000,AXLUSDT,55043916.00000000,3090715.88340000
1771660800000,AXLUSDT,54733715.00000000,3044944.93820570
1771675200000,AXLUSDT,54525146.20000000,3045229.41527000
1771689600000,AXLUSDT,54764917.20000000,3045821.51682119
1771704000000,AXLUSDT,55377987.30000000,3097031.10692856
1771718400000,AXLUSDT,55635061.20000000,3099985.61006400
1771732800000,AXLUSDT,55323313.60000000,3050783.65884597
1771747200000,AXLUSDT,55942581.10000000,3084673.92185400
1771761600000,AXLUSDT,56403505.70000000,3114998.66543413
1771776000000,AXLUSDT,55453854.90000000,2968148.72921183
1771790400000,AXLUSDT,55668106.40000000,2961262.13654268
1771804800000,AXLUSDT,55895211.90000000,2971393.93622095
1771819200000,AXLUSDT,56180187.10000000,2864627.74022900
1771833600000,AXLUSDT,56725913.80000000,2947656.60041733
1771848000000,AXLUSDT,55523744.00000000,2961639.28114720
1771862400000,AXLUSDT,54240054.40000000,2851399.65980800
1771876800000,AXLUSDT,51898575.10000000,2667586.76014000
1771891200000,AXLUSDT,51660678.10000000,2660176.21257283
1771905600000,AXLUSDT,51368518.80000000,2598777.54301817
1771920000000,AXLUSDT,51708363.70000000,2591106.10500700
1771934400000,AXLUSDT,51790720.90000000,2593161.39546300
1771948800000,AXLUSDT,52132475.10000000,2658234.90534900
1771963200000,AXLUSDT,53039129.00000000,2648243.71097000
1771977600000,AXLUSDT,52575807.70000000,2650346.46615700
1771992000000,AXLUSDT,52791199.60000000,2769426.33101600
1772006400000,AXLUSDT,52383617.60000000,2794142.16278400
1772020800000,AXLUSDT,99305245.90000000,6417246.99655964
1772035200000,AXLUSDT,93672875.00000000,5713729.69741125
1772049600000,AXLUSDT,89477202.20000000,5423072.74613455
1772064000000,AXLUSDT,85484294.00000000,5011225.23430746
1772078400000,AXLUSDT,84797727.70000000,4823746.72346464
1772092800000,AXLUSDT,82859242.50000000,4669946.90730000
1772107200000,AXLUSDT,84646164.40000000,4765579.05572000
1772121600000,AXLUSDT,80314095.50000000,4536943.25479500
1772136000000,AXLUSDT,75713864.10000000,4286161.84670100
1772150400000,AXLUSDT,73815935.30000000,4202341.19662900
1772164800000,AXLUSDT,72244032.40000000,4107073.24194000
1772179200000,AXLUSDT,71993638.30000000,4036683.29948100
1772193600000,AXLUSDT,71822465.60000000,4011544.70108547
1772208000000,AXLUSDT,71056658.10000000,3949329.05719800
1772222400000,AXLUSDT,69322259.00000000,3823058.11414913
1772236800000,AXLUSDT,69521518.80000000,3866091.66046800
1772251200000,AXLUSDT,68985286.60000000,3827954.92167350
1772265600000,AXLUSDT,66390063.30000000,3462241.80109500
1772280000000,AXLUSDT,66580817.40000000,3404538.85627438
1772294400000,AXLUSDT,65154173.70000000,3455777.37304800
1772308800000,AXLUSDT,65306397.70000000,3506953.55649000
1772323200000,AXLUSDT,64881715.90000000,3563952.65438700
1772337600000,AXLUSDT,64362049.10000000,3535758.13023060
1772352000000,AXLUSDT,64154449.60000000,3490643.60273600
1772366400000,AXLUSDT,64175341.90000000,3427936.15564320
1772380800000,AXLUSDT,62309800.60000000,3344639.92958855
1772395200000,AXLUSDT,62368479.90000000,3263337.78173245
1772409600000,AXLUSDT,61145652.00000000,3229727.40213996
1772424000000,AXLUSDT,60852582.10000000,3248211.64278918
1772438400000,AXLUSDT,59635870.70000000,3177995.54960300
1772452800000,AXLUSDT,58491166.90000000,3143315.30920600
1772467200000,AXLUSDT,57576219.70000000,3173821.17102325
1772481600000,AXLUSDT,56864263.50000000,3136632.77466000
1772496000000,AXLUSDT,55926514.40000000,3042669.15283369
1772510400000,AXLUSDT,55611448.10000000,3015456.80999653
1772524800000,AXLUSDT,55194499.00000000,2974277.00651280
1772539200000,AXLUSDT,56774451.50000000,2994284.57211000
1772553600000,AXLUSDT,57966840.10000000,3049150.27520936
1772568000000,AXLUSDT,56560085.30000000,2985660.41236607
1772582400000,AXLUSDT,56528675.70000000,2980191.78290400
1772596800000,AXLUSDT,55857953.30000000,2934218.28684900
1772611200000,AXLUSDT,55394370.20000000,2948860.57956459
1772625600000,AXLUSDT,55658737.00000000,3036141.24612251
1772640000000,AXLUSDT,55384623.00000000,3072738.88404000
1772654400000,AXLUSDT,54013865.90000000,2983887.99391370
1772668800000,AXLUSDT,52715354.70000000,2903461.05054852
1772683200000,AXLUSDT,52271938.80000000,2848820.66460000
1772697600000,AXLUSDT,51030279.10000000,2741879.34936580
1772712000000,AXLUSDT,50357858.50000000,2739888.49409706
1772726400000,AXLUSDT,48621486.80000000,2607570.33708400
1772740800000,AXLUSDT,48451164.60000000,2594020.60286800
1772755200000,AXLUSDT,48063094.90000000,2582617.53504711
1772769600000,AXLUSDT,47461312.10000000,2625865.91083505
1772784000000,AXLUSDT,47703645.30000000,2658047.11611600
1772798400000,AXLUSDT,50659333.50000000,2838910.54824654
1772812800000,AXLUSDT,50713275.90000000,2718923.31732328
1772827200000,AXLUSDT,51915428.50000000,2830194.50408318
1772841600000,AXLUSDT,51553511.30000000,2848847.03443800
1772856000000,AXLUSDT,51032458.20000000,2821584.61387800
1772870400000,AXLUSDT,50981291.80000000,2749502.63684088
1772884800000,AXLUSDT,50865993.40000000,2736590.44492000
1772899200000,AXLUSDT,49661985.40000000,2637926.46892275
1772913600000,AXLUSDT,49097906.80000000,2595806.33251600
1772928000000,AXLUSDT,49050381.90000000,2593631.15768047
1772942400000,AXLUSDT,48625911.50000000,2502289.40579000
1772956800000,AXLUSDT,47298048.30000000,2457866.72893365
1772971200000,AXLUSDT,46804259.80000000,2475223.62173388
1772985600000,AXLUSDT,47634529.30000000,2482711.66711600
1773000000000,AXLUSDT,47717112.00000000,2517554.82912000
1773014400000,AXLUSDT,47473034.40000000,2464955.18287049
1773028800000,AXLUSDT,47353982.20000000,2516390.61410800
1773043200000,AXLUSDT,47922290.60000000,2572947.78231400
1773057600000,AXLUSDT,48630310.90000000,2576920.17459100
1773072000000,AXLUSDT,48312183.20000000,2562718.79160034
1773086400000,AXLUSDT,48516005.10000000,2580197.58963024
1773100800000,AXLUSDT,48593726.80000000,2570851.11635400
1773115200000,AXLUSDT,48537152.50000000,2585377.53820738
1773129600000,AXLUSDT,48847317.80000000,2621147.07314800
1773144000000,AXLUSDT,49826840.10000000,2691042.99743679
1773158400000,AXLUSDT,49042035.30000000,2652684.17979735
1773172800000,AXLUSDT,49010162.00000000,2609155.95480048
1773187200000,AXLUSDT,49022303.60000000,2604807.94535458
