timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,BCHUSDT,375439.15700000,210747384.77310200
1771574400000,BCHUSDT,369236.66100000,206336830.90002000
1771588800000,BCHUSDT,367991.92200000,203477453.35068000
1771603200000,BCHUSDT,357642.53400000,198748598.68865395
1771617600000,BCHUSDT,365645.66900000,204717697.15972000
1771632000000,BCHUSDT,365739.40600000,205563833.14230000
1771646400000,BCHUSDT,366291.86800000,206903624.55848000
1771660800000,BCHUSDT,366815.23100000,207136892.79339000
1771675200000,BCHUSDT,368451.60500000,209048387.12885000
1771689600000,BCHUSDT,371603.51100000,212843342.99547000
1771704000000,BCHUSDT,365968.37400000,206391524.20104000
1771718400000,BCHUSDT,366102.91800000,206443552.71736770
1771732800000,BCHUSDT,369412.31700000,210270004.73695654
1771747200000,BCHUSDT,418553.72200000,242925425.65125266
1771761600000,BCHUSDT,406297.19100000,233709020.85128360
1771776000000,BCHUSDT,406509.09100000,231439168.73472010
1771790400000,BCHUSDT,406124.91000000,230207843.98440000
1771804800000,BCHUSDT,410260.52000000,233973460.15027335
1771819200000,BCHUSDT,387090.08300000,208997677.61336000
1771833600000,BCHUSDT,384282.14100000,208458310.76103258
1771848000000,BCHUSDT,375777.32000000,202862507.27012184
1771862400000,BCHUSDT,374550.47500000,200384442.19682446
1771876800000,BCHUSDT,358292.99000000,182525197.89570000
1771891200000,BCHUSDT,334444.03100000,165663788.54282445
1771905600000,BCHUSDT,339605.92500000,164447377.06275000
1771920000000,BCHUSDT,340051.24900000,163557849.74402000
1771934400000,BCHUSDT,336177.00000000,160962801.30824786
1771948800000,BCHUSDT,338698.43900000,160981131.13640755
1771963200000,BCHUSDT,349566.98100000,168732486.05889000
1771977600000,BCHUSDT,346525.26400000,167800928.53563127
1771992000000,BCHUSDT,344503.20700000,171876276.64368588
1772006400000,BCHUSDT,341983.35000000,167740686.09067420
1772020800000,BCHUSDT,340405.82500000,165777636.77500000
1772035200000,BCHUSDT,362078.99500000,187420245.59658894
1772049600000,BCHUSDT,364281.38300000,187782556.99024227
1772064000000,BCHUSDT,358605.68900000,176627663.42016140
1772078400000,BCHUSDT,357969.69900000,178848821.01438000
1772092800000,BCHUSDT,357374.68900000,179141737.35046765
1772107200000,BCHUSDT,357028.29400000,178767637.08874000
1772121600000,BCHUSDT,354114.38400000,173233191.55129840
1772136000000,BCHUSDT,356696.73500000,172008040.99509782
1772150400000,BCHUSDT,359086.84900000,171643513.82200000
1772164800000,BCHUSDT,358699.64400000,172401809.89572000
1772179200000,BCHUSDT,359789.32700000,173125861.94488890
1772193600000,BCHUSDT,363804.09000000,172526813.60070000
1772208000000,BCHUSDT,372090.07700000,173169662.09721440
1772222400000,BCHUSDT,374604.30700000,173430556.01179000
1772236800000,BCHUSDT,375434.54700000,173139150.03999000
1772251200000,BCHUSDT,375138.69300000,173160269.30187000
1772265600000,BCHUSDT,368528.35500000,164399749.22135340
1772280000000,BCHUSDT,360247.03800000,160243923.24721718
1772294400000,BCHUSDT,353845.32700000,157174555.80013000
1772308800000,BCHUSDT,351739.24000000,157766228.36274314
1772323200000,BCHUSDT,356405.37600000,162984801.32021943
1772337600000,BCHUSDT,352048.69200000,162242855.12814525
1772352000000,BCHUSDT,352601.79900000,159576996.17343000
1772366400000,BCHUSDT,354231.60900000,158008551.51054000
1772380800000,BCHUSDT,352463.23600000,157539197.78950086
1772395200000,BCHUSDT,359128.81300000,156810004.90832000
1772409600000,BCHUSDT,357832.66100000,157900818.31947000
1772424000000,BCHUSDT,354127.01500000,159311120.23805000
1772438400000,BCHUSDT,350809.20400000,154468308.70528000
1772452800000,BCHUSDT,356255.49900000,155876031.03246000
1772467200000,BCHUSDT,355114.17500000,158768034.37367678
1772481600000,BCHUSDT,355682.64900000,157992519.02102444
1772496000000,BCHUSDT,354695.88700000,157743901.82551000
1772510400000,BCHUSDT,357486.79300000,158699112.01649000
1772524800000,BCHUSDT,359959.45200000,159839994.66060000
1772539200000,BCHUSDT,362949.51900000,158783155.57212000
