timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,BEAMXUSDT,2560786171.00000000,5849885.53689411
1771574400000,BEAMXUSDT,2584921337.00000000,5874233.73833250
1771588800000,BEAMXUSDT,2584626581.00000000,5852059.81216858
1771603200000,BEAMXUSDT,2607601073.00000000,5989659.66468100
1771617600000,BEAMXUSDT,2606799719.00000000,6000852.95313800
1771632000000,BEAMXUSDT,2608520779.00000000,6021770.21832150
1771646400000,BEAMXUSDT,2616843507.00000000,6039439.29824037
1771660800000,BEAMXUSDT,2625390837.00000000,5997390.32022606
1771675200000,BEAMXUSDT,2624371854.00000000,6064923.35459400
1771689600000,BEAMXUSDT,2619853766.00000000,6024563.32321828
1771704000000,BEAMXUSDT,2617682146.00000000,6022003.95369446
1771718400000,BEAMXUSDT,2652758547.00000000,6061659.39023688
1771732800000,BEAMXUSDT,2660167499.00000000,5988037.04024900
1771747200000,BEAMXUSDT,2670107383.00000000,5973030.21577100
1771761600000,BEAMXUSDT,2670346846.00000000,6018961.79088400
1771776000000,BEAMXUSDT,2655014505.00000000,5877432.15986355
1771790400000,BEAMXUSDT,2689995809.00000000,5628977.63008104
1771804800000,BEAMXUSDT,2697164541.00000000,5754319.63328727
1771819200000,BEAMXUSDT,2736666427.00000000,5532198.54884477
1771833600000,BEAMXUSDT,2744477850.00000000,5738703.18435000
1771848000000,BEAMXUSDT,2755145734.00000000,5701140.41299418
1771862400000,BEAMXUSDT,2824419873.00000000,5715270.10141296
1771876800000,BEAMXUSDT,2851931856.00000000,5601194.16518400
1771891200000,BEAMXUSDT,2882122723.00000000,5562496.85539000
1771905600000,BEAMXUSDT,2900574394.00000000,5431615.61020440
1771920000000,BEAMXUSDT,2912423565.00000000,5408370.56020500
1771934400000,BEAMXUSDT,2972127066.00000000,5634796.26188808
1771948800000,BEAMXUSDT,2981027192.00000000,5771328.26425584
1771963200000,BEAMXUSDT,2988724909.00000000,5831719.59143716
1771977600000,BEAMXUSDT,2985349660.00000000,5842329.28462000
1771992000000,BEAMXUSDT,2985861136.00000000,5825892.81411776
1772006400000,BEAMXUSDT,2982457766.00000000,5874785.65831148
1772020800000,BEAMXUSDT,2958640093.00000000,5888551.79069697
1772035200000,BEAMXUSDT,2941117688.00000000,6071760.99981472
1772049600000,BEAMXUSDT,2923543131.00000000,6206682.06711300
1772064000000,BEAMXUSDT,2929588529.00000000,6024317.96337973
1772078400000,BEAMXUSDT,2929039568.00000000,6001602.07483200
1772092800000,BEAMXUSDT,2920596580.00000000,5834446.58190020
1772107200000,BEAMXUSDT,2915622043.00000000,5789958.87787112
1772121600000,BEAMXUSDT,2914688521.00000000,5712789.50116000
1772136000000,BEAMXUSDT,2862791296.00000000,5602482.56627200
1772150400000,BEAMXUSDT,2859529649.00000000,5561785.16730500
1772164800000,BEAMXUSDT,2856611934.00000000,5570393.27130000
1772179200000,BEAMXUSDT,2877841680.00000000,5661031.14714480
1772193600000,BEAMXUSDT,2889254396.00000000,5518475.89636000
1772208000000,BEAMXUSDT,2873096330.00000000,5547949.01323000
1772222400000,BEAMXUSDT,2873756751.00000000,5452953.43502250
1772236800000,BEAMXUSDT,2872204446.00000000,5526121.35410400
1772251200000,BEAMXUSDT,2865551757.00000000,5548797.11121966
1772265600000,BEAMXUSDT,2830383770.00000000,5156959.22894000
1772280000000,BEAMXUSDT,2821014430.00000000,5089110.03172000
1772294400000,BEAMXUSDT,2822673680.00000000,5178731.17395920
1772308800000,BEAMXUSDT,2827461513.00000000,5338812.82884660
1772323200000,BEAMXUSDT,2842279644.00000000,5431397.44010892
1772337600000,BEAMXUSDT,2847689680.00000000,5482201.31055520
1772352000000,BEAMXUSDT,2835363454.00000000,5407236.58221978
1772366400000,BEAMXUSDT,2825016386.00000000,5294080.70736400
1772380800000,BEAMXUSDT,2852227346.00000000,5390167.76074426
1772395200000,BEAMXUSDT,2903689338.00000000,5355738.83636748
1772409600000,BEAMXUSDT,2900047793.00000000,5405863.08901958
1772424000000,BEAMXUSDT,2902962310.00000000,5489356.58009450
1772438400000,BEAMXUSDT,2923442155.00000000,5455143.06123000
1772452800000,BEAMXUSDT,2921446025.00000000,5499855.85774450
1772467200000,BEAMXUSDT,2936221415.00000000,5736671.95177040
1772481600000,BEAMXUSDT,2928349311.00000000,5672212.61540700
1772496000000,BEAMXUSDT,2920019999.00000000,5608365.61127934
1772510400000,BEAMXUSDT,2914343518.00000000,5577936.91971128
1772524800000,BEAMXUSDT,2916422792.00000000,5570367.53272000
1772539200000,BEAMXUSDT,2916853546.00000000,5466591.90470044
1772553600000,BEAMXUSDT,2920665439.00000000,5514216.34883200
1772568000000,BEAMXUSDT,2915022927.00000000,5582268.90520500
1772582400000,BEAMXUSDT,2916872276.00000000,5563642.17924240
1772596800000,BEAMXUSDT,2915679342.00000000,5548129.59271812
1772611200000,BEAMXUSDT,2914279219.00000000,5598330.37969900
