timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,BELUSDT,12254354.00000000,1166001.78310000
1771574400000,BELUSDT,12391517.00000000,1171617.93235000
1771588800000,BELUSDT,12915200.00000000,1206279.68000000
1771603200000,BELUSDT,12513962.00000000,1191329.18240000
1771617600000,BELUSDT,12404138.00000000,1174671.86860000
1771632000000,BELUSDT,12379165.00000000,1182311.89044465
1771646400000,BELUSDT,12564412.00000000,1199273.12540000
1771660800000,BELUSDT,12681001.00000000,1204061.04495000
1771675200000,BELUSDT,12960061.00000000,1233780.82952009
1771689600000,BELUSDT,13058562.00000000,1235986.88636148
1771704000000,BELUSDT,13002278.00000000,1230015.49880000
1771718400000,BELUSDT,12835786.00000000,1197578.83380000
1771732800000,BELUSDT,12851539.00000000,1186197.04970000
1771747200000,BELUSDT,12654626.00000000,1170028.24420604
1771761600000,BELUSDT,22552396.00000000,2481683.02118492
1771776000000,BELUSDT,26033522.00000000,3030301.96080000
1771790400000,BELUSDT,25087800.00000000,2925237.48000000
1771804800000,BELUSDT,27039231.00000000,3081204.73485072
1771819200000,BELUSDT,25012083.00000000,2752614.25082454
1771833600000,BELUSDT,24784185.00000000,2702930.25313395
1771848000000,BELUSDT,23768864.00000000,2498655.95409248
1771862400000,BELUSDT,23799711.00000000,2458510.14630000
1771876800000,BELUSDT,21782202.00000000,2200817.70982086
1771891200000,BELUSDT,20584631.00000000,2085223.12030000
1771905600000,BELUSDT,20626125.00000000,2059560.45228375
1771920000000,BELUSDT,19594855.00000000,1876180.71724720
1771934400000,BELUSDT,19233458.00000000,1837756.91190000
1771948800000,BELUSDT,19215090.00000000,1843090.87265370
1771963200000,BELUSDT,19148452.00000000,1808472.86835672
1771977600000,BELUSDT,18790452.00000000,1782380.35034928
1771992000000,BELUSDT,18645640.00000000,1799291.76742120
1772006400000,BELUSDT,18529581.00000000,1843693.30950000
1772020800000,BELUSDT,18799932.00000000,1860299.51923272
1772035200000,BELUSDT,18750643.00000000,1869387.73033818
1772049600000,BELUSDT,18830062.00000000,1940375.18499354
1772064000000,BELUSDT,18405259.00000000,1873655.36620000
1772078400000,BELUSDT,18665209.00000000,1855321.77460000
1772092800000,BELUSDT,18850122.00000000,1835121.39360138
1772107200000,BELUSDT,18867819.00000000,1849046.26200000
1772121600000,BELUSDT,18811546.00000000,1849174.97180000
1772136000000,BELUSDT,18564964.00000000,1836074.93960000
1772150400000,BELUSDT,18574199.00000000,1834755.84812219
1772164800000,BELUSDT,18488714.00000000,1856993.30717306
1772179200000,BELUSDT,18632589.00000000,1859532.38220000
1772193600000,BELUSDT,19024586.00000000,1852492.80782132
1772208000000,BELUSDT,18836212.00000000,1841239.72300000
1772222400000,BELUSDT,18521477.00000000,1799041.25421267
1772236800000,BELUSDT,18453997.00000000,1803855.87741363
1772251200000,BELUSDT,18298120.00000000,1784066.70000000
1772265600000,BELUSDT,16991634.00000000,1543304.06889186
1772280000000,BELUSDT,16873402.00000000,1514460.21639458
1772294400000,BELUSDT,16822281.00000000,1527463.11480000
1772308800000,BELUSDT,16769212.00000000,1559140.12413620
1772323200000,BELUSDT,16765817.00000000,1607358.49179589
1772337600000,BELUSDT,16702901.00000000,1629581.78968280
1772352000000,BELUSDT,16796193.00000000,1628394.43855053
1772366400000,BELUSDT,16561896.00000000,1556818.22400000
1772380800000,BELUSDT,16321184.00000000,1521134.34880000
1772395200000,BELUSDT,15927514.00000000,1471043.53162096
1772409600000,BELUSDT,16002753.00000000,1474653.68895000
1772424000000,BELUSDT,16102185.00000000,1499113.42350000
1772438400000,BELUSDT,16360609.00000000,1492874.48609290
1772452800000,BELUSDT,15824590.00000000,1469239.28066470
1772467200000,BELUSDT,15864413.00000000,1505967.16132794
1772481600000,BELUSDT,15890871.00000000,1544592.66120000
1772496000000,BELUSDT,16123620.00000000,1523682.09000000
1772510400000,BELUSDT,15972041.00000000,1512552.28270000
1772524800000,BELUSDT,15976353.00000000,1524144.07620000
1772539200000,BELUSDT,15714463.00000000,1472445.18310000
1772553600000,BELUSDT,15332406.00000000,1440814.09679892
1772568000000,BELUSDT,15566170.00000000,1478786.15000000
1772582400000,BELUSDT,15722386.00000000,1487337.71560000
1772596800000,BELUSDT,15797834.00000000,1461528.39763632
1772611200000,BELUSDT,15804612.00000000,1484943.34059396
1772625600000,BELUSDT,15850954.00000000,1506616.21717922
1772640000000,BELUSDT,19049049.00000000,1954520.81498736
1772654400000,BELUSDT,16759719.00000000,1658383.24529826
1772668800000,BELUSDT,16341275.00000000,1590605.29205425
1772683200000,BELUSDT,16122762.00000000,1554234.25680000
1772697600000,BELUSDT,16025844.00000000,1550247.83969856
1772712000000,BELUSDT,16223035.00000000,1601213.55450000
1772726400000,BELUSDT,16013825.00000000,1566152.08500000
1772740800000,BELUSDT,15998655.00000000,1596665.76900000
1772755200000,BELUSDT,16087309.00000000,1599078.51460000
1772769600000,BELUSDT,16221784.00000000,1613256.41880000
1772784000000,BELUSDT,16133719.00000000,1612565.21405000
1772798400000,BELUSDT,16338206.00000000,1609313.29100000
1772812800000,BELUSDT,16110561.00000000,1542498.25208694
1772827200000,BELUSDT,16088814.00000000,1547743.90680000
1772841600000,BELUSDT,16145607.00000000,1557202.30094001
1772856000000,BELUSDT,16216560.00000000,1552735.62000000
1772870400000,BELUSDT,16290155.00000000,1555709.80250000
1772884800000,BELUSDT,16468805.00000000,1567830.23600000
1772899200000,BELUSDT,16535599.00000000,1574744.12485843
1772913600000,BELUSDT,16471819.00000000,1542538.24579309
1772928000000,BELUSDT,16510898.00000000,1555061.26146914
1772942400000,BELUSDT,16475366.00000000,1534570.45220878
1772956800000,BELUSDT,16489145.00000000,1564819.86050000
1772971200000,BELUSDT,16539184.00000000,1577011.19440000
1772985600000,BELUSDT,16223392.00000000,1528243.52640000
1773000000000,BELUSDT,15517461.00000000,1448489.03514075
1773014400000,BELUSDT,15427173.00000000,1437812.52360000
1773028800000,BELUSDT,15315557.00000000,1453446.35930000
1773043200000,BELUSDT,15389757.00000000,1480494.62340000
1773057600000,BELUSDT,15441434.00000000,1467965.71040478
1773072000000,BELUSDT,15478824.00000000,1485967.10400000
1773086400000,BELUSDT,15502880.00000000,1488276.48000000
1773100800000,BELUSDT,15397233.00000000,1462001.45520726
1773115200000,BELUSDT,15356666.00000000,1466561.60300000
1773129600000,BELUSDT,15428201.00000000,1497637.53339743
1773144000000,BELUSDT,15493290.00000000,1501299.80100000
1773158400000,BELUSDT,15532146.00000000,1508171.37660000
1773172800000,BELUSDT,15269643.00000000,1465131.56033223
1773187200000,BELUSDT,15183396.00000000,1465956.88380000
1773201600000,BELUSDT,15075048.00000000,1450219.61760000
1773216000000,BELUSDT,15213643.00000000,1494218.59679510
1773230400000,BELUSDT,15129454.00000000,1469791.80965034
1773244800000,BELUSDT,15151738.00000000,1485599.72866732
1773259200000,BELUSDT,15270319.00000000,1518800.43454305
1773273600000,BELUSDT,15249393.00000000,1508164.96770000
1773288000000,BELUSDT,15273191.00000000,1511244.06647250
1773302400000,BELUSDT,15319585.00000000,1528128.60375000
1773316800000,BELUSDT,15096936.00000000,1548514.76704656
1773331200000,BELUSDT,14844402.00000000,1504555.99759422
1773345600000,BELUSDT,14733891.00000000,1500646.79835000
1773360000000,BELUSDT,14728977.00000000,1511935.23335103
1773374400000,BELUSDT,14669580.00000000,1500698.03400000
1773388800000,BELUSDT,14764066.00000000,1500767.30890000
