timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,BICOUSDT,48622317.00000000,1098556.58493339
1771574400000,BICOUSDT,48044132.00000000,1088492.65900520
1771588800000,BICOUSDT,47424859.00000000,1065162.33314000
1771603200000,BICOUSDT,47281119.00000000,1073399.13128631
1771617600000,BICOUSDT,47661127.00000000,1074665.47465235
1771632000000,BICOUSDT,47539172.00000000,1085081.60090000
1771646400000,BICOUSDT,47959833.00000000,1091252.62137051
1771660800000,BICOUSDT,48517881.00000000,1106215.93483977
1771675200000,BICOUSDT,48325312.00000000,1134678.32576000
1771689600000,BICOUSDT,47804240.00000000,1106004.15510640
1771704000000,BICOUSDT,47848600.00000000,1083770.79000000
1771718400000,BICOUSDT,47742255.00000000,1067278.11052500
1771732800000,BICOUSDT,47318836.00000000,1070352.07032000
1771747200000,BICOUSDT,47146877.00000000,1070983.27177553
1771761600000,BICOUSDT,46581016.00000000,1050237.47981352
1771776000000,BICOUSDT,46508592.00000000,1020854.29268160
1771790400000,BICOUSDT,47921346.00000000,1064723.17441644
1771804800000,BICOUSDT,48003748.00000000,1035440.84436000
1771819200000,BICOUSDT,47417211.00000000,998784.75237336
1771833600000,BICOUSDT,47726144.00000000,1007021.63840000
1771848000000,BICOUSDT,47091242.00000000,999187.62370504
1771862400000,BICOUSDT,46305307.00000000,961938.57571581
1771876800000,BICOUSDT,45330792.00000000,935627.54688000
1771891200000,BICOUSDT,44951496.00000000,940503.06923952
1771905600000,BICOUSDT,45537943.00000000,952653.76756000
1771920000000,BICOUSDT,46123986.00000000,949258.84503174
1771934400000,BICOUSDT,45569808.00000000,947379.90318912
1771948800000,BICOUSDT,44862550.00000000,940162.02907500
1771963200000,BICOUSDT,46300059.00000000,944058.20301000
1771977600000,BICOUSDT,46180126.00000000,944383.57670000
1771992000000,BICOUSDT,46194078.00000000,960836.82240000
1772006400000,BICOUSDT,47003422.00000000,991769.85402890
1772020800000,BICOUSDT,47115746.00000000,994699.61987518
1772035200000,BICOUSDT,46547455.00000000,1011975.65134215
1772049600000,BICOUSDT,45812782.00000000,1025598.38118286
1772064000000,BICOUSDT,45568227.00000000,978169.38351108
1772078400000,BICOUSDT,46976336.00000000,992728.82981008
1772092800000,BICOUSDT,48519178.00000000,999915.72807326
1772107200000,BICOUSDT,48822400.00000000,1006940.51814400
1772121600000,BICOUSDT,49436423.00000000,1014042.87476138
1772136000000,BICOUSDT,50286557.00000000,1029246.64264991
1772150400000,BICOUSDT,49915163.00000000,1032245.57084000
1772164800000,BICOUSDT,49291873.00000000,1032171.82062000
1772179200000,BICOUSDT,49844297.00000000,1040250.47839000
1772193600000,BICOUSDT,49689960.00000000,1028085.27240000
1772208000000,BICOUSDT,50278695.00000000,1029707.67360000
1772222400000,BICOUSDT,50257142.00000000,1019717.41118000
1772236800000,BICOUSDT,49768235.00000000,1021781.67913800
1772251200000,BICOUSDT,49516670.00000000,1005683.56770000
1772265600000,BICOUSDT,50087020.00000000,959652.77796420
1772280000000,BICOUSDT,50795526.00000000,946674.18624096
