timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,BRUSDT,9860969.00000000,497387.27636000
1771574400000,BRUSDT,9826928.00000000,502800.96208464
1771588800000,BRUSDT,9791225.00000000,496072.41462500
1771603200000,BRUSDT,9705596.00000000,495082.45196000
1771617600000,BRUSDT,9730833.00000000,498602.43365352
1771632000000,BRUSDT,9702076.00000000,500627.12160000
1771646400000,BRUSDT,9629236.00000000,493402.05264000
1771660800000,BRUSDT,9594579.00000000,489856.02813450
1771675200000,BRUSDT,9815823.00000000,509061.63582459
1771689600000,BRUSDT,9676007.00000000,495327.95769952
1771704000000,BRUSDT,9699226.00000000,490780.83560000
1771718400000,BRUSDT,9649544.00000000,486047.53128000
1771732800000,BRUSDT,9639113.00000000,489477.33904729
1771747200000,BRUSDT,9491486.00000000,487079.23789014
1771761600000,BRUSDT,9469571.00000000,494027.51907000
1771776000000,BRUSDT,9624083.00000000,512085.23384459
1771790400000,BRUSDT,9589290.00000000,501130.06236150
1771804800000,BRUSDT,9415947.00000000,484167.99474000
1771819200000,BRUSDT,9411414.00000000,477535.14636000
1771833600000,BRUSDT,9915568.00000000,523046.21200000
1771848000000,BRUSDT,9888170.00000000,521299.37831500
1771862400000,BRUSDT,9468550.00000000,484742.41725000
1771876800000,BRUSDT,9409603.00000000,480830.71330000
1771891200000,BRUSDT,9381818.00000000,478472.71800000
1771905600000,BRUSDT,9865115.00000000,503022.21385000
1771920000000,BRUSDT,10228147.00000000,523067.43758000
1771934400000,BRUSDT,10116471.00000000,546303.69822411
1771948800000,BRUSDT,10134177.00000000,553123.38066000
1771963200000,BRUSDT,10023069.00000000,560825.69106081
1771977600000,BRUSDT,9870003.00000000,545508.25550793
1771992000000,BRUSDT,10308364.00000000,585308.90792000
1772006400000,BRUSDT,10167969.00000000,576523.84230000
1772020800000,BRUSDT,10256937.00000000,593014.14646767
1772035200000,BRUSDT,10294729.00000000,597418.56596350
1772049600000,BRUSDT,10349764.00000000,592060.94055864
1772064000000,BRUSDT,10338234.00000000,603339.33624000
1772078400000,BRUSDT,10249445.00000000,596210.21565000
1772092800000,BRUSDT,10035545.00000000,554263.15035000
1772107200000,BRUSDT,10185662.00000000,588500.35464246
1772121600000,BRUSDT,10103863.00000000,585422.87415150
1772136000000,BRUSDT,10093035.00000000,587440.27330890
1772150400000,BRUSDT,10014109.00000000,566398.00504000
1772164800000,BRUSDT,9993055.00000000,558625.16519370
1772179200000,BRUSDT,10282213.00000000,547323.32903343
1772193600000,BRUSDT,10471042.00000000,548220.40900612
1772208000000,BRUSDT,10614185.00000000,560959.67725000
1772222400000,BRUSDT,10605851.00000000,554261.77326000
1772236800000,BRUSDT,10626858.00000000,552065.27310000
1772251200000,BRUSDT,10882085.00000000,578780.01385250
1772265600000,BRUSDT,11275662.00000000,582726.21216000
1772280000000,BRUSDT,11505237.00000000,617946.27927000
1772294400000,BRUSDT,11897296.00000000,678843.05354560
1772308800000,BRUSDT,11474633.00000000,650106.80724800
1772323200000,BRUSDT,11426097.00000000,651827.06930034
1772337600000,BRUSDT,11391079.00000000,631521.41976000
1772352000000,BRUSDT,11478788.00000000,643730.43104000
1772366400000,BRUSDT,11470203.00000000,634946.50720251
1772380800000,BRUSDT,11539154.00000000,629020.40119182
1772395200000,BRUSDT,11527053.00000000,626495.33055000
1772409600000,BRUSDT,11382847.00000000,611503.61511050
1772424000000,BRUSDT,11364147.00000000,618878.83141683
1772438400000,BRUSDT,11326223.00000000,612295.61538000
1772452800000,BRUSDT,11295364.00000000,601704.04028000
1772467200000,BRUSDT,11340803.00000000,625785.50954000
1772481600000,BRUSDT,11652584.00000000,656506.58256000
1772496000000,BRUSDT,11419314.00000000,629660.97396000
1772510400000,BRUSDT,11427367.00000000,627960.44241511
1772524800000,BRUSDT,11397122.00000000,637896.91834000
1772539200000,BRUSDT,11274125.00000000,629208.91625000
1772553600000,BRUSDT,11214693.00000000,602453.30796000
1772568000000,BRUSDT,11305530.00000000,629424.75555180
1772582400000,BRUSDT,11407478.00000000,637335.79586000
1772596800000,BRUSDT,11348618.00000000,622026.83147440
1772611200000,BRUSDT,11370998.00000000,636951.45620912
1772625600000,BRUSDT,11307407.00000000,635771.28364863
1772640000000,BRUSDT,11364231.00000000,648867.24760323
1772654400000,BRUSDT,11519478.00000000,654191.15562000
1772668800000,BRUSDT,11431418.00000000,637301.55350000
1772683200000,BRUSDT,11470644.00000000,639705.08346516
1772697600000,BRUSDT,11608030.00000000,648939.25585020
1772712000000,BRUSDT,11533213.00000000,651511.20237000
1772726400000,BRUSDT,11593079.00000000,646213.64225507
1772740800000,BRUSDT,11634882.00000000,668773.01736000
1772755200000,BRUSDT,11512143.00000000,650781.44379000
1772769600000,BRUSDT,11546062.00000000,671980.80840000
1772784000000,BRUSDT,11470660.00000000,661325.64632220
1772798400000,BRUSDT,11505567.00000000,648338.70045000
1772812800000,BRUSDT,11852011.00000000,694812.29286400
1772827200000,BRUSDT,12524469.00000000,736188.28782000
1772841600000,BRUSDT,12929028.00000000,793055.07068508
1772856000000,BRUSDT,12458169.00000000,768544.44561000
