timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,CETUSUSDT,65250494.00000000,1077285.65594000
1771574400000,CETUSUSDT,65349956.00000000,1078927.77356000
1771588800000,CETUSUSDT,65202130.00000000,1071515.50388750
1771603200000,CETUSUSDT,67084466.00000000,1121421.50095696
1771617600000,CETUSUSDT,66470359.00000000,1105413.37013103
1771632000000,CETUSUSDT,66558250.00000000,1108860.44500000
1771646400000,CETUSUSDT,66625998.00000000,1103992.78686000
1771660800000,CETUSUSDT,66217170.00000000,1103840.22390000
1771675200000,CETUSUSDT,70524303.00000000,1222106.47852761
1771689600000,CETUSUSDT,70261295.00000000,1206187.59568515
1771704000000,CETUSUSDT,70240813.00000000,1206021.41345553
1771718400000,CETUSUSDT,77703827.00000000,1329503.93254903
1771732800000,CETUSUSDT,77220354.00000000,1303158.33884736
1771747200000,CETUSUSDT,76797868.00000000,1280628.25623908
1771761600000,CETUSUSDT,73506698.00000000,1221299.82099738
1771776000000,CETUSUSDT,74390444.00000000,1228186.23044000
1771790400000,CETUSUSDT,74136244.00000000,1216946.44526000
1771804800000,CETUSUSDT,70295722.00000000,1154255.75524000
1771819200000,CETUSUSDT,66527453.00000000,1044759.76212807
1771833600000,CETUSUSDT,66786758.00000000,1060573.71704000
1771848000000,CETUSUSDT,65905399.00000000,1047236.79011000
1771862400000,CETUSUSDT,65438422.00000000,1015931.50155000
1771876800000,CETUSUSDT,64827101.00000000,991854.64530000
1771891200000,CETUSUSDT,64578042.00000000,997668.10819926
1771905600000,CETUSUSDT,64490107.00000000,981539.42854000
1771920000000,CETUSUSDT,64895287.00000000,973104.82856500
1771934400000,CETUSUSDT,64461975.00000000,971119.65337500
1771948800000,CETUSUSDT,62591065.00000000,962378.30856725
1771963200000,CETUSUSDT,61633601.00000000,949882.26654776
1771977600000,CETUSUSDT,62132737.00000000,951525.58751280
1771992000000,CETUSUSDT,62975922.00000000,988988.36355006
1772006400000,CETUSUSDT,63037601.00000000,992964.50869594
1772020800000,CETUSUSDT,62286998.00000000,982265.95846000
1772035200000,CETUSUSDT,61389823.00000000,1000654.11490000
1772049600000,CETUSUSDT,60719964.00000000,1025628.19831968
1772064000000,CETUSUSDT,59466716.00000000,990868.91268728
1772078400000,CETUSUSDT,60156787.00000000,990180.71402000
1772092800000,CETUSUSDT,60243187.00000000,985224.91181231
1772107200000,CETUSUSDT,59538383.00000000,962437.96119500
1772121600000,CETUSUSDT,58976060.00000000,952178.51463020
1772136000000,CETUSUSDT,59450332.00000000,960403.46736704
1772150400000,CETUSUSDT,59679253.00000000,960199.19567049
1772164800000,CETUSUSDT,59973194.00000000,982960.64966000
1772179200000,CETUSUSDT,59958445.00000000,988714.75805000
1772193600000,CETUSUSDT,60112372.00000000,965494.86287800
1772208000000,CETUSUSDT,60223961.00000000,962378.89678000
1772222400000,CETUSUSDT,60285699.00000000,950102.61624000
1772236800000,CETUSUSDT,60384334.00000000,954676.32054000
1772251200000,CETUSUSDT,60542750.00000000,955364.59500000
1772265600000,CETUSUSDT,60872223.00000000,908822.28939000
1772280000000,CETUSUSDT,61778673.00000000,913706.57367000
1772294400000,CETUSUSDT,61874646.00000000,941732.11212000
1772308800000,CETUSUSDT,62599465.00000000,998784.47998940
1772323200000,CETUSUSDT,62747270.00000000,1040349.73660000
1772337600000,CETUSUSDT,66457357.00000000,1130761.29617788
1772352000000,CETUSUSDT,67559274.00000000,1138373.76690000
1772366400000,CETUSUSDT,66784413.00000000,1090448.54917857
1772380800000,CETUSUSDT,67038675.00000000,1081333.82775000
1772395200000,CETUSUSDT,65011934.00000000,1021337.48314000
1772409600000,CETUSUSDT,63504021.00000000,1009713.93390000
1772424000000,CETUSUSDT,63224517.00000000,1028662.89159000
1772438400000,CETUSUSDT,63184932.00000000,1005893.37600156
1772452800000,CETUSUSDT,63375996.00000000,1023190.24518096
1772467200000,CETUSUSDT,62923676.00000000,1062780.88764000
1772481600000,CETUSUSDT,63781037.00000000,1070883.61123000
1772496000000,CETUSUSDT,62681488.00000000,1031258.40591168
1772510400000,CETUSUSDT,62176754.00000000,1027159.97608000
1772524800000,CETUSUSDT,62026644.00000000,1024680.15888000
1772539200000,CETUSUSDT,61200364.00000000,997535.33301800
1772553600000,CETUSUSDT,61075022.00000000,1000036.91347602
1772568000000,CETUSUSDT,61183742.00000000,1009531.74300000
1772582400000,CETUSUSDT,61037385.00000000,1004675.35710000
1772596800000,CETUSUSDT,60008177.00000000,985729.12014466
1772611200000,CETUSUSDT,59303163.00000000,985910.34062196
1772625600000,CETUSUSDT,59529265.00000000,1006044.57850000
1772640000000,CETUSUSDT,60452102.00000000,1048356.72575788
1772654400000,CETUSUSDT,58986486.00000000,1007450.83966410
1772668800000,CETUSUSDT,59055673.00000000,997083.58124067
1772683200000,CETUSUSDT,59464097.00000000,999779.97175749
1772697600000,CETUSUSDT,60044029.00000000,1004239.38722645
1772712000000,CETUSUSDT,60269862.00000000,1028139.95966628
1772726400000,CETUSUSDT,59849819.00000000,1006894.20291392
1772740800000,CETUSUSDT,59903100.00000000,1005144.06645000
1772755200000,CETUSUSDT,59786042.00000000,1000818.34308000
1772769600000,CETUSUSDT,60390799.00000000,1029059.21496000
1772784000000,CETUSUSDT,60721308.00000000,1034083.87524000
1772798400000,CETUSUSDT,60795785.00000000,1007040.22943335
1772812800000,CETUSUSDT,60528037.00000000,972685.55459000
1772827200000,CETUSUSDT,59784316.00000000,967310.23288000
1772841600000,CETUSUSDT,59762856.00000000,963377.23872000
1772856000000,CETUSUSDT,60003768.00000000,963360.49524000
1772870400000,CETUSUSDT,60147128.00000000,950324.62240000
1772884800000,CETUSUSDT,60618078.00000000,961099.62669000
1772899200000,CETUSUSDT,60704878.00000000,951913.79896678
1772913600000,CETUSUSDT,60517149.00000000,946488.21036000
1772928000000,CETUSUSDT,59189760.00000000,923360.25600000
1772942400000,CETUSUSDT,58918963.00000000,901080.69577828
1772956800000,CETUSUSDT,58584242.00000000,910622.32664202
1772971200000,CETUSUSDT,57996524.00000000,909965.46156000
1772985600000,CETUSUSDT,58316280.00000000,901569.68880000
1773000000000,CETUSUSDT,58297426.00000000,912665.44218058
1773014400000,CETUSUSDT,58362463.00000000,902867.30261000
1773028800000,CETUSUSDT,58289229.00000000,916889.57217000
1773043200000,CETUSUSDT,57684704.00000000,913902.22655424
1773057600000,CETUSUSDT,57382722.00000000,908368.48926000
1773072000000,CETUSUSDT,56910278.00000000,919198.30627538
1773086400000,CETUSUSDT,56683743.00000000,933014.40978000
1773100800000,CETUSUSDT,56803802.00000000,916502.64748306
1773115200000,CETUSUSDT,56798345.00000000,920550.65683575
1773129600000,CETUSUSDT,57076962.00000000,936347.56161000
1773144000000,CETUSUSDT,57106433.00000000,950822.10945000
1773158400000,CETUSUSDT,56418471.00000000,944918.55551169
1773172800000,CETUSUSDT,56163085.00000000,917685.71345110
1773187200000,CETUSUSDT,56256442.00000000,920400.95883802
1773201600000,CETUSUSDT,55256986.00000000,901971.93901492
1773216000000,CETUSUSDT,54787153.00000000,902070.47414500
1773230400000,CETUSUSDT,54799581.00000000,905991.06075261
1773244800000,CETUSUSDT,53836204.00000000,917376.99159060
1773259200000,CETUSUSDT,53234970.00000000,915011.18195520
1773273600000,CETUSUSDT,51323676.00000000,866537.14113852
1773288000000,CETUSUSDT,50903253.00000000,864464.49407250
1773302400000,CETUSUSDT,51325878.00000000,887513.22438894
1773316800000,CETUSUSDT,52332943.00000000,943786.42395661
1773331200000,CETUSUSDT,57369440.00000000,1012532.75216960
1773345600000,CETUSUSDT,56939922.00000000,997018.03422000
1773360000000,CETUSUSDT,55258491.00000000,972246.62506932
1773374400000,CETUSUSDT,53108325.00000000,953539.26312825
1773388800000,CETUSUSDT,51700433.00000000,924567.63241261
1773403200000,CETUSUSDT,51032506.00000000,915493.55878652
1773417600000,CETUSUSDT,51304984.00000000,920924.46280000
1773432000000,CETUSUSDT,48906641.00000000,865020.07349597
1773446400000,CETUSUSDT,49188496.00000000,860552.73752000
1773460800000,CETUSUSDT,48409729.00000000,842571.33324500
1773475200000,CETUSUSDT,48061487.00000000,826897.88383500
1773489600000,CETUSUSDT,47536999.00000000,815734.90284000
1773504000000,CETUSUSDT,47195574.00000000,812707.78428000
1773518400000,CETUSUSDT,46518264.00000000,789880.12272000
1773532800000,CETUSUSDT,46296354.00000000,795834.32526000
1773547200000,CETUSUSDT,46411037.00000000,808480.26454000
1773561600000,CETUSUSDT,46195657.00000000,797798.99639000
1773576000000,CETUSUSDT,46650074.00000000,805180.27724000
1773590400000,CETUSUSDT,46781312.00000000,804665.69956096
1773604800000,CETUSUSDT,47646225.00000000,825232.61700000
1773619200000,CETUSUSDT,48146855.00000000,840886.26698065
1773633600000,CETUSUSDT,48669080.00000000,859123.63433800
1773648000000,CETUSUSDT,49219768.00000000,890426.45552744
1773662400000,CETUSUSDT,48367386.00000000,865736.06446962
1773676800000,CETUSUSDT,48489734.00000000,870390.72530000
1773691200000,CETUSUSDT,47801470.00000000,882144.57987980
1773705600000,CETUSUSDT,47032607.00000000,891627.70209355
1773720000000,CETUSUSDT,46631787.00000000,881340.77430000
1773734400000,CETUSUSDT,50384226.00000000,968888.66598000
1773748800000,CETUSUSDT,49390684.00000000,942868.15756000
1773763200000,CETUSUSDT,49923338.00000000,949727.10434398
1773777600000,CETUSUSDT,49387389.00000000,961845.57609117
1773792000000,CETUSUSDT,48848815.00000000,927638.99685000
1773806400000,CETUSUSDT,48547962.00000000,929453.15988810
1773820800000,CETUSUSDT,49374218.00000000,955800.92430940
1773835200000,CETUSUSDT,51715827.00000000,958173.77643309
1773849600000,CETUSUSDT,50259157.00000000,923763.30566000
1773864000000,CETUSUSDT,50570258.00000000,939342.54235000
1773878400000,CETUSUSDT,50969870.00000000,974543.91440000
1773892800000,CETUSUSDT,51848741.00000000,997829.02054500
1773907200000,CETUSUSDT,51312291.00000000,959354.09120658
1773921600000,CETUSUSDT,51191008.00000000,953850.75453536
1773936000000,CETUSUSDT,51100241.00000000,953019.49465000
1773950400000,CETUSUSDT,51752079.00000000,966211.31493000
1773964800000,CETUSUSDT,51319537.00000000,959931.93958500
