timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,CVCUSDT,41345163.00000000,1380070.11861612
1771574400000,CVCUSDT,42071258.00000000,1392979.35238000
1771588800000,CVCUSDT,42291524.00000000,1405347.34252000
1771603200000,CVCUSDT,41868607.00000000,1398827.22906751
1771617600000,CVCUSDT,41838519.00000000,1399916.84574000
1771632000000,CVCUSDT,41860407.00000000,1405253.86299000
1771646400000,CVCUSDT,41873938.00000000,1409476.75308000
1771660800000,CVCUSDT,41880499.00000000,1411237.12348324
1771675200000,CVCUSDT,41714608.00000000,1407450.87392000
1771689600000,CVCUSDT,41926864.00000000,1403142.45917552
1771704000000,CVCUSDT,41778087.00000000,1397344.57361421
1771718400000,CVCUSDT,41713175.00000000,1388840.16162500
1771732800000,CVCUSDT,41650466.00000000,1366135.28480000
1771747200000,CVCUSDT,41941397.00000000,1370408.30448092
1771761600000,CVCUSDT,41848992.00000000,1376164.34537760
1771776000000,CVCUSDT,41825736.00000000,1353156.24924864
1771790400000,CVCUSDT,41565872.00000000,1338219.06826208
1771804800000,CVCUSDT,41521724.00000000,1340944.49179724
1771819200000,CVCUSDT,40996861.00000000,1280039.25144246
1771833600000,CVCUSDT,41278474.00000000,1302978.56054018
1771848000000,CVCUSDT,41456862.00000000,1318865.07796290
1771862400000,CVCUSDT,41167073.00000000,1296461.04485491
1771876800000,CVCUSDT,41318688.00000000,1292861.74752000
1771891200000,CVCUSDT,41670034.00000000,1303438.66352000
1771905600000,CVCUSDT,41963931.00000000,1311372.84375000
1771920000000,CVCUSDT,41909785.00000000,1303366.23394405
1771934400000,CVCUSDT,41986318.00000000,1298216.95256000
1771948800000,CVCUSDT,42410635.00000000,1309494.09210925
1771963200000,CVCUSDT,42489250.00000000,1322690.35250000
1771977600000,CVCUSDT,42598298.00000000,1319269.28906000
1771992000000,CVCUSDT,43059195.00000000,1360670.56200000
1772006400000,CVCUSDT,43212120.00000000,1367231.47680000
1772020800000,CVCUSDT,43061574.00000000,1374252.86231658
1772035200000,CVCUSDT,42911137.00000000,1404910.62538000
1772049600000,CVCUSDT,43679834.00000000,1446239.30374000
1772064000000,CVCUSDT,43871253.00000000,1428528.72078552
1772078400000,CVCUSDT,44018071.00000000,1431907.84963000
1772092800000,CVCUSDT,44207845.00000000,1425260.92280000
1772107200000,CVCUSDT,44272713.00000000,1429391.91100791
1772121600000,CVCUSDT,44185779.00000000,1417037.93253000
1772136000000,CVCUSDT,44016964.00000000,1403700.98196000
1772150400000,CVCUSDT,44124464.00000000,1402694.64832800
1772164800000,CVCUSDT,43587327.00000000,1409178.28191000
1772179200000,CVCUSDT,42952618.00000000,1398966.76826000
1772193600000,CVCUSDT,42762376.00000000,1375320.54354568
1772208000000,CVCUSDT,42514203.00000000,1347466.40698350
1772222400000,CVCUSDT,42446342.00000000,1342153.33404000
1772236800000,CVCUSDT,42280720.00000000,1338222.84064800
1772251200000,CVCUSDT,42220883.00000000,1330255.47172515
1772265600000,CVCUSDT,42702538.00000000,1287481.52070000
1772280000000,CVCUSDT,42280960.00000000,1277730.61120000
1772294400000,CVCUSDT,42480453.00000000,1294379.40291000
1772308800000,CVCUSDT,42682088.00000000,1334242.07088000
1772323200000,CVCUSDT,43175840.00000000,1362629.51040000
1772337600000,CVCUSDT,43789859.00000000,1381132.15286000
1772352000000,CVCUSDT,43801069.00000000,1377230.88041734
1772366400000,CVCUSDT,44055035.00000000,1370581.65572345
1772380800000,CVCUSDT,44120238.00000000,1372139.40180000
1772395200000,CVCUSDT,44559815.00000000,1349278.77336855
1772409600000,CVCUSDT,44978577.00000000,1360113.48690378
1772424000000,CVCUSDT,44608345.00000000,1370814.44185000
1772438400000,CVCUSDT,46153400.00000000,1438077.63691000
1772452800000,CVCUSDT,48982603.00000000,1490871.73168628
1772467200000,CVCUSDT,47866146.00000000,1489594.46352000
1772481600000,CVCUSDT,47982015.00000000,1486962.64485000
1772496000000,CVCUSDT,48141857.00000000,1474103.66134000
1772510400000,CVCUSDT,46836818.00000000,1427586.21264000
1772524800000,CVCUSDT,46817752.00000000,1428643.70228000
1772539200000,CVCUSDT,46314262.00000000,1389913.23346576
1772553600000,CVCUSDT,45092623.00000000,1376488.39117340
1772568000000,CVCUSDT,44885573.00000000,1374927.24158859
1772582400000,CVCUSDT,45138407.00000000,1379881.10199000
1772596800000,CVCUSDT,45215991.00000000,1360394.98266069
1772611200000,CVCUSDT,45118865.00000000,1365973.63787500
1772625600000,CVCUSDT,45382503.00000000,1379345.35820631
1772640000000,CVCUSDT,45138210.00000000,1401541.42050000
1772654400000,CVCUSDT,45593780.00000000,1415002.96230000
1772668800000,CVCUSDT,45630133.00000000,1413954.16400957
1772683200000,CVCUSDT,45611565.00000000,1410309.58980000
1772697600000,CVCUSDT,45706919.00000000,1402002.14960706
1772712000000,CVCUSDT,45986121.00000000,1409934.46986000
1772726400000,CVCUSDT,45939916.00000000,1397951.64388000
1772740800000,CVCUSDT,45518280.00000000,1379203.88400000
1772755200000,CVCUSDT,45662442.00000000,1386768.36354000
1772769600000,CVCUSDT,45582805.00000000,1391643.03665000
1772784000000,CVCUSDT,45475043.00000000,1395629.06967000
1772798400000,CVCUSDT,45494765.00000000,1380984.94756965
1772812800000,CVCUSDT,45478543.00000000,1350155.16016282
1772827200000,CVCUSDT,45187641.00000000,1348399.20744000
1772841600000,CVCUSDT,45277518.00000000,1343836.73424000
1772856000000,CVCUSDT,45259331.00000000,1336508.04443000
1772870400000,CVCUSDT,45085514.00000000,1332727.79384000
1772884800000,CVCUSDT,45035569.00000000,1350616.71431000
1772899200000,CVCUSDT,45110520.00000000,1340336.85229080
1772913600000,CVCUSDT,45079104.00000000,1327729.72621632
1772928000000,CVCUSDT,45243811.00000000,1322046.77932550
1772942400000,CVCUSDT,45570288.00000000,1322831.63677344
1772956800000,CVCUSDT,45299775.00000000,1320261.94237500
1772971200000,CVCUSDT,45652660.00000000,1328492.40600000
1772985600000,CVCUSDT,45688086.00000000,1317298.99830984
1773000000000,CVCUSDT,45648111.00000000,1332148.82331300
1773014400000,CVCUSDT,45091286.00000000,1299569.64102596
1773028800000,CVCUSDT,45044872.00000000,1316211.15984000
1773043200000,CVCUSDT,45715387.00000000,1328946.30009000
1773057600000,CVCUSDT,47294540.00000000,1367285.15140000
1773072000000,CVCUSDT,47661804.00000000,1391453.00451720
1773086400000,CVCUSDT,47907146.00000000,1394097.94860000
1773100800000,CVCUSDT,47762840.00000000,1376047.42040000
1773115200000,CVCUSDT,47428293.00000000,1378266.19458000
1773129600000,CVCUSDT,47195899.00000000,1383783.75868000
1773144000000,CVCUSDT,48453077.00000000,1407895.24401976
1773158400000,CVCUSDT,48863894.00000000,1424713.80730132
