timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,ENSUSDT,698490.10000000,4528462.66014997
1771574400000,ENSUSDT,693654.90000000,4508063.19510000
1771588800000,ENSUSDT,693411.00000000,4542535.46100000
1771603200000,ENSUSDT,667735.00000000,4442440.95500000
1771617600000,ENSUSDT,663878.20000000,4396865.31860000
1771632000000,ENSUSDT,663472.20000000,4392849.43620000
1771646400000,ENSUSDT,653703.90000000,4299410.55030000
1771660800000,ENSUSDT,653063.20000000,4309564.05680000
1771675200000,ENSUSDT,675863.60000000,4713110.48351040
1771689600000,ENSUSDT,682802.50000000,4678586.72367985
1771704000000,ENSUSDT,667475.20000000,4545083.98065926
1771718400000,ENSUSDT,665323.20000000,4490785.94744506
1771732800000,ENSUSDT,628057.80000000,4114406.64780000
1771747200000,ENSUSDT,635995.20000000,4165105.63676323
1771761600000,ENSUSDT,636304.90000000,4167224.42059000
1771776000000,ENSUSDT,627153.40000000,4020366.87070000
1771790400000,ENSUSDT,626889.40000000,3967791.97364370
1771804800000,ENSUSDT,614244.90000000,3875885.31900000
1771819200000,ENSUSDT,615660.60000000,3679516.09586780
1771833600000,ENSUSDT,619504.40000000,3791986.43240000
1771848000000,ENSUSDT,620131.60000000,3864893.70376714
1771862400000,ENSUSDT,614773.80000000,3749095.55495075
1771876800000,ENSUSDT,612970.00000000,3689466.43000000
1771891200000,ENSUSDT,616092.90000000,3734405.46546996
1771905600000,ENSUSDT,607385.90000000,3629936.26160672
1771920000000,ENSUSDT,612334.50000000,3631921.41514532
1771934400000,ENSUSDT,621813.00000000,3674709.43272984
1771948800000,ENSUSDT,630672.50000000,3801068.73895163
1771963200000,ENSUSDT,629663.40000000,3856226.57393888
1771977600000,ENSUSDT,650158.50000000,3896649.11575781
1771992000000,ENSUSDT,640194.70000000,3919271.95340000
1772006400000,ENSUSDT,635727.40000000,3878858.94473000
1772020800000,ENSUSDT,629602.90000000,3889372.19807131
1772035200000,ENSUSDT,624954.30000000,4104074.88810000
1772049600000,ENSUSDT,639648.30000000,4352588.19683017
1772064000000,ENSUSDT,658589.90000000,4341411.27118273
1772078400000,ENSUSDT,653498.50000000,4306228.36575000
1772092800000,ENSUSDT,641040.40000000,4095277.35800784
1772107200000,ENSUSDT,622873.20000000,3970193.77680000
1772121600000,ENSUSDT,625023.90000000,3947532.71662884
1772136000000,ENSUSDT,622595.80000000,3899842.77325050
1772150400000,ENSUSDT,620290.20000000,3857584.75380000
1772164800000,ENSUSDT,617128.70000000,3884787.91661167
1772179200000,ENSUSDT,607300.90000000,3913750.65005000
1772193600000,ENSUSDT,597546.70000000,3725862.10803204
1772208000000,ENSUSDT,631648.30000000,3856844.51980000
1772222400000,ENSUSDT,638744.00000000,3829909.02400000
1772236800000,ENSUSDT,631333.30000000,3822091.79820000
1772251200000,ENSUSDT,622723.20000000,3769343.52960000
1772265600000,ENSUSDT,622312.00000000,3600697.23200000
1772280000000,ENSUSDT,622118.80000000,3556031.06080000
1772294400000,ENSUSDT,630823.90000000,3710506.17980000
1772308800000,ENSUSDT,625083.20000000,3766751.36320000
1772323200000,ENSUSDT,625889.10000000,3821678.84460000
1772337600000,ENSUSDT,624683.30000000,3907442.34825959
1772352000000,ENSUSDT,614620.00000000,3798535.98600000
1772366400000,ENSUSDT,619216.80000000,3761122.84320000
1772380800000,ENSUSDT,621894.70000000,3786716.82830000
1772395200000,ENSUSDT,630170.00000000,3728715.89000000
1772409600000,ENSUSDT,626144.70000000,3714916.50510000
1772424000000,ENSUSDT,615462.50000000,3732441.83508313
1772438400000,ENSUSDT,619476.20000000,3679089.79894175
1772452800000,ENSUSDT,650156.20000000,3858677.04700000
1772467200000,ENSUSDT,661524.70000000,4112555.72734325
1772481600000,ENSUSDT,666423.20000000,4104500.48880000
1772496000000,ENSUSDT,664942.20000000,4054691.73518518
1772510400000,ENSUSDT,651547.90000000,3941864.79500000
1772524800000,ENSUSDT,649272.20000000,3893005.98496992
1772539200000,ENSUSDT,654493.90000000,3852977.87802827
1772553600000,ENSUSDT,661071.00000000,3917203.88293206
1772568000000,ENSUSDT,675227.10000000,4043259.87480000
1772582400000,ENSUSDT,666468.90000000,3974154.05070000
1772596800000,ENSUSDT,673111.20000000,3958970.22811992
1772611200000,ENSUSDT,671257.00000000,4020199.89833512
1772625600000,ENSUSDT,673340.60000000,4096060.68313427
1772640000000,ENSUSDT,662731.80000000,4239428.15673207
1772654400000,ENSUSDT,713989.00000000,4612368.94000000
1772668800000,ENSUSDT,710404.00000000,4480292.74468352
1772683200000,ENSUSDT,686861.80000000,4281096.98153927
1772697600000,ENSUSDT,679525.20000000,4212505.59354943
1772712000000,ENSUSDT,668615.20000000,4211985.12634486
1772726400000,ENSUSDT,666764.00000000,4120096.93300772
1772740800000,ENSUSDT,658330.20000000,4024181.66267502
1772755200000,ENSUSDT,650008.80000000,3978053.85600000
1772769600000,ENSUSDT,646181.40000000,3993783.30706898
1772784000000,ENSUSDT,630100.10000000,3904730.31970000
1772798400000,ENSUSDT,620857.70000000,3766007.02444753
1772812800000,ENSUSDT,627578.10000000,3662318.22550516
1772827200000,ENSUSDT,630850.90000000,3693001.16860000
1772841600000,ENSUSDT,633294.50000000,3723138.36550000
1772856000000,ENSUSDT,637441.10000000,3746241.34470000
1772870400000,ENSUSDT,640366.50000000,3751117.54028456
1772884800000,ENSUSDT,633893.20000000,3720953.08400000
1772899200000,ENSUSDT,633498.90000000,3684862.49120334
1772913600000,ENSUSDT,637050.00000000,3677052.60000000
1772928000000,ENSUSDT,630582.90000000,3638463.33300000
1772942400000,ENSUSDT,658387.80000000,3748860.13320000
1772956800000,ENSUSDT,664683.80000000,3810056.16389105
1772971200000,ENSUSDT,661566.10000000,3799385.14060689
1772985600000,ENSUSDT,671258.70000000,3806802.60092496
1773000000000,ENSUSDT,660527.40000000,3793513.81600386
1773014400000,ENSUSDT,659248.70000000,3718821.91670000
1773028800000,ENSUSDT,672356.60000000,3866577.12709548
1773043200000,ENSUSDT,670728.70000000,3884189.90170000
1773057600000,ENSUSDT,687041.70000000,3989204.57479500
1773072000000,ENSUSDT,696627.10000000,4089201.07700000
1773086400000,ENSUSDT,705618.10000000,4149528.84754649
1773100800000,ENSUSDT,688138.90000000,3983636.09210000
1773115200000,ENSUSDT,674072.50000000,3939279.69000000
1773129600000,ENSUSDT,675276.00000000,3990315.39350892
1773144000000,ENSUSDT,675934.20000000,4025930.47193844
1773158400000,ENSUSDT,695531.90000000,4231108.50824066
1773172800000,ENSUSDT,708349.60000000,4216082.80804491
1773187200000,ENSUSDT,702763.60000000,4181481.38328967
1773201600000,ENSUSDT,695424.60000000,4121781.60420000
1773216000000,ENSUSDT,692329.30000000,4093396.98625000
1773230400000,ENSUSDT,688308.80000000,4091307.50720000
1773244800000,ENSUSDT,680791.30000000,4093837.28292326
1773259200000,ENSUSDT,675858.10000000,4084886.35640000
1773273600000,ENSUSDT,678761.80000000,4069855.75280000
1773288000000,ENSUSDT,672545.20000000,3982429.74733948
1773302400000,ENSUSDT,664231.50000000,3952841.65650000
1773316800000,ENSUSDT,677948.60000000,4046675.19340000
1773331200000,ENSUSDT,664600.70000000,3984629.06179839
1773345600000,ENSUSDT,666824.20000000,4031843.19280417
1773360000000,ENSUSDT,665095.20000000,3996557.05680000
1773374400000,ENSUSDT,682757.20000000,4245725.64820000
1773388800000,ENSUSDT,666428.10000000,4095867.10260000
1773403200000,ENSUSDT,674248.90000000,4186411.42010000
1773417600000,ENSUSDT,656603.70000000,4070192.28438601
1773432000000,ENSUSDT,648246.50000000,3963569.10204915
1773446400000,ENSUSDT,649271.30000000,3920559.81792000
1773460800000,ENSUSDT,633258.80000000,3849263.61580000
1773475200000,ENSUSDT,630049.50000000,3747534.42600000
1773489600000,ENSUSDT,624422.00000000,3722803.96400000
1773504000000,ENSUSDT,628515.70000000,3732960.63775816
1773518400000,ENSUSDT,626670.40000000,3718224.04832336
1773532800000,ENSUSDT,625008.40000000,3747112.86052000
1773547200000,ENSUSDT,622186.00000000,3749915.02200000
1773561600000,ENSUSDT,635996.20000000,3851592.98720000
1773576000000,ENSUSDT,657282.70000000,4040316.75690000
1773590400000,ENSUSDT,649032.10000000,3937677.75070000
1773604800000,ENSUSDT,647580.80000000,3955099.73600000
1773619200000,ENSUSDT,648999.80000000,4017799.90557865
1773633600000,ENSUSDT,662314.00000000,4164939.51407438
1773648000000,ENSUSDT,649111.40000000,4182873.86160000
1773662400000,ENSUSDT,656944.10000000,4193931.13440000
1773676800000,ENSUSDT,667761.50000000,4283690.02250000
1773691200000,ENSUSDT,685552.80000000,4557354.90839321
1773705600000,ENSUSDT,687673.50000000,4580593.18350000
1773720000000,ENSUSDT,705276.00000000,4717598.30844588
1773734400000,ENSUSDT,720639.30000000,4791530.70570000
1773748800000,ENSUSDT,723038.60000000,4832690.33875938
1773763200000,ENSUSDT,723910.20000000,4850922.25020000
1773777600000,ENSUSDT,720828.50000000,4872976.96744282
1773792000000,ENSUSDT,706335.80000000,4697229.15992223
1773806400000,ENSUSDT,704694.30000000,4724975.28150000
1773820800000,ENSUSDT,702426.50000000,4681909.93026876
1773835200000,ENSUSDT,673102.10000000,4373335.05371799
1773849600000,ENSUSDT,647446.50000000,4047810.17694399
1773864000000,ENSUSDT,627586.90000000,3919280.19050000
1773878400000,ENSUSDT,626102.60000000,3948495.17890034
1773892800000,ENSUSDT,638033.10000000,4121693.82600000
1773907200000,ENSUSDT,623760.50000000,3894136.80150000
1773921600000,ENSUSDT,609166.90000000,3838360.63690000
1773936000000,ENSUSDT,608493.90000000,3768895.80964693
1773950400000,ENSUSDT,606614.00000000,3779366.98575538
