timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,ETCUSDT,2148418.72000000,17794746.44664934
1771574400000,ETCUSDT,2139611.11000000,17760911.82411000
1771588800000,ETCUSDT,2166456.92000000,17982142.82438052
1771603200000,ETCUSDT,2230904.43000000,19203874.14621108
1771617600000,ETCUSDT,2194553.86000000,19000125.04964566
1771632000000,ETCUSDT,2187073.47000000,19128664.74217410
1771646400000,ETCUSDT,2130519.66000000,18791183.40120000
1771660800000,ETCUSDT,2099444.48000000,18903398.09792000
1771675200000,ETCUSDT,2502516.16000000,24106738.16928000
1771689600000,ETCUSDT,2608889.83000000,24340120.18315906
1771704000000,ETCUSDT,2520512.92000000,23259293.22576000
1771718400000,ETCUSDT,2515389.19000000,22730391.46180589
1771732800000,ETCUSDT,2497254.80000000,21953366.94680000
1771747200000,ETCUSDT,2456376.79000000,21679981.54854000
1771761600000,ETCUSDT,2375868.89000000,20840548.27329520
1771776000000,ETCUSDT,2345798.77000000,20341270.47803066
1771790400000,ETCUSDT,2292791.11000000,19619413.52827000
1771804800000,ETCUSDT,2293016.67000000,19511278.84503000
1771819200000,ETCUSDT,2284935.63000000,18685975.08857700
1771833600000,ETCUSDT,2282902.37000000,18893300.01412000
1771848000000,ETCUSDT,2208328.19000000,18740977.18443500
1771862400000,ETCUSDT,2184759.35000000,18391304.20830000
1771876800000,ETCUSDT,2151176.18000000,17909043.63243808
1771891200000,ETCUSDT,2158575.83000000,18037642.83949775
1771905600000,ETCUSDT,2110062.79000000,17298294.75242000
1771920000000,ETCUSDT,2099191.99000000,17224818.12610925
1771934400000,ETCUSDT,2135857.41000000,17420053.03596000
1771948800000,ETCUSDT,2149262.78000000,17903358.95740000
1771963200000,ETCUSDT,2107718.68000000,17736981.32912213
1771977600000,ETCUSDT,2107186.20000000,17456773.35528000
1771992000000,ETCUSDT,2127707.57000000,17840827.97445000
1772006400000,ETCUSDT,2121737.80000000,17739849.74580000
1772020800000,ETCUSDT,2076497.67000000,17786898.73067174
1772035200000,ETCUSDT,2095073.50000000,19323052.76701130
1772049600000,ETCUSDT,2140135.36000000,20245680.50560000
1772064000000,ETCUSDT,2174215.17000000,19902160.47338743
1772078400000,ETCUSDT,2164315.65000000,19756450.41125439
1772092800000,ETCUSDT,2169975.07000000,19452135.48437745
1772107200000,ETCUSDT,2120242.20000000,18945836.18356431
1772121600000,ETCUSDT,2170372.96000000,19233321.54733967
1772136000000,ETCUSDT,2130927.82000000,18860842.13482000
1772150400000,ETCUSDT,2129569.31000000,18855470.46049043
1772164800000,ETCUSDT,2150897.08000000,19145682.31238686
1772179200000,ETCUSDT,2156502.79000000,19451655.16580000
1772193600000,ETCUSDT,2129092.62000000,18629560.42500000
1772208000000,ETCUSDT,2126392.70000000,18440077.49440000
1772222400000,ETCUSDT,2145834.32000000,18426279.30584000
1772236800000,ETCUSDT,2144714.26000000,18521752.34936000
1772251200000,ETCUSDT,2149861.99000000,18555458.83569000
1772265600000,ETCUSDT,2078586.23000000,17237389.39206706
1772280000000,ETCUSDT,2101596.55000000,17123808.68940000
1772294400000,ETCUSDT,2090894.79000000,17354426.75700000
1772308800000,ETCUSDT,2075908.18000000,17728371.07010399
1772323200000,ETCUSDT,2010493.82000000,17435002.40704000
1772337600000,ETCUSDT,2011694.97000000,17637185.51396547
1772352000000,ETCUSDT,2003411.99000000,17545882.20842000
1772366400000,ETCUSDT,1991446.04000000,17103951.90086013
1772380800000,ETCUSDT,1977475.69000000,17048875.24019193
1772395200000,ETCUSDT,1968000.24000000,16604018.02488000
1772409600000,ETCUSDT,1965185.27000000,16647084.42217000
1772424000000,ETCUSDT,1974095.79000000,17089747.25403000
1772438400000,ETCUSDT,1986266.19000000,16897166.47833000
1772452800000,ETCUSDT,1985719.51000000,16920315.94471000
1772467200000,ETCUSDT,1980368.00000000,17561252.04135744
1772481600000,ETCUSDT,1920690.02000000,16924068.39828154
1772496000000,ETCUSDT,1872573.05000000,16323219.27685000
1772510400000,ETCUSDT,1880621.22000000,16213592.86378530
1772524800000,ETCUSDT,1952667.13000000,16552759.26101000
1772539200000,ETCUSDT,1982851.96000000,16654115.08852735
1772553600000,ETCUSDT,2036586.07000000,17213140.04922022
1772568000000,ETCUSDT,2030513.11000000,17348859.50853396
1772582400000,ETCUSDT,2022067.11000000,17161283.56257000
1772596800000,ETCUSDT,2054481.07000000,17333851.12095441
1772611200000,ETCUSDT,2071466.16000000,17563861.72597109
1772625600000,ETCUSDT,2005045.66000000,17199281.67148000
1772640000000,ETCUSDT,2007226.71000000,17787891.21717485
1772654400000,ETCUSDT,1991834.61000000,17847873.14253674
1772668800000,ETCUSDT,1974854.44000000,17468291.35992242
1772683200000,ETCUSDT,1940118.04000000,16942395.04462012
1772697600000,ETCUSDT,1939824.64000000,16934742.54896087
1772712000000,ETCUSDT,1950203.38000000,17187206.68614544
1772726400000,ETCUSDT,1972848.23000000,17122349.78817000
1772740800000,ETCUSDT,1967423.45000000,17012887.22396319
1772755200000,ETCUSDT,1975965.56000000,17087345.52994431
1772769600000,ETCUSDT,1978940.26000000,17216414.15805190
1772784000000,ETCUSDT,1978936.26000000,17204024.99824626
1772798400000,ETCUSDT,1997954.18000000,16994778.43058795
1772812800000,ETCUSDT,2087267.71000000,17135416.37537306
1772827200000,ETCUSDT,2125623.02000000,17412040.96833000
1772841600000,ETCUSDT,2147998.19000000,17712983.28020267
1772856000000,ETCUSDT,2148854.30000000,17606637.70705000
1772870400000,ETCUSDT,2184149.32000000,17859080.62633254
1772884800000,ETCUSDT,2184396.51000000,17954588.06970733
1772899200000,ETCUSDT,2228673.54000000,18145582.29224365
1772913600000,ETCUSDT,2219179.30000000,17973133.15070000
1772928000000,ETCUSDT,2242854.44000000,18207492.34392000
1772942400000,ETCUSDT,2288288.85000000,18413860.37595000
1772956800000,ETCUSDT,2297089.83000000,18582697.23788951
1772971200000,ETCUSDT,2319994.20000000,18845312.88660000
1772985600000,ETCUSDT,2387254.62000000,19136233.03392000
1773000000000,ETCUSDT,2428930.76000000,19630618.40232000
1773014400000,ETCUSDT,2438604.73000000,19460065.74540000
1773028800000,ETCUSDT,2412057.51000000,19528171.87615834
1773043200000,ETCUSDT,2362259.11000000,19139023.30922000
1773057600000,ETCUSDT,2362338.97000000,19201091.14816000
1773072000000,ETCUSDT,2302074.39000000,18874707.92361000
1773086400000,ETCUSDT,2278493.74000000,18786180.88630000
1773100800000,ETCUSDT,2242032.14000000,18283703.42825555
1773115200000,ETCUSDT,2221462.68000000,18227101.28940000
1773129600000,ETCUSDT,2231062.18000000,18452650.93980848
1773144000000,ETCUSDT,2191316.40000000,18265396.05738666
1773158400000,ETCUSDT,2169490.03000000,18421139.84473000
1773172800000,ETCUSDT,2155945.48000000,17812421.55576000
1773187200000,ETCUSDT,2130760.04000000,17544123.40467599
1773201600000,ETCUSDT,2154368.37000000,17668184.81630556
1773216000000,ETCUSDT,2185291.84000000,17943431.29824000
1773230400000,ETCUSDT,2191669.74000000,18024453.84040370
1773244800000,ETCUSDT,2205289.16000000,18275231.26892000
1773259200000,ETCUSDT,2191973.98000000,18241607.46156000
1773273600000,ETCUSDT,2172286.63000000,17986550.91364457
1773288000000,ETCUSDT,2137368.55000000,17511018.03073910
1773302400000,ETCUSDT,2161688.25000000,17779885.85625000
1773316800000,ETCUSDT,2189682.02000000,17970720.33814000
1773331200000,ETCUSDT,2211629.40000000,18087329.66464480
1773345600000,ETCUSDT,2185894.81000000,18031446.28769000
1773360000000,ETCUSDT,2193591.74000000,18125648.54762000
1773374400000,ETCUSDT,2236825.13000000,18889988.22285000
1773388800000,ETCUSDT,2259250.58000000,18929821.38891474
1773403200000,ETCUSDT,2216297.22000000,18970392.06525501
1773417600000,ETCUSDT,2195583.57000000,18816674.18290637
1773432000000,ETCUSDT,2152237.30000000,18313387.18570000
1773446400000,ETCUSDT,2135754.59000000,18104956.17660607
1773460800000,ETCUSDT,2101730.27000000,17814784.58063715
1773475200000,ETCUSDT,2061979.02000000,17076800.31622835
1773489600000,ETCUSDT,2110802.86000000,17412545.24216143
1773504000000,ETCUSDT,2122623.67000000,17451896.28673146
1773518400000,ETCUSDT,2151333.99000000,17650619.72095500
1773532800000,ETCUSDT,2188485.54000000,18052817.21946000
1773547200000,ETCUSDT,2169325.59000000,17909952.07104000
1773561600000,ETCUSDT,2202615.24000000,18215628.03480000
1773576000000,ETCUSDT,2162254.70000000,18167263.98940000
1773590400000,ETCUSDT,2165208.37000000,17923883.57409197
1773604800000,ETCUSDT,2156924.61000000,17934828.13215000
1773619200000,ETCUSDT,2177002.22000000,18449763.54149320
1773633600000,ETCUSDT,2220109.60000000,19210608.36880000
1773648000000,ETCUSDT,2277171.13000000,20599290.04198000
1773662400000,ETCUSDT,2293379.02000000,20307908.42070770
1773676800000,ETCUSDT,2321009.80000000,20464343.40660000
1773691200000,ETCUSDT,2313849.26000000,20808905.27776524
1773705600000,ETCUSDT,2303396.73000000,20783548.69479000
1773720000000,ETCUSDT,2236982.16000000,19945771.29236410
1773734400000,ETCUSDT,2233560.56000000,19822874.11478965
1773748800000,ETCUSDT,2262722.10000000,20004726.08610000
1773763200000,ETCUSDT,2251535.38000000,19915365.94127478
1773777600000,ETCUSDT,2242690.26000000,19843323.42048000
1773792000000,ETCUSDT,2216029.92000000,19625859.73007438
1773806400000,ETCUSDT,2206434.56000000,19681777.72360673
1773820800000,ETCUSDT,2211579.03000000,19543723.88811000
1773835200000,ETCUSDT,2131081.00000000,18463685.78400000
1773849600000,ETCUSDT,2052176.61000000,17158248.63621000
1773864000000,ETCUSDT,2001119.85000000,16869727.87641125
1773878400000,ETCUSDT,1998092.31000000,16988913.07858931
