timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,EVAAUSDT,2562632.00000000,1297787.59906952
1771588800000,EVAAUSDT,2522920.40000000,1264487.70448000
1771603200000,EVAAUSDT,2536163.10000000,1298112.66305320
1771617600000,EVAAUSDT,2552899.40000000,1324471.62685956
1771632000000,EVAAUSDT,2574338.90000000,1329013.75847277
1771646400000,EVAAUSDT,2573846.20000000,1315492.79282000
1771660800000,EVAAUSDT,2586082.90000000,1309075.16398000
1771675200000,EVAAUSDT,2596361.00000000,1306748.49130000
1771689600000,EVAAUSDT,2601733.20000000,1319859.25236000
1771704000000,EVAAUSDT,2588042.90000000,1301768.26469300
1771718400000,EVAAUSDT,2562916.30000000,1275574.48867925
1771732800000,EVAAUSDT,2615375.80000000,1316580.17772000
1771747200000,EVAAUSDT,2618808.00000000,1312546.56960000
1771761600000,EVAAUSDT,2609864.40000000,1306498.11864000
1771776000000,EVAAUSDT,2590091.70000000,1276397.18976000
1771790400000,EVAAUSDT,2555194.50000000,1243868.68260000
1771804800000,EVAAUSDT,2542535.30000000,1233638.12756000
1771819200000,EVAAUSDT,2504792.50000000,1171496.91269765
1771833600000,EVAAUSDT,2539641.40000000,1210647.05538000
1771848000000,EVAAUSDT,2570911.80000000,1229234.27522935
1771862400000,EVAAUSDT,2546708.30000000,1196550.97949609
1771876800000,EVAAUSDT,2546678.60000000,1169154.57660686
1771891200000,EVAAUSDT,2569442.00000000,1179116.93380000
1771905600000,EVAAUSDT,2561574.90000000,1163488.65749892
1771920000000,EVAAUSDT,2547883.60000000,1173253.56769943
1771934400000,EVAAUSDT,2540592.70000000,1167171.25333801
1771948800000,EVAAUSDT,2619329.30000000,1177650.45328000
1771963200000,EVAAUSDT,2586417.40000000,1188621.68786785
1771977600000,EVAAUSDT,2628989.70000000,1236150.95694000
1771992000000,EVAAUSDT,2609916.40000000,1239604.24909667
1772006400000,EVAAUSDT,2600635.70000000,1217696.56403350
1772020800000,EVAAUSDT,2661417.30000000,1258008.04432455
1772035200000,EVAAUSDT,2669865.50000000,1262966.04487171
1772049600000,EVAAUSDT,2753805.80000000,1305579.32978000
1772064000000,EVAAUSDT,2767297.40000000,1295095.18320000
1772078400000,EVAAUSDT,2792283.50000000,1314886.30015000
1772092800000,EVAAUSDT,2796460.90000000,1274771.59507158
1772107200000,EVAAUSDT,2833648.60000000,1303194.99114000
1772121600000,EVAAUSDT,2852466.40000000,1289314.81280000
1772136000000,EVAAUSDT,2796905.30000000,1242105.64373000
1772150400000,EVAAUSDT,2817217.40000000,1280707.03004000
1772164800000,EVAAUSDT,2800619.80000000,1303688.51690000
1772179200000,EVAAUSDT,2825726.00000000,1307745.99280000
1772193600000,EVAAUSDT,2813923.30000000,1255572.57646000
1772208000000,EVAAUSDT,2854463.10000000,1266810.72378000
1772222400000,EVAAUSDT,2849691.40000000,1251897.04552967
1772236800000,EVAAUSDT,2849669.00000000,1259838.66490000
1772251200000,EVAAUSDT,2841241.80000000,1237071.42342267
1772265600000,EVAAUSDT,2904670.40000000,1224117.45422150
1772280000000,EVAAUSDT,2910748.20000000,1217274.89724000
1772294400000,EVAAUSDT,2902963.00000000,1223598.90450000
1772308800000,EVAAUSDT,2917468.50000000,1272891.50655000
1772323200000,EVAAUSDT,2910944.90000000,1296243.76397000
1772337600000,EVAAUSDT,2930366.50000000,1309873.82550000
1772352000000,EVAAUSDT,2947504.10000000,1293070.04867000
1772366400000,EVAAUSDT,2966574.20000000,1288002.53392440
1772380800000,EVAAUSDT,2908853.70000000,1247316.46656000
1772395200000,EVAAUSDT,2954017.80000000,1260479.39526000
1772409600000,EVAAUSDT,2862835.70000000,1212022.40351715
1772424000000,EVAAUSDT,2870869.10000000,1240215.45120000
1772438400000,EVAAUSDT,2874790.30000000,1210861.67436000
1772452800000,EVAAUSDT,2888318.20000000,1217267.35044855
1772467200000,EVAAUSDT,2890615.20000000,1249838.10097793
1772481600000,EVAAUSDT,2914771.00000000,1272856.21565757
1772496000000,EVAAUSDT,2880615.20000000,1223523.10071194
1772510400000,EVAAUSDT,2879505.00000000,1220334.21900000
1772524800000,EVAAUSDT,3016325.50000000,1364284.02365000
1772539200000,EVAAUSDT,2972297.80000000,1292460.51084297
1772553600000,EVAAUSDT,2869384.70000000,1249043.15991000
1772568000000,EVAAUSDT,2846480.70000000,1248401.39293601
1772582400000,EVAAUSDT,2848556.10000000,1255136.71377869
1772596800000,EVAAUSDT,2849341.00000000,1247882.39682634
1772611200000,EVAAUSDT,2873675.60000000,1278770.69888688
1772625600000,EVAAUSDT,2900310.20000000,1287335.36876595
