timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,FETUSDT,125914114.00000000,20612140.46180000
1771574400000,FETUSDT,125872330.00000000,20705998.28500000
1771588800000,FETUSDT,126195822.00000000,20797071.46560000
1771603200000,FETUSDT,126950749.00000000,21241476.76263689
1771617600000,FETUSDT,126210406.00000000,21203348.20800000
1771632000000,FETUSDT,125655265.00000000,21091265.13096095
1771646400000,FETUSDT,125787572.00000000,20893315.70920000
1771660800000,FETUSDT,124822974.00000000,20726686.32168510
1771675200000,FETUSDT,124998724.00000000,21074784.86640000
1771689600000,FETUSDT,124459736.00000000,20923107.93017456
1771704000000,FETUSDT,124789640.00000000,20752517.13200000
1771718400000,FETUSDT,125074159.00000000,20596285.70460181
1771732800000,FETUSDT,126280365.00000000,20541127.85835120
1771747200000,FETUSDT,126475776.00000000,20535182.45614080
1771761600000,FETUSDT,126341536.00000000,20420624.15638688
1771776000000,FETUSDT,127108913.00000000,20273871.62350000
1771790400000,FETUSDT,126952322.00000000,20099805.09108964
1771804800000,FETUSDT,126898289.00000000,20224975.69981238
1771819200000,FETUSDT,127147004.00000000,19436878.58445736
1771833600000,FETUSDT,127357482.00000000,19900318.49082438
1771848000000,FETUSDT,126847991.00000000,20073834.10854010
1771862400000,FETUSDT,125944292.00000000,19546554.11840000
1771876800000,FETUSDT,127058378.00000000,19432183.81410956
1771891200000,FETUSDT,126898388.00000000,19498757.07978648
1771905600000,FETUSDT,127022724.00000000,19394509.07189340
1771920000000,FETUSDT,127581809.00000000,19354160.42530000
1771934400000,FETUSDT,128319608.00000000,19421148.29007448
1771948800000,FETUSDT,127039838.00000000,19627654.97100000
1771963200000,FETUSDT,127663065.00000000,19644805.20850650
1771977600000,FETUSDT,126660861.00000000,19338245.87280696
1771992000000,FETUSDT,126125968.00000000,19492885.65155024
1772006400000,FETUSDT,126700500.00000000,19548226.10644500
1772020800000,FETUSDT,126794778.00000000,19957498.05720000
1772035200000,FETUSDT,126301600.00000000,21101621.31823200
1772049600000,FETUSDT,128455818.00000000,22222856.51400000
1772064000000,FETUSDT,129482086.00000000,21695458.96754848
1772078400000,FETUSDT,129789390.00000000,21726743.88600000
1772092800000,FETUSDT,129464091.00000000,21361575.01500000
1772107200000,FETUSDT,129727834.00000000,21173524.53447498
1772121600000,FETUSDT,130294651.00000000,21150385.41600485
1772136000000,FETUSDT,129347801.00000000,20941408.98190000
1772150400000,FETUSDT,128122646.00000000,20742773.23635234
1772164800000,FETUSDT,127926023.00000000,20921784.24051708
1772179200000,FETUSDT,127929974.00000000,21185203.69440000
1772193600000,FETUSDT,127485706.00000000,20454632.77801488
1772208000000,FETUSDT,127471093.00000000,20318892.22420000
1772222400000,FETUSDT,127128860.00000000,19925586.36720100
1772236800000,FETUSDT,126950885.00000000,19806244.86229270
1772251200000,FETUSDT,127066867.00000000,19816199.89284232
1772265600000,FETUSDT,127780901.00000000,19013798.06880000
1772280000000,FETUSDT,129723163.00000000,18783914.00240000
1772294400000,FETUSDT,130545557.00000000,19307066.48344868
1772308800000,FETUSDT,130371183.00000000,19987027.45720929
1772323200000,FETUSDT,130188104.00000000,20404022.22075296
1772337600000,FETUSDT,128917452.00000000,20508996.57658404
1772352000000,FETUSDT,128683741.00000000,20422109.69670000
1772366400000,FETUSDT,129032680.00000000,19974258.86400000
1772380800000,FETUSDT,128802267.00000000,20028752.51850000
1772395200000,FETUSDT,129326763.00000000,19443933.51459279
1772409600000,FETUSDT,129679127.00000000,19515790.48528084
1772424000000,FETUSDT,130172027.00000000,19857529.23672572
1772438400000,FETUSDT,131647607.00000000,19483845.83600000
1772452800000,FETUSDT,132591931.00000000,19665927.80645589
1772467200000,FETUSDT,133017021.00000000,20845346.10273927
1772481600000,FETUSDT,133129176.00000000,20342138.09280000
1772496000000,FETUSDT,132397322.00000000,20071434.01520000
1772510400000,FETUSDT,133283269.00000000,19788668.24371444
1772524800000,FETUSDT,134283429.00000000,19847090.80620000
1772539200000,FETUSDT,135914298.00000000,19789121.78880000
1772553600000,FETUSDT,137990685.00000000,20431710.82642095
1772568000000,FETUSDT,137415216.00000000,20378676.53280000
1772582400000,FETUSDT,137019142.00000000,20252755.53289456
1772596800000,FETUSDT,136101172.00000000,20185329.50173812
1772611200000,FETUSDT,135425894.00000000,20266517.53931456
1772625600000,FETUSDT,133878447.00000000,20296485.31965201
1772640000000,FETUSDT,133202425.00000000,20939421.21000000
1772654400000,FETUSDT,133555364.00000000,21088391.97560000
1772668800000,FETUSDT,133433249.00000000,20716515.32528248
1772683200000,FETUSDT,132222032.00000000,20296081.91200000
1772697600000,FETUSDT,131702757.00000000,20098351.72489716
1772712000000,FETUSDT,131208241.00000000,20395936.62330387
1772726400000,FETUSDT,129966224.00000000,19853940.60021744
1772740800000,FETUSDT,129007738.00000000,19676506.60453958
1772755200000,FETUSDT,128961787.00000000,19675912.62953855
1772769600000,FETUSDT,129030622.00000000,19837440.08089242
1772784000000,FETUSDT,129546545.00000000,19803380.03532595
1772798400000,FETUSDT,127853050.00000000,19152386.89000000
1772812800000,FETUSDT,129664060.00000000,18870445.02640100
1772827200000,FETUSDT,130002060.00000000,18921777.73264980
1772841600000,FETUSDT,130024025.00000000,18944500.44250000
1772856000000,FETUSDT,130887887.00000000,18986195.06240691
1772870400000,FETUSDT,132877999.00000000,19153967.57941298
1772884800000,FETUSDT,133903674.00000000,19463901.95441826
1772899200000,FETUSDT,134911776.00000000,19454278.09920000
1772913600000,FETUSDT,135508007.00000000,19391195.80170000
1772928000000,FETUSDT,134228568.00000000,19181262.36720000
1772942400000,FETUSDT,134496225.00000000,18950518.10250000
1772956800000,FETUSDT,135829352.00000000,19274185.04880000
1772971200000,FETUSDT,135464048.00000000,19398451.67360000
1772985600000,FETUSDT,136911194.00000000,19386625.07040000
1773000000000,FETUSDT,137686518.00000000,19730478.02940000
1773014400000,FETUSDT,136853561.00000000,19298938.63330290
1773028800000,FETUSDT,133457679.00000000,19084448.09700000
1773043200000,FETUSDT,133275322.00000000,19124536.91236012
1773057600000,FETUSDT,134143554.00000000,19131883.66462284
1773072000000,FETUSDT,133467983.00000000,19200435.76373417
1773086400000,FETUSDT,134378997.00000000,19391729.13583125
1773100800000,FETUSDT,134607999.00000000,19338708.54721314
1773115200000,FETUSDT,132892152.00000000,19362386.54640000
1773129600000,FETUSDT,133613436.00000000,19654536.43560000
1773144000000,FETUSDT,132202476.00000000,19658508.18120000
1773158400000,FETUSDT,131488148.00000000,19886815.80909716
1773172800000,FETUSDT,131159181.00000000,20028006.93870000
1773187200000,FETUSDT,131792442.00000000,20335573.80060000
1773201600000,FETUSDT,130218707.00000000,20027099.33334009
1773216000000,FETUSDT,131339393.00000000,20830427.72980000
1773230400000,FETUSDT,133411535.00000000,21732739.05150000
1773244800000,FETUSDT,131267910.00000000,20871597.69000000
1773259200000,FETUSDT,128816104.00000000,20624139.68759016
1773273600000,FETUSDT,128599957.00000000,20633778.22467838
1773288000000,FETUSDT,129239720.00000000,20523267.53600000
1773302400000,FETUSDT,129256214.00000000,20383704.94780000
1773316800000,FETUSDT,128729605.00000000,20585689.22529890
1773331200000,FETUSDT,127295398.00000000,20392722.75960000
1773345600000,FETUSDT,127544312.00000000,20827986.14960000
1773360000000,FETUSDT,129991565.00000000,23008507.00500000
1773374400000,FETUSDT,136442085.00000000,25744694.87725980
1773388800000,FETUSDT,135520919.00000000,24285348.68480000
1773403200000,FETUSDT,134159657.00000000,24242650.01990000
1773417600000,FETUSDT,130241115.00000000,23333551.43637555
1773432000000,FETUSDT,128206364.00000000,22705347.06440000
1773446400000,FETUSDT,127079805.00000000,22623724.12980045
1773460800000,FETUSDT,126470039.00000000,23035916.87116475
1773475200000,FETUSDT,126154943.00000000,22470119.21118075
1773489600000,FETUSDT,127526344.00000000,22272941.45075560
1773504000000,FETUSDT,126681332.00000000,22246366.82942816
1773518400000,FETUSDT,126647096.00000000,22017593.84018712
1773532800000,FETUSDT,124734838.00000000,22277642.06680000
1773547200000,FETUSDT,125420694.00000000,23917726.34580000
1773561600000,FETUSDT,124229932.00000000,23026205.48339732
1773576000000,FETUSDT,125591279.00000000,23950256.90530000
1773590400000,FETUSDT,132089886.00000000,26114170.46220000
1773604800000,FETUSDT,133483078.00000000,26742786.06184942
1773619200000,FETUSDT,129933424.00000000,25540337.50187520
1773633600000,FETUSDT,130821018.00000000,25806983.72824920
1773648000000,FETUSDT,136570269.00000000,28320530.24863854
1773662400000,FETUSDT,137851434.00000000,30108075.18085206
1773676800000,FETUSDT,141167566.00000000,32500919.78461342
1773691200000,FETUSDT,143269779.00000000,33756599.23904577
1773705600000,FETUSDT,139864220.00000000,33273697.93800000
1773720000000,FETUSDT,142497524.00000000,32933910.89891032
1773734400000,FETUSDT,144716977.00000000,33864358.72175685
1773748800000,FETUSDT,145339565.00000000,33805982.81900000
1773763200000,FETUSDT,143505498.00000000,33036700.62107082
1773777600000,FETUSDT,143636166.00000000,33539044.76100000
1773792000000,FETUSDT,143166698.00000000,34417274.19920000
1773806400000,FETUSDT,141832227.00000000,33412709.80597797
1773820800000,FETUSDT,140200925.00000000,31341876.12548175
1773835200000,FETUSDT,141219567.00000000,31422350.66764302
1773849600000,FETUSDT,144064646.00000000,31679815.65540000
1773864000000,FETUSDT,143303574.00000000,31715978.52446628
1773878400000,FETUSDT,144655749.00000000,32272697.60190000
1773892800000,FETUSDT,143767439.00000000,32340449.46119025
1773907200000,FETUSDT,139518850.00000000,30402545.62755750
1773921600000,FETUSDT,141071047.00000000,29544400.74850381
1773936000000,FETUSDT,139517745.00000000,28336054.00950000
1773950400000,FETUSDT,137408003.00000000,29226682.23810000
1773964800000,FETUSDT,137059547.00000000,29097741.82810000
