timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,FLUXUSDT,11559397.00000000,781984.65309622
1771574400000,FLUXUSDT,11575211.00000000,776117.89755000
1771588800000,FLUXUSDT,11496271.00000000,762202.76730000
1771603200000,FLUXUSDT,11586182.00000000,772697.42375478
1771617600000,FLUXUSDT,11550756.00000000,772745.57640000
1771632000000,FLUXUSDT,11686369.00000000,791167.18130000
1771646400000,FLUXUSDT,11755747.00000000,795788.24733185
1771660800000,FLUXUSDT,11841798.00000000,793400.46600000
1771675200000,FLUXUSDT,12049547.00000000,821779.10540000
1771689600000,FLUXUSDT,11989082.00000000,809560.84379688
1771704000000,FLUXUSDT,11960417.00000000,798359.50920838
1771718400000,FLUXUSDT,12100849.00000000,794420.73685000
1771732800000,FLUXUSDT,12240254.00000000,790110.35414064
1771747200000,FLUXUSDT,12230284.00000000,790666.33530016
1771761600000,FLUXUSDT,12357058.00000000,798265.94680000
1771776000000,FLUXUSDT,12629805.00000000,797572.18575000
1771790400000,FLUXUSDT,12779576.00000000,798092.82792440
1771804800000,FLUXUSDT,13049903.00000000,808424.13447901
1771819200000,FLUXUSDT,12711329.00000000,770934.98550576
1771833600000,FLUXUSDT,12707039.00000000,784024.30630000
1771848000000,FLUXUSDT,12377169.00000000,793091.48669793
1771862400000,FLUXUSDT,12244463.00000000,772013.39215000
1771876800000,FLUXUSDT,11963132.00000000,733519.43858000
1771891200000,FLUXUSDT,11981715.00000000,742866.33000000
1771905600000,FLUXUSDT,11848359.00000000,739337.60160000
1771920000000,FLUXUSDT,11776170.00000000,723056.83800000
1771934400000,FLUXUSDT,11803337.00000000,719499.31844336
1771948800000,FLUXUSDT,11476205.00000000,716115.19200000
1771963200000,FLUXUSDT,11557928.00000000,722370.50000000
1771977600000,FLUXUSDT,11478340.00000000,711657.08000000
1771992000000,FLUXUSDT,11390890.00000000,716486.98100000
1772006400000,FLUXUSDT,11468792.00000000,722533.89600000
1772020800000,FLUXUSDT,11462493.00000000,724429.55760000
1772035200000,FLUXUSDT,11465028.00000000,741228.85008612
1772049600000,FLUXUSDT,11754816.00000000,774642.37440000
1772064000000,FLUXUSDT,11530351.00000000,752369.00856418
1772078400000,FLUXUSDT,11561597.00000000,750347.64530000
1772092800000,FLUXUSDT,11489085.00000000,736450.34850000
1772107200000,FLUXUSDT,11564638.00000000,736667.44060000
1772121600000,FLUXUSDT,11520899.00000000,732729.17640000
1772136000000,FLUXUSDT,11519483.00000000,732639.11880000
1772150400000,FLUXUSDT,11568038.00000000,729411.06805200
1772164800000,FLUXUSDT,11641260.00000000,737461.01561400
1772179200000,FLUXUSDT,11846371.00000000,760417.96217145
1772193600000,FLUXUSDT,11641799.00000000,734597.51690000
1772208000000,FLUXUSDT,11525186.00000000,720785.13244000
1772222400000,FLUXUSDT,11614184.00000000,715907.59310720
1772236800000,FLUXUSDT,11668525.00000000,717736.69032725
1772251200000,FLUXUSDT,11740095.00000000,719826.90178725
1772265600000,FLUXUSDT,12158092.00000000,710397.31556000
1772280000000,FLUXUSDT,12000635.00000000,697548.18997190
1772294400000,FLUXUSDT,11803546.00000000,701628.74204120
1772308800000,FLUXUSDT,11919988.00000000,725383.59854732
1772323200000,FLUXUSDT,11891404.00000000,737861.61820000
1772337600000,FLUXUSDT,12029078.00000000,751576.79344000
1772352000000,FLUXUSDT,12182601.00000000,753805.50278358
1772366400000,FLUXUSDT,12260500.00000000,752549.49000000
1772380800000,FLUXUSDT,12353922.00000000,750871.62623844
1772395200000,FLUXUSDT,13235321.00000000,785207.91837070
1772409600000,FLUXUSDT,13151321.00000000,783763.89059143
1772424000000,FLUXUSDT,13134745.00000000,791051.44485315
1772438400000,FLUXUSDT,13040747.00000000,773112.33981692
1772452800000,FLUXUSDT,12777414.00000000,772727.91125712
1772467200000,FLUXUSDT,12831436.00000000,788102.05148868
1772481600000,FLUXUSDT,13060714.00000000,793304.76439578
1772496000000,FLUXUSDT,13161099.00000000,790726.85619039
1772510400000,FLUXUSDT,13478135.00000000,808327.96423280
1772524800000,FLUXUSDT,13455293.00000000,815768.98408623
1772539200000,FLUXUSDT,13319067.00000000,790519.12497348
1772553600000,FLUXUSDT,13676086.00000000,818381.36258752
1772568000000,FLUXUSDT,14087814.00000000,835689.12648000
1772582400000,FLUXUSDT,14088530.00000000,838557.89960330
1772596800000,FLUXUSDT,13858914.00000000,808573.80705222
1772611200000,FLUXUSDT,14034025.00000000,825256.66575975
1772625600000,FLUXUSDT,14011811.00000000,834263.22694000
1772640000000,FLUXUSDT,14089506.00000000,858559.12388142
1772654400000,FLUXUSDT,14699798.00000000,902576.12308284
1772668800000,FLUXUSDT,14932108.00000000,897658.60452800
1772683200000,FLUXUSDT,15323334.00000000,910359.27294000
1772697600000,FLUXUSDT,15342929.00000000,909472.21571199
1772712000000,FLUXUSDT,15379945.00000000,922319.76790555
1772726400000,FLUXUSDT,15404177.00000000,917061.64463587
1772740800000,FLUXUSDT,15320209.00000000,908992.27537401
1772755200000,FLUXUSDT,15281123.00000000,908844.79042500
1772769600000,FLUXUSDT,15193399.00000000,915706.15773000
1772784000000,FLUXUSDT,14977870.00000000,914099.40610000
1772798400000,FLUXUSDT,14858237.00000000,876041.65352000
1772812800000,FLUXUSDT,14956391.00000000,867919.36973000
1772827200000,FLUXUSDT,15163085.00000000,860808.33545000
1772841600000,FLUXUSDT,15361831.00000000,868626.43850626
1772856000000,FLUXUSDT,15233829.00000000,877003.46160063
1772870400000,FLUXUSDT,15108505.00000000,860385.39400045
1772884800000,FLUXUSDT,15126551.00000000,869322.88597000
1772899200000,FLUXUSDT,15234945.00000000,861268.91881470
1772913600000,FLUXUSDT,15647909.00000000,877297.82737774
1772928000000,FLUXUSDT,15578968.00000000,869462.20408000
1772942400000,FLUXUSDT,15776511.00000000,859263.88525236
1772956800000,FLUXUSDT,16089201.00000000,883940.70294000
1772971200000,FLUXUSDT,16338361.00000000,905088.83205455
1772985600000,FLUXUSDT,16355391.00000000,900854.93628000
1773000000000,FLUXUSDT,16226984.00000000,899623.99296000
1773014400000,FLUXUSDT,16477575.00000000,917455.39275225
1773028800000,FLUXUSDT,15981841.00000000,898768.87449608
1773043200000,FLUXUSDT,15562043.00000000,880466.62330669
1773057600000,FLUXUSDT,15757620.00000000,887823.70485000
1773072000000,FLUXUSDT,15787553.00000000,885523.84777000
1773086400000,FLUXUSDT,16045888.00000000,897055.47754944
1773100800000,FLUXUSDT,16218801.00000000,904124.84676948
