timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,FORTHUSDT,864293.30000000,906643.67170000
1771574400000,FORTHUSDT,869696.00000000,927131.32393024
1771588800000,FORTHUSDT,863913.40000000,909700.81020000
1771603200000,FORTHUSDT,862602.60000000,902045.37129181
1771617600000,FORTHUSDT,869775.30000000,913657.58613673
1771632000000,FORTHUSDT,863394.70000000,915198.38200000
1771646400000,FORTHUSDT,865363.60000000,915120.76953005
1771660800000,FORTHUSDT,870697.90000000,925551.86770000
1771675200000,FORTHUSDT,879277.60000000,940827.03200000
1771689600000,FORTHUSDT,881100.40000000,939253.02640000
1771704000000,FORTHUSDT,858967.10000000,913983.36724704
1771718400000,FORTHUSDT,855628.20000000,903204.55043280
1771732800000,FORTHUSDT,851867.70000000,890883.24066000
1771747200000,FORTHUSDT,845793.40000000,879104.12726560
1771761600000,FORTHUSDT,834096.80000000,865144.15163930
1771776000000,FORTHUSDT,829416.10000000,841454.80098419
1771790400000,FORTHUSDT,828752.70000000,841183.99050000
1771804800000,FORTHUSDT,825632.30000000,838016.78450000
1771819200000,FORTHUSDT,823458.50000000,806365.80722380
1771833600000,FORTHUSDT,824189.90000000,822541.52020000
1771848000000,FORTHUSDT,809622.20000000,817427.25756821
1771862400000,FORTHUSDT,801986.80000000,799580.83960000
1771876800000,FORTHUSDT,807768.90000000,795652.36650000
1771891200000,FORTHUSDT,823523.00000000,797170.26400000
1771905600000,FORTHUSDT,839051.00000000,819987.76128000
1771920000000,FORTHUSDT,851340.00000000,826198.22712000
1771934400000,FORTHUSDT,851488.80000000,827905.47233170
1771948800000,FORTHUSDT,866324.60000000,848093.66511760
1771963200000,FORTHUSDT,867957.90000000,850602.70856760
1771977600000,FORTHUSDT,878596.50000000,846527.72775000
1771992000000,FORTHUSDT,879236.60000000,851101.02880000
1772006400000,FORTHUSDT,889695.50000000,858378.66324775
1772020800000,FORTHUSDT,897250.70000000,872769.82478098
1772035200000,FORTHUSDT,899907.90000000,891684.11865309
1772049600000,FORTHUSDT,928850.60000000,957803.86707214
1772064000000,FORTHUSDT,926931.50000000,942174.62897668
1772078400000,FORTHUSDT,931099.90000000,943204.19870000
1772092800000,FORTHUSDT,929570.40000000,937510.79035680
1772107200000,FORTHUSDT,929648.20000000,939874.33020000
1772121600000,FORTHUSDT,924729.60000000,915431.27742067
1772136000000,FORTHUSDT,924082.60000000,909297.27840000
1772150400000,FORTHUSDT,929926.70000000,909468.31260000
1772164800000,FORTHUSDT,930617.40000000,910143.81720000
1772179200000,FORTHUSDT,941922.10000000,943805.94420000
1772193600000,FORTHUSDT,959382.80000000,942400.40049174
1772208000000,FORTHUSDT,963604.40000000,934707.29163434
1772222400000,FORTHUSDT,953394.10000000,914863.30668861
1772236800000,FORTHUSDT,950328.80000000,914670.18263488
1772251200000,FORTHUSDT,957345.30000000,920008.83330000
1772265600000,FORTHUSDT,956617.10000000,870521.56100000
1772280000000,FORTHUSDT,964748.90000000,858626.52100000
1772294400000,FORTHUSDT,975351.30000000,881717.57520000
1772308800000,FORTHUSDT,969186.70000000,903344.08080814
1772323200000,FORTHUSDT,982016.10000000,963357.79410000
1772337600000,FORTHUSDT,982403.60000000,973250.48671458
1772352000000,FORTHUSDT,967073.40000000,940013.91260928
1772366400000,FORTHUSDT,972583.00000000,930187.71799680
1772380800000,FORTHUSDT,971571.00000000,914754.46062816
1772395200000,FORTHUSDT,972340.70000000,897982.75352120
1772409600000,FORTHUSDT,971561.70000000,894305.44536408
1772424000000,FORTHUSDT,962720.50000000,911573.26819290
1772438400000,FORTHUSDT,966820.00000000,900109.42000000
1772452800000,FORTHUSDT,964976.70000000,914797.91160000
1772467200000,FORTHUSDT,953480.40000000,926675.46295451
1772481600000,FORTHUSDT,948956.30000000,929977.17400000
1772496000000,FORTHUSDT,946988.70000000,907087.55840279
1772510400000,FORTHUSDT,951825.90000000,909406.18921725
1772524800000,FORTHUSDT,953649.80000000,920774.22037519
1772539200000,FORTHUSDT,955931.60000000,899053.66980000
1772553600000,FORTHUSDT,943993.70000000,892132.32867104
1772568000000,FORTHUSDT,938424.00000000,922470.79200000
1772582400000,FORTHUSDT,928647.70000000,896145.03050000
1772596800000,FORTHUSDT,925668.60000000,880310.83860000
1772611200000,FORTHUSDT,920691.10000000,886205.68495149
1772625600000,FORTHUSDT,915690.70000000,892245.85894709
1772640000000,FORTHUSDT,914102.40000000,910406.53774042
1772654400000,FORTHUSDT,905551.40000000,903285.10367776
1772668800000,FORTHUSDT,909999.90000000,892840.63248563
1772683200000,FORTHUSDT,911434.40000000,897681.64785193
1772697600000,FORTHUSDT,905085.60000000,883273.31761654
1772712000000,FORTHUSDT,900266.40000000,887039.68605120
1772726400000,FORTHUSDT,909768.60000000,885240.11043094
1772740800000,FORTHUSDT,904349.40000000,880836.31560000
1772755200000,FORTHUSDT,899321.20000000,870080.69748284
1772769600000,FORTHUSDT,915792.70000000,883599.28974128
1772784000000,FORTHUSDT,919066.20000000,894705.17396426
1772798400000,FORTHUSDT,1164942.40000000,972064.59929733
1772812800000,FORTHUSDT,1189284.50000000,988244.54190909
1772827200000,FORTHUSDT,1213381.40000000,1014386.85040000
1772841600000,FORTHUSDT,1207533.90000000,1022177.44635000
1772856000000,FORTHUSDT,1210265.70000000,1030212.64430979
1772870400000,FORTHUSDT,1197839.80000000,993576.03595016
1772884800000,FORTHUSDT,1227147.20000000,1032030.79520000
1772899200000,FORTHUSDT,1230139.20000000,1012473.42479242
1772913600000,FORTHUSDT,1211314.30000000,1019293.26857882
1772928000000,FORTHUSDT,1206301.30000000,1021135.95640605
1772942400000,FORTHUSDT,1193355.20000000,988647.83660643
1772956800000,FORTHUSDT,1237013.80000000,1089809.15780000
1772971200000,FORTHUSDT,1249633.70000000,1088161.93155706
1772985600000,FORTHUSDT,1223547.30000000,1051752.58412964
1773000000000,FORTHUSDT,1251397.00000000,1077452.81700000
1773014400000,FORTHUSDT,1229115.40000000,1051280.72773061
1773028800000,FORTHUSDT,1218285.80000000,1064781.78920000
1773043200000,FORTHUSDT,1203942.30000000,1030574.60880000
1773057600000,FORTHUSDT,1208412.90000000,1040443.50690000
1773072000000,FORTHUSDT,1206580.80000000,1044898.97280000
1773086400000,FORTHUSDT,1191834.50000000,1017741.37532318
1773100800000,FORTHUSDT,1190916.00000000,1007514.93600000
1773115200000,FORTHUSDT,1179875.60000000,1004664.07340000
1773129600000,FORTHUSDT,1165236.70000000,999398.96605273
1773144000000,FORTHUSDT,1167178.80000000,996770.69520000
1773158400000,FORTHUSDT,1160619.70000000,995265.49175679
1773172800000,FORTHUSDT,1183561.60000000,1007813.20059139
1773187200000,FORTHUSDT,1184799.60000000,1020642.61787701
1773201600000,FORTHUSDT,1223371.80000000,1035412.69973992
1773216000000,FORTHUSDT,1237137.90000000,1055972.52697673
1773230400000,FORTHUSDT,1231834.10000000,1061142.95077055
1773244800000,FORTHUSDT,1231943.10000000,1076115.12237767
1773259200000,FORTHUSDT,1268109.40000000,1130691.92957293
1773273600000,FORTHUSDT,1252321.50000000,1110215.06918040
1773288000000,FORTHUSDT,1298259.10000000,1160643.63540000
1773302400000,FORTHUSDT,1274224.10000000,1115583.19955000
1773316800000,FORTHUSDT,1367439.50000000,1229486.61041245
1773331200000,FORTHUSDT,1321151.40000000,1190425.00150562
1773345600000,FORTHUSDT,1301459.30000000,1183661.79804270
1773360000000,FORTHUSDT,1288040.70000000,1174693.11840000
1773374400000,FORTHUSDT,1271489.60000000,1169692.28624918
1773388800000,FORTHUSDT,1257096.20000000,1135795.16608955
1773403200000,FORTHUSDT,1249783.50000000,1138469.10799251
1773417600000,FORTHUSDT,1222656.30000000,1131118.67598317
1773432000000,FORTHUSDT,1224088.00000000,1107721.29836800
1773446400000,FORTHUSDT,1222879.40000000,1102400.53886918
1773460800000,FORTHUSDT,1227256.80000000,1102002.97099200
1773475200000,FORTHUSDT,1233917.20000000,1130421.16093280
1773489600000,FORTHUSDT,1231392.50000000,1145814.09526545
1773504000000,FORTHUSDT,1228656.50000000,1180304.67700634
1773518400000,FORTHUSDT,1209575.80000000,1121882.23186245
1773532800000,FORTHUSDT,1199041.50000000,1129706.06195262
1773547200000,FORTHUSDT,1183458.20000000,1095279.83013413
1773561600000,FORTHUSDT,1182080.60000000,1085135.80583280
1773576000000,FORTHUSDT,1183981.90000000,1089561.71143880
1773590400000,FORTHUSDT,1188174.10000000,1076485.73460000
1773604800000,FORTHUSDT,1187128.90000000,1088511.72801920
1773619200000,FORTHUSDT,1186696.70000000,1090030.03632641
1773633600000,FORTHUSDT,1185039.80000000,1093776.03362265
1773648000000,FORTHUSDT,1190279.70000000,1111057.49222809
1773662400000,FORTHUSDT,1183053.00000000,1112069.82000000
1773676800000,FORTHUSDT,1175320.50000000,1093649.82909600
1773691200000,FORTHUSDT,1164978.00000000,1093329.01045368
1773705600000,FORTHUSDT,1160379.50000000,1099495.52480691
1773720000000,FORTHUSDT,1160666.40000000,1086348.35007480
1773734400000,FORTHUSDT,1155318.20000000,1072703.24402712
1773748800000,FORTHUSDT,1154474.00000000,1085450.30848800
1773763200000,FORTHUSDT,1159633.60000000,1088879.25167616
1773777600000,FORTHUSDT,1158519.90000000,1081470.91212264
1773792000000,FORTHUSDT,1160024.70000000,1081740.66512544
1773806400000,FORTHUSDT,1157152.30000000,1076035.92377000
1773820800000,FORTHUSDT,1157619.50000000,1068482.79850000
1773835200000,FORTHUSDT,1273119.20000000,906460.87040000
1773849600000,FORTHUSDT,1310622.10000000,827054.73407202
1773864000000,FORTHUSDT,1379719.80000000,843238.50734950
1773878400000,FORTHUSDT,1379836.90000000,843213.85891844
1773892800000,FORTHUSDT,1230516.20000000,731124.36675334
1773907200000,FORTHUSDT,1111880.60000000,670115.53841996
1773921600000,FORTHUSDT,1063459.40000000,645519.85580000
1773936000000,FORTHUSDT,1040822.00000000,604717.58200000
1773950400000,FORTHUSDT,1006769.00000000,602855.66324253
1773964800000,FORTHUSDT,1004708.00000000,592777.72000000
