timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,FUNUSDT,1022277552.00000000,1278296.74212288
1771574400000,FUNUSDT,1007586043.00000000,1314899.78611500
1771588800000,FUNUSDT,1014490213.00000000,1321961.90675604
1771603200000,FUNUSDT,974812361.00000000,1245810.19735800
1771617600000,FUNUSDT,987298872.00000000,1310639.25258000
1771632000000,FUNUSDT,985348050.00000000,1311498.25455000
1771646400000,FUNUSDT,970205586.00000000,1269999.11207400
1771660800000,FUNUSDT,974402966.00000000,1286211.91512000
1771675200000,FUNUSDT,961483735.00000000,1279167.57588135
1771689600000,FUNUSDT,945874092.00000000,1255193.83756584
1771704000000,FUNUSDT,943480966.00000000,1228817.91454738
1771718400000,FUNUSDT,937666775.00000000,1236782.47622500
1771732800000,FUNUSDT,936047750.00000000,1214989.97950000
1771747200000,FUNUSDT,946971812.00000000,1234851.24284800
1771761600000,FUNUSDT,940037325.00000000,1245549.45562500
1771776000000,FUNUSDT,937494645.00000000,1221086.77511250
1771790400000,FUNUSDT,932763704.00000000,1222853.21594400
1771804800000,FUNUSDT,938123191.00000000,1243482.28967050
1771819200000,FUNUSDT,919524285.00000000,1178830.13337000
1771833600000,FUNUSDT,921809965.00000000,1178110.00766860
1771848000000,FUNUSDT,919500038.00000000,1188784.81912868
1771862400000,FUNUSDT,909941152.00000000,1168364.43916800
1771876800000,FUNUSDT,910270468.00000000,1184635.08975988
1771891200000,FUNUSDT,917181828.00000000,1255099.12889004
1771905600000,FUNUSDT,924657371.00000000,1243627.17770016
1771920000000,FUNUSDT,916064079.00000000,1264910.44092399
1771934400000,FUNUSDT,885425461.00000000,1205064.05242100
1771948800000,FUNUSDT,875328821.00000000,1186070.55245500
1771963200000,FUNUSDT,876893716.00000000,1173660.85630588
1771977600000,FUNUSDT,869259658.00000000,1170101.73303722
1771992000000,FUNUSDT,860504908.00000000,1167705.16015600
1772006400000,FUNUSDT,871223120.00000000,1221454.81424000
1772020800000,FUNUSDT,871148155.00000000,1166014.38250440
1772035200000,FUNUSDT,842664290.00000000,1115687.51996000
1772049600000,FUNUSDT,856259533.00000000,1153980.97262410
1772064000000,FUNUSDT,852351082.00000000,1119989.32174800
1772078400000,FUNUSDT,857427509.00000000,1100079.49404700
1772092800000,FUNUSDT,877305797.00000000,1101360.92449583
1772107200000,FUNUSDT,892297118.00000000,1117539.67949674
1772121600000,FUNUSDT,907123632.00000000,1166733.34424208
1772136000000,FUNUSDT,891678012.00000000,1197104.48145036
1772150400000,FUNUSDT,872959766.00000000,1166021.08904386
1772164800000,FUNUSDT,879425017.00000000,1157103.46611775
1772179200000,FUNUSDT,847163004.00000000,1121643.81729600
1772193600000,FUNUSDT,843945878.00000000,1098707.82019186
1772208000000,FUNUSDT,845516779.00000000,1103399.39659500
1772222400000,FUNUSDT,860376417.00000000,1136557.24685700
1772236800000,FUNUSDT,854090107.00000000,1147461.51785343
1772251200000,FUNUSDT,855386742.00000000,1134242.81989200
1772265600000,FUNUSDT,845297928.00000000,1133544.52144800
1772280000000,FUNUSDT,852008742.00000000,1089591.37970670
1772294400000,FUNUSDT,857584311.00000000,1144669.23495036
1772308800000,FUNUSDT,882637705.00000000,1195179.71634050
1772323200000,FUNUSDT,864232535.00000000,1173031.46208085
1772337600000,FUNUSDT,835077045.00000000,1144523.19479520
1772352000000,FUNUSDT,822868125.00000000,1139762.86861875
1772366400000,FUNUSDT,835097783.00000000,1149094.54940800
1772380800000,FUNUSDT,835873481.00000000,1159456.82296472
1772395200000,FUNUSDT,832184295.00000000,1136056.39031925
1772409600000,FUNUSDT,831399141.00000000,1160383.78109370
1772424000000,FUNUSDT,803348068.00000000,1082141.98151872
1772438400000,FUNUSDT,810626620.00000000,1055760.10988800
1772452800000,FUNUSDT,805770783.00000000,1048307.78868300
1772467200000,FUNUSDT,802855387.00000000,1057392.65889448
1772481600000,FUNUSDT,810835273.00000000,1054150.72172184
1772496000000,FUNUSDT,819320412.00000000,1053646.04983200
1772510400000,FUNUSDT,807382856.00000000,1057413.17884608
1772524800000,FUNUSDT,794120289.00000000,1056974.10465900
1772539200000,FUNUSDT,778908397.00000000,1016607.87251249
1772553600000,FUNUSDT,764959125.00000000,1004047.09951875
1772568000000,FUNUSDT,768164384.00000000,1015513.31564800
1772582400000,FUNUSDT,775964381.00000000,1023652.21141520
1772596800000,FUNUSDT,776104847.00000000,1020166.53823609
1772611200000,FUNUSDT,770366218.00000000,1012669.50454754
1772625600000,FUNUSDT,765182721.00000000,1013507.46944613
1772640000000,FUNUSDT,761082234.00000000,1018860.78665580
1772654400000,FUNUSDT,748640207.00000000,1005835.55011485
1772668800000,FUNUSDT,753063406.00000000,992537.56910800
1772683200000,FUNUSDT,754488743.00000000,1008751.44939100
1772697600000,FUNUSDT,744973076.00000000,995284.02953600
1772712000000,FUNUSDT,740757098.00000000,1015577.98135800
1772726400000,FUNUSDT,723177195.00000000,990029.57995500
1772740800000,FUNUSDT,721559396.00000000,1000802.88225200
1772755200000,FUNUSDT,711524942.00000000,987596.61949600
1772769600000,FUNUSDT,710863784.00000000,985257.20462400
1772784000000,FUNUSDT,712410907.00000000,1000937.32433500
1772798400000,FUNUSDT,975566050.00000000,1114096.42910000
1772812800000,FUNUSDT,955583461.00000000,1125677.31705800
1772827200000,FUNUSDT,907482775.00000000,1078497.90394875
1772841600000,FUNUSDT,890130792.00000000,1046482.26561480
1772856000000,FUNUSDT,878317744.00000000,1034104.96225328
1772870400000,FUNUSDT,863094857.00000000,997737.65469200
1772884800000,FUNUSDT,863403015.00000000,995218.75330005
1772899200000,FUNUSDT,853913588.00000000,1002076.13465388
1772913600000,FUNUSDT,845344269.00000000,972991.25361900
1772928000000,FUNUSDT,838660269.00000000,960274.39460769
1772942400000,FUNUSDT,843626535.00000000,945992.17875690
1772956800000,FUNUSDT,873900872.00000000,1035686.14043336
1772971200000,FUNUSDT,857576013.00000000,1008766.66409190
1772985600000,FUNUSDT,839814245.00000000,984262.29514000
1773000000000,FUNUSDT,852627034.00000000,1011531.13432658
1773014400000,FUNUSDT,888917662.00000000,1060123.20370120
1773028800000,FUNUSDT,888474102.00000000,1091668.12912740
1773043200000,FUNUSDT,885224554.00000000,1075547.83311000
1773057600000,FUNUSDT,882527717.00000000,1078448.87017400
1773072000000,FUNUSDT,863891925.00000000,1082456.58202500
1773086400000,FUNUSDT,859769507.00000000,1099997.70495087
1773100800000,FUNUSDT,866968346.00000000,1110794.52362904
1773115200000,FUNUSDT,839893800.00000000,1045995.33958200
1773129600000,FUNUSDT,838227254.00000000,1050466.39471280
1773144000000,FUNUSDT,834601424.00000000,1044086.38142400
1773158400000,FUNUSDT,838140070.00000000,1065653.19200150
1773172800000,FUNUSDT,814920042.00000000,1033766.81927910
1773187200000,FUNUSDT,812078704.00000000,1039176.51357360
1773201600000,FUNUSDT,808601929.00000000,1031776.06140400
1773216000000,FUNUSDT,772036321.00000000,986662.41823800
1773230400000,FUNUSDT,766939302.00000000,1001622.72841200
1773244800000,FUNUSDT,801077921.00000000,1086133.48840864
1773259200000,FUNUSDT,825594512.00000000,1146750.77716800
1773273600000,FUNUSDT,820957578.00000000,1140523.52481228
1773288000000,FUNUSDT,796989048.00000000,1059724.45756368
1773302400000,FUNUSDT,812091996.00000000,1049718.23494956
1773316800000,FUNUSDT,820486673.00000000,1073582.19702031
1773331200000,FUNUSDT,806619755.00000000,1082483.71121000
1773345600000,FUNUSDT,804940192.00000000,1113385.22417248
1773360000000,FUNUSDT,781409268.00000000,1083814.65471600
1773374400000,FUNUSDT,769103313.00000000,1071360.91500900
1773388800000,FUNUSDT,758609845.00000000,1038923.76882595
1773403200000,FUNUSDT,756668469.00000000,1031339.12324700
1773417600000,FUNUSDT,753382850.00000000,1018144.18497550
1773432000000,FUNUSDT,743925307.00000000,1001323.46322200
1773446400000,FUNUSDT,738519717.00000000,1018787.94960150
1773460800000,FUNUSDT,750152722.00000000,1035705.85715652
1773475200000,FUNUSDT,786318717.00000000,1083861.71951280
1773489600000,FUNUSDT,777749742.00000000,1029771.76839768
1773504000000,FUNUSDT,798063343.00000000,1076276.20500323
1773518400000,FUNUSDT,804601668.00000000,1075527.14164896
1773532800000,FUNUSDT,781093000.00000000,1054803.60906000
1773547200000,FUNUSDT,781030519.00000000,1084859.20119619
1773561600000,FUNUSDT,782777416.00000000,1070964.74947456
1773576000000,FUNUSDT,791438167.00000000,1102536.68168436
1773590400000,FUNUSDT,772789442.00000000,1068713.70302506
1773604800000,FUNUSDT,766255727.00000000,1071225.50634600
1773619200000,FUNUSDT,756973719.00000000,1045380.70593900
1773633600000,FUNUSDT,756168370.00000000,1045962.33611880
1773648000000,FUNUSDT,769088633.00000000,1067495.02260400
1773662400000,FUNUSDT,785272510.00000000,1077990.69082760
1773676800000,FUNUSDT,787774145.00000000,1076099.48207000
1773691200000,FUNUSDT,798462163.00000000,1085197.91035493
1773705600000,FUNUSDT,802857965.00000000,1111155.42356000
1773720000000,FUNUSDT,821475770.00000000,1158280.83570000
1773734400000,FUNUSDT,814555205.00000000,1158297.50151000
1773748800000,FUNUSDT,814745997.00000000,1156939.31574000
1773763200000,FUNUSDT,798022993.00000000,1094991.28938509
1773777600000,FUNUSDT,804291155.00000000,1087932.47372230
1773792000000,FUNUSDT,807221230.00000000,1095835.10857420
1773806400000,FUNUSDT,804722016.00000000,1085714.84954688
1773820800000,FUNUSDT,801734504.00000000,1075807.44419240
1773835200000,FUNUSDT,810648554.00000000,1104913.97910200
1773849600000,FUNUSDT,819677666.00000000,1078236.78896304
1773864000000,FUNUSDT,803401268.00000000,1045225.04966800
1773878400000,FUNUSDT,795491271.00000000,1028092.91864040
1773892800000,FUNUSDT,794543197.00000000,1029322.76628153
1773907200000,FUNUSDT,787696763.00000000,1024005.79190000
1773921600000,FUNUSDT,803811279.00000000,1052333.65024122
1773936000000,FUNUSDT,809908371.00000000,1040942.83291146
1773950400000,FUNUSDT,809776483.00000000,1085481.08216701
1773964800000,FUNUSDT,803610818.00000000,1072820.44203000
