timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,GMXUSDT,272865.01000000,1869943.91353000
1771574400000,GMXUSDT,273758.34000000,1873123.00460258
1771588800000,GMXUSDT,269997.11000000,1816575.43160670
1771603200000,GMXUSDT,268905.92000000,1805664.59757400
1771617600000,GMXUSDT,267764.78000000,1832293.37000477
1771632000000,GMXUSDT,266726.24000000,1830542.18512000
1771646400000,GMXUSDT,268008.08000000,1836797.84397469
1771660800000,GMXUSDT,268918.85000000,1824076.55955000
1771675200000,GMXUSDT,267284.03000000,1836241.28610000
1771689600000,GMXUSDT,266709.95000000,1821778.98818107
1771704000000,GMXUSDT,267127.91000000,1809212.81222124
1771718400000,GMXUSDT,262378.34000000,1745436.92394593
1771732800000,GMXUSDT,262559.36000000,1736022.25024453
1771747200000,GMXUSDT,260064.61000000,1671955.37769000
1771761600000,GMXUSDT,258673.29000000,1656285.07587000
1771776000000,GMXUSDT,253285.95000000,1613684.78745000
1771790400000,GMXUSDT,251099.18000000,1588566.40731100
1771804800000,GMXUSDT,252917.43000000,1605014.01078000
1771819200000,GMXUSDT,252939.96000000,1555665.06647687
1771833600000,GMXUSDT,253866.37000000,1568894.16660000
1771848000000,GMXUSDT,249656.54000000,1583381.21241248
1771862400000,GMXUSDT,251931.20000000,1586801.25976000
1771876800000,GMXUSDT,250233.10000000,1558785.39009922
1771891200000,GMXUSDT,247436.90000000,1545152.71281188
1771905600000,GMXUSDT,249561.81000000,1543677.05384550
1771920000000,GMXUSDT,249716.09000000,1525320.49812037
1771934400000,GMXUSDT,248019.14000000,1537222.62972000
1771948800000,GMXUSDT,250486.00000000,1609873.52200000
1771963200000,GMXUSDT,252574.63000000,1600818.00494000
1771977600000,GMXUSDT,253603.99000000,1625506.47693979
1771992000000,GMXUSDT,254995.20000000,1666393.63200000
1772006400000,GMXUSDT,257196.53000000,1690046.97099034
1772020800000,GMXUSDT,256399.18000000,1707263.85412233
1772035200000,GMXUSDT,256585.48000000,1779398.38626830
1772049600000,GMXUSDT,259392.80000000,1833388.31040000
1772064000000,GMXUSDT,255746.71000000,1780508.59502000
1772078400000,GMXUSDT,255267.58000000,1761091.03442000
1772092800000,GMXUSDT,254665.22000000,1792079.15314000
1772107200000,GMXUSDT,255050.75000000,1762145.63175000
1772121600000,GMXUSDT,253901.02000000,1730627.43747300
1772136000000,GMXUSDT,250935.19000000,1733469.18064443
1772150400000,GMXUSDT,250334.29000000,1723558.88890124
1772164800000,GMXUSDT,248289.56000000,1716177.43872000
1772179200000,GMXUSDT,248799.26000000,1712131.80512741
1772193600000,GMXUSDT,247843.89000000,1684325.70981824
1772208000000,GMXUSDT,247232.39000000,1679449.62527000
1772222400000,GMXUSDT,248174.64000000,1656069.37272000
1772236800000,GMXUSDT,246199.54000000,1650099.07279567
1772251200000,GMXUSDT,245622.09000000,1654141.96510500
1772265600000,GMXUSDT,243424.11000000,1578422.78526750
1772280000000,GMXUSDT,239896.19000000,1549153.63654400
1772294400000,GMXUSDT,235247.10000000,1541338.99920000
1772308800000,GMXUSDT,237656.40000000,1601091.16680000
1772323200000,GMXUSDT,240140.29000000,1631306.75849758
1772337600000,GMXUSDT,240223.72000000,1654660.98336000
1772352000000,GMXUSDT,240048.77000000,1661377.53717000
1772366400000,GMXUSDT,241794.34000000,1647949.32427000
1772380800000,GMXUSDT,240655.93000000,1632483.48475675
1772395200000,GMXUSDT,241507.48000000,1623868.11884231
1772409600000,GMXUSDT,245128.26000000,1651872.36040641
1772424000000,GMXUSDT,243810.57000000,1657261.71366730
1772438400000,GMXUSDT,243915.96000000,1638139.58736000
1772452800000,GMXUSDT,244843.90000000,1650182.33883953
1772467200000,GMXUSDT,245676.42000000,1715804.11728000
1772481600000,GMXUSDT,241068.20000000,1726530.44840000
1772496000000,GMXUSDT,240456.13000000,1692938.90232819
1772510400000,GMXUSDT,239972.11000000,1687483.87752000
1772524800000,GMXUSDT,240845.23000000,1688816.78878073
1772539200000,GMXUSDT,241140.52000000,1673394.63854000
1772553600000,GMXUSDT,244945.67000000,1719657.40676282
1772568000000,GMXUSDT,243831.71000000,1743765.77554635
1772582400000,GMXUSDT,242288.45000000,1714110.02174096
1772596800000,GMXUSDT,243132.37000000,1749181.20419022
1772611200000,GMXUSDT,244932.34000000,1806865.87218000
1772625600000,GMXUSDT,247490.89000000,1855043.21690600
1772640000000,GMXUSDT,250939.57000000,1906927.95531981
1772654400000,GMXUSDT,253842.14000000,1913715.89346000
1772668800000,GMXUSDT,251956.83000000,1887912.52719000
1772683200000,GMXUSDT,250597.03000000,1828226.97866030
1772697600000,GMXUSDT,247774.99000000,1787456.52330619
1772712000000,GMXUSDT,248648.45000000,1819360.70865000
1772726400000,GMXUSDT,251376.46000000,1782510.47786000
1772740800000,GMXUSDT,247838.87000000,1758515.86367345
1772755200000,GMXUSDT,246747.28000000,1775572.86542916
1772769600000,GMXUSDT,247618.74000000,1749674.01684000
1772784000000,GMXUSDT,245785.38000000,1734413.20975028
1772798400000,GMXUSDT,246178.25000000,1723498.03204143
1772812800000,GMXUSDT,248563.42000000,1698185.28544000
1772827200000,GMXUSDT,244807.48000000,1684275.46240000
1772841600000,GMXUSDT,240833.57000000,1663196.63442000
1772856000000,GMXUSDT,240475.35000000,1663247.75827500
1772870400000,GMXUSDT,241517.05000000,1669969.64222500
1772884800000,GMXUSDT,239756.59000000,1646860.04430864
1772899200000,GMXUSDT,238117.33000000,1607530.09483000
1772913600000,GMXUSDT,236333.05000000,1582982.40220500
1772928000000,GMXUSDT,233672.51000000,1573698.67415076
1772942400000,GMXUSDT,234239.87000000,1533099.94915000
1772956800000,GMXUSDT,232507.75000000,1478005.74881612
1772971200000,GMXUSDT,234572.39000000,1433471.87529000
1772985600000,GMXUSDT,261875.69000000,1566802.25327000
1773000000000,GMXUSDT,273224.10000000,1639617.82410000
1773014400000,GMXUSDT,274486.92000000,1618814.05939200
1773028800000,GMXUSDT,255428.36000000,1591318.68280000
1773043200000,GMXUSDT,251635.66000000,1585413.69928055
1773057600000,GMXUSDT,249749.01000000,1546695.61893000
1773072000000,GMXUSDT,250403.37000000,1552200.14953650
1773086400000,GMXUSDT,245637.32000000,1545058.74280000
1773100800000,GMXUSDT,242221.29000000,1515214.26953222
1773115200000,GMXUSDT,245780.25000000,1615513.58325000
1773129600000,GMXUSDT,242502.15000000,1626946.92435000
1773144000000,GMXUSDT,244569.55000000,1636284.42277190
1773158400000,GMXUSDT,237944.11000000,1563796.45185931
1773172800000,GMXUSDT,232965.06000000,1514086.51096305
1773187200000,GMXUSDT,231554.85000000,1516037.84277190
1773201600000,GMXUSDT,228963.89000000,1478648.80162000
1773216000000,GMXUSDT,233578.65000000,1463837.39955000
1773230400000,GMXUSDT,237119.31000000,1485746.12537690
1773244800000,GMXUSDT,233323.98000000,1457341.57908000
1773259200000,GMXUSDT,233485.95000000,1470727.99905000
1773273600000,GMXUSDT,233910.11000000,1480042.83001400
1773288000000,GMXUSDT,244855.78000000,1557886.73920685
1773302400000,GMXUSDT,241311.76000000,1515281.00015600
1773316800000,GMXUSDT,234536.37000000,1535113.83426563
1773331200000,GMXUSDT,234882.56000000,1532306.29270400
1773345600000,GMXUSDT,231090.17000000,1471917.28330650
1773360000000,GMXUSDT,231384.32000000,1472298.42816000
1773374400000,GMXUSDT,233914.93000000,1515546.52721650
1773388800000,GMXUSDT,233925.80000000,1491276.97500000
1773403200000,GMXUSDT,230858.71000000,1492270.70144000
1773417600000,GMXUSDT,234337.38000000,1583176.01623688
1773432000000,GMXUSDT,233827.84000000,1570855.42912000
1773446400000,GMXUSDT,232964.93000000,1545838.79301500
1773460800000,GMXUSDT,232156.37000000,1552893.95893000
1773475200000,GMXUSDT,231855.62000000,1523151.76053018
1773489600000,GMXUSDT,229026.20000000,1498976.47900000
1773504000000,GMXUSDT,227395.55000000,1473068.37290000
1773518400000,GMXUSDT,224943.55000000,1470680.92990000
1773532800000,GMXUSDT,224472.97000000,1499254.96663000
1773547200000,GMXUSDT,223545.86000000,1496859.35205051
1773561600000,GMXUSDT,224387.34000000,1521003.50778083
1773576000000,GMXUSDT,222579.57000000,1479708.98136000
1773590400000,GMXUSDT,222816.13000000,1445185.41918000
1773604800000,GMXUSDT,219706.27000000,1451844.66529052
1773619200000,GMXUSDT,218846.38000000,1460143.04736000
1773633600000,GMXUSDT,219850.57000000,1475637.02584000
1773648000000,GMXUSDT,219139.51000000,1475562.19874842
1773662400000,GMXUSDT,217383.72000000,1467321.99541461
1773676800000,GMXUSDT,218153.32000000,1450501.42468000
1773691200000,GMXUSDT,217191.44000000,1478168.74134270
1773705600000,GMXUSDT,218673.10000000,1505979.77239000
1773720000000,GMXUSDT,219350.65000000,1504745.45900000
1773734400000,GMXUSDT,218711.51000000,1516764.32185000
1773748800000,GMXUSDT,220190.32000000,1537148.62392000
1773763200000,GMXUSDT,219985.03000000,1518351.34346195
1773777600000,GMXUSDT,218534.22000000,1501796.29700755
1773792000000,GMXUSDT,216411.15000000,1504923.13710000
1773806400000,GMXUSDT,215691.91000000,1495823.39585000
1773820800000,GMXUSDT,217785.81000000,1484183.07627947
1773835200000,GMXUSDT,220245.68000000,1457189.46801600
1773849600000,GMXUSDT,219135.44000000,1425992.83088222
1773864000000,GMXUSDT,219236.64000000,1450838.65785321
1773878400000,GMXUSDT,220129.14000000,1450210.77432000
1773892800000,GMXUSDT,218340.46000000,1440501.18485000
1773907200000,GMXUSDT,215645.87000000,1410323.98980000
1773921600000,GMXUSDT,213501.47000000,1405551.34345500
1773936000000,GMXUSDT,212570.29000000,1367996.10129500
1773950400000,GMXUSDT,211949.52000000,1383307.97169250
1773964800000,GMXUSDT,210780.15000000,1384396.99989760
