timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,HIPPOUSDT,2352692684.00000000,1538190.47679920
1771574400000,HIPPOUSDT,2346857208.00000000,1531253.92250376
1771588800000,HIPPOUSDT,2345624100.00000000,1564695.46838700
1771603200000,HIPPOUSDT,2354524897.00000000,1572069.18322896
1771617600000,HIPPOUSDT,2355590489.00000000,1566938.79328280
1771632000000,HIPPOUSDT,2355081076.00000000,1569897.04526160
1771646400000,HIPPOUSDT,2358781061.00000000,1565051.23397350
1771660800000,HIPPOUSDT,2367352201.00000000,1562452.45266000
1771675200000,HIPPOUSDT,2380070474.00000000,1576772.88832026
1771689600000,HIPPOUSDT,2385172955.00000000,1580296.34133525
1771704000000,HIPPOUSDT,2380703233.00000000,1529363.75687920
1771718400000,HIPPOUSDT,2398591620.00000000,1489285.53685800
1771732800000,HIPPOUSDT,2421783013.00000000,1506106.85578470
1771747200000,HIPPOUSDT,2415695399.00000000,1498286.75732177
1771761600000,HIPPOUSDT,2414362458.00000000,1487730.14661960
1771776000000,HIPPOUSDT,2431877686.00000000,1472283.06988126
1771790400000,HIPPOUSDT,2432122759.00000000,1451588.14748156
1771804800000,HIPPOUSDT,2403676539.00000000,1426774.32001962
1771819200000,HIPPOUSDT,2402543175.00000000,1380741.56267250
1771833600000,HIPPOUSDT,2389601279.00000000,1383818.10066890
1771848000000,HIPPOUSDT,2368870388.00000000,1408340.82307376
1771862400000,HIPPOUSDT,2362923793.00000000,1379947.49511200
1771876800000,HIPPOUSDT,2357609523.00000000,1370242.65476760
1771891200000,HIPPOUSDT,2340518693.00000000,1368267.22792780
1771905600000,HIPPOUSDT,2371382129.00000000,1375520.20392645
1771920000000,HIPPOUSDT,2362112426.00000000,1351600.73015720
1771934400000,HIPPOUSDT,2358419369.00000000,1347860.25357719
1771948800000,HIPPOUSDT,2361049391.00000000,1367519.80726720
1771963200000,HIPPOUSDT,2366812375.00000000,1373697.90245000
1771977600000,HIPPOUSDT,2384585648.00000000,1379220.49294672
1771992000000,HIPPOUSDT,2382059228.00000000,1392551.82468880
1772006400000,HIPPOUSDT,2378803952.00000000,1417362.75872016
1772020800000,HIPPOUSDT,2384846467.00000000,1414929.40887110
1772035200000,HIPPOUSDT,2363973667.00000000,1444151.51317030
1772049600000,HIPPOUSDT,2389920260.00000000,1487486.36982400
1772064000000,HIPPOUSDT,2395948411.00000000,1440923.37437540
1772078400000,HIPPOUSDT,2400603936.00000000,1427951.23925088
1772092800000,HIPPOUSDT,2437433766.00000000,1416660.87913686
1772107200000,HIPPOUSDT,2432543584.00000000,1413551.07666240
1772121600000,HIPPOUSDT,2431900689.00000000,1413177.49037790
1772136000000,HIPPOUSDT,2455246643.00000000,1398999.53718140
1772150400000,HIPPOUSDT,2450444209.00000000,1407535.15364960
1772164800000,HIPPOUSDT,2469536139.00000000,1438504.80096750
1772179200000,HIPPOUSDT,2478037461.00000000,1468980.60688080
1772193600000,HIPPOUSDT,2490004506.00000000,1421543.57247540
1772208000000,HIPPOUSDT,2467003759.00000000,1391636.82045190
1772222400000,HIPPOUSDT,2422129124.00000000,1351790.26410440
1772236800000,HIPPOUSDT,2402377854.00000000,1351818.01844580
1772251200000,HIPPOUSDT,2434980506.00000000,1366657.15879756
1772265600000,HIPPOUSDT,2418037587.00000000,1314106.70703102
1772280000000,HIPPOUSDT,2400037837.00000000,1273652.07933916
1772294400000,HIPPOUSDT,2386339374.00000000,1291606.18617750
1772308800000,HIPPOUSDT,2385968629.00000000,1323496.79850630
1772323200000,HIPPOUSDT,2402766115.00000000,1402734.85793700
1772337600000,HIPPOUSDT,2387049755.00000000,1424209.36582320
1772352000000,HIPPOUSDT,2367450928.00000000,1400891.73762544
1772366400000,HIPPOUSDT,2351957785.00000000,1356609.25038800
1772380800000,HIPPOUSDT,4262940649.00000000,2966793.54467155
1772395200000,HIPPOUSDT,5119439404.00000000,3772002.95286720
1772409600000,HIPPOUSDT,3974912371.00000000,2474979.18780315
1772424000000,HIPPOUSDT,3619484242.00000000,2389583.49656840
1772438400000,HIPPOUSDT,4164704926.00000000,3234726.31602420
1772452800000,HIPPOUSDT,4387267733.00000000,3313264.59196160
1772467200000,HIPPOUSDT,3784048080.00000000,2969342.52837600
1772481600000,HIPPOUSDT,3492947113.00000000,2788105.31506773
1772496000000,HIPPOUSDT,3304763909.00000000,2513768.66738085
1772510400000,HIPPOUSDT,3238163347.00000000,2443161.86367803
1772524800000,HIPPOUSDT,3126945404.00000000,2288611.34118760
1772539200000,HIPPOUSDT,2988978253.00000000,2111205.00944149
1772553600000,HIPPOUSDT,2955044307.00000000,2068324.16179851
1772568000000,HIPPOUSDT,2968706331.00000000,2187639.69531390
1772582400000,HIPPOUSDT,3004903001.00000000,2173115.80129319
1772596800000,HIPPOUSDT,2987494367.00000000,2156373.43410060
1772611200000,HIPPOUSDT,2960214108.00000000,2124545.66531160
1772625600000,HIPPOUSDT,3017225507.00000000,2435051.84542435
1772640000000,HIPPOUSDT,2990970675.00000000,2401749.45202500
1772654400000,HIPPOUSDT,2939674226.00000000,2429993.50869612
1772668800000,HIPPOUSDT,2975407741.00000000,2441381.55964532
1772683200000,HIPPOUSDT,2878631893.00000000,2358146.46042667
1772697600000,HIPPOUSDT,2866053628.00000000,2307144.51000372
1772712000000,HIPPOUSDT,2806948318.00000000,2216226.04447690
1772726400000,HIPPOUSDT,2754282450.00000000,2160431.61095550
1772740800000,HIPPOUSDT,2720746118.00000000,2099055.63003700
