timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,IRYSUSDT,74687907.00000000,1855994.48895000
1771588800000,IRYSUSDT,73580701.00000000,1814500.08666000
1771603200000,IRYSUSDT,71466567.00000000,1752360.22284000
1771617600000,IRYSUSDT,71604451.00000000,1755011.48916431
1771632000000,IRYSUSDT,71386169.00000000,1813265.08767351
1771646400000,IRYSUSDT,71070107.00000000,1757020.77049252
1771660800000,IRYSUSDT,68872695.00000000,1697760.14263650
1771675200000,IRYSUSDT,65700230.00000000,1590328.59834090
1771689600000,IRYSUSDT,65653540.00000000,1518001.10322060
1771704000000,IRYSUSDT,66016510.00000000,1517829.15230660
1771718400000,IRYSUSDT,66909470.00000000,1523734.04397290
1771732800000,IRYSUSDT,67101653.00000000,1537773.94993324
1771747200000,IRYSUSDT,65428457.00000000,1533427.11817190
1771761600000,IRYSUSDT,64800112.00000000,1489706.62279712
1771776000000,IRYSUSDT,62060441.00000000,1347271.35487782
1771790400000,IRYSUSDT,62806134.00000000,1287842.28991536
1771804800000,IRYSUSDT,61608285.00000000,1261737.67680000
1771819200000,IRYSUSDT,62277399.00000000,1276063.90551000
1771833600000,IRYSUSDT,61986895.00000000,1269489.74999315
1771848000000,IRYSUSDT,57585529.00000000,1281400.67742677
1771862400000,IRYSUSDT,56999652.00000000,1202692.65720000
1771876800000,IRYSUSDT,56596909.00000000,1154010.97451000
1771891200000,IRYSUSDT,57232811.00000000,1143511.56378000
1771905600000,IRYSUSDT,57667236.00000000,1172252.07666732
1771920000000,IRYSUSDT,57160972.00000000,1151674.69097824
1771934400000,IRYSUSDT,57471818.00000000,1178172.26900000
1771948800000,IRYSUSDT,57607838.00000000,1196454.88310848
1771963200000,IRYSUSDT,57504949.00000000,1182876.80093000
1771977600000,IRYSUSDT,58795740.00000000,1241874.80091900
1771992000000,IRYSUSDT,57825619.00000000,1243268.15618570
1772006400000,IRYSUSDT,56224255.00000000,1252114.15885000
1772020800000,IRYSUSDT,55563330.00000000,1234676.64536310
1772035200000,IRYSUSDT,54957225.00000000,1183458.22587825
1772049600000,IRYSUSDT,54151974.00000000,1150962.84250794
1772064000000,IRYSUSDT,53597038.00000000,1103885.13061838
1772078400000,IRYSUSDT,53480380.00000000,1108385.68873420
1772092800000,IRYSUSDT,51940482.00000000,1063741.59076482
1772107200000,IRYSUSDT,51674521.00000000,1097494.99845581
1772121600000,IRYSUSDT,50234262.00000000,1038844.53816000
1772136000000,IRYSUSDT,49899797.00000000,1043903.75324000
1772150400000,IRYSUSDT,49943480.00000000,1043242.38424080
1772164800000,IRYSUSDT,49503758.00000000,1029244.01844234
1772179200000,IRYSUSDT,49453323.00000000,1028134.58517000
1772193600000,IRYSUSDT,49264868.00000000,1018279.69647732
1772208000000,IRYSUSDT,49513813.00000000,999188.74634000
1772222400000,IRYSUSDT,49890518.00000000,971368.38546000
1772236800000,IRYSUSDT,49647217.00000000,950744.20555000
1772251200000,IRYSUSDT,50263552.00000000,972097.09568000
1772265600000,IRYSUSDT,49638682.00000000,901361.02877608
1772280000000,IRYSUSDT,49862756.00000000,911918.00487136
