timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,LITUSDT,29357713.30000000,42958555.30477826
1771588800000,LITUSDT,29385007.10000000,42646852.50637464
1771603200000,LITUSDT,29166639.90000000,43604126.65050000
1771617600000,LITUSDT,29056674.80000000,42655198.60640000
1771632000000,LITUSDT,28823766.40000000,44186833.89120000
1771646400000,LITUSDT,28766147.60000000,43523181.31880000
1771660800000,LITUSDT,28839161.00000000,42731215.56698800
1771675200000,LITUSDT,28865714.90000000,43067646.63080000
1771689600000,LITUSDT,28843182.00000000,43303269.12971994
1771704000000,LITUSDT,28815134.00000000,44136697.16803754
1771718400000,LITUSDT,28736494.60000000,43543835.82485294
1771732800000,LITUSDT,28491712.90000000,42509635.64680000
1771747200000,LITUSDT,28465247.30000000,43017327.02691629
1771761600000,LITUSDT,28543299.00000000,43271527.11080400
1771776000000,LITUSDT,28361376.10000000,41865929.22738976
1771790400000,LITUSDT,28310403.60000000,41217683.09241603
1771804800000,LITUSDT,28353373.40000000,41027331.30980000
1771819200000,LITUSDT,28304807.50000000,38878464.60893000
1771833600000,LITUSDT,28531657.90000000,39972852.71790000
1771848000000,LITUSDT,28545780.50000000,40323959.93465594
1771862400000,LITUSDT,28515911.20000000,39494537.01200000
1771876800000,LITUSDT,28586601.00000000,39049296.96600000
1771891200000,LITUSDT,28643417.60000000,39751334.94528000
1771905600000,LITUSDT,28605249.80000000,38332064.52099280
1771920000000,LITUSDT,28493620.80000000,38956478.35776000
1771934400000,LITUSDT,28408172.80000000,38732192.55241907
1771948800000,LITUSDT,27612369.40000000,39003024.02488800
1771963200000,LITUSDT,27258590.60000000,39184805.41323750
1771977600000,LITUSDT,27059604.10000000,38736364.46123200
1771992000000,LITUSDT,26555126.40000000,37920720.49920000
1772006400000,LITUSDT,26463531.00000000,37958688.93815223
1772020800000,LITUSDT,27008543.80000000,38266965.34457915
1772035200000,LITUSDT,26722252.20000000,38414840.87263200
1772049600000,LITUSDT,26399577.30000000,39238219.99653177
1772064000000,LITUSDT,26574346.80000000,38694038.19157004
1772078400000,LITUSDT,26612951.90000000,39143358.77736998
1772092800000,LITUSDT,26351564.10000000,39188992.33047164
1772107200000,LITUSDT,26416051.00000000,38117762.74112383
1772121600000,LITUSDT,26538419.50000000,38489200.83462419
1772136000000,LITUSDT,26442594.60000000,38087560.78205399
1772150400000,LITUSDT,26491171.20000000,37869411.89119671
1772164800000,LITUSDT,26678801.80000000,37919114.57437600
1772179200000,LITUSDT,26066379.10000000,36440797.98180000
1772193600000,LITUSDT,25970937.30000000,35294503.79070000
1772208000000,LITUSDT,26011001.70000000,35626089.94978294
1772222400000,LITUSDT,26091599.70000000,35158430.59575000
1772236800000,LITUSDT,26126381.30000000,35463915.22853287
1772251200000,LITUSDT,26134075.20000000,35114719.02374721
1772265600000,LITUSDT,26124576.00000000,34626314.27114592
1772280000000,LITUSDT,25840763.80000000,33679817.90636800
1772294400000,LITUSDT,25875346.80000000,34015213.39634400
1772308800000,LITUSDT,25789779.10000000,35088920.18835539
1772323200000,LITUSDT,25845957.20000000,35744958.80760000
1772337600000,LITUSDT,25717548.50000000,36299805.35678000
1772352000000,LITUSDT,25977791.60000000,37382042.11240000
1772366400000,LITUSDT,25710061.30000000,36159830.10088087
1772380800000,LITUSDT,25165431.30000000,34879287.78180000
1772395200000,LITUSDT,25115366.00000000,34311608.41456000
1772409600000,LITUSDT,25137708.40000000,34149576.86140000
1772424000000,LITUSDT,24845936.70000000,34747539.39368400
1772438400000,LITUSDT,24616752.60000000,34098141.03141600
1772452800000,LITUSDT,24618533.90000000,34049533.08319769
1772467200000,LITUSDT,25042735.20000000,35775750.99389760
1772481600000,LITUSDT,25183467.70000000,35055387.03840000
1772496000000,LITUSDT,25188690.70000000,34206241.97060000
1772510400000,LITUSDT,25470475.90000000,33912036.78041454
1772524800000,LITUSDT,25477906.80000000,34123158.03415446
1772539200000,LITUSDT,25350941.40000000,33326685.49248886
1772553600000,LITUSDT,25747003.40000000,33879589.12545212
1772568000000,LITUSDT,25798047.20000000,33847037.92640000
1772582400000,LITUSDT,25905465.40000000,33651199.55460000
1772596800000,LITUSDT,26011339.30000000,32878332.87520000
1772611200000,LITUSDT,25894444.90000000,33373589.20935680
