timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,MAGMAUSDT,4451868.00000000,452933.05032000
1771588800000,MAGMAUSDT,4621472.00000000,484931.05696000
1771603200000,MAGMAUSDT,4444281.00000000,467227.26153000
1771617600000,MAGMAUSDT,4601801.00000000,491852.91574270
1771632000000,MAGMAUSDT,4573970.00000000,492018.88834010
1771646400000,MAGMAUSDT,4739741.00000000,522290.45098508
1771660800000,MAGMAUSDT,4573816.00000000,491198.93188288
1771675200000,MAGMAUSDT,4276121.00000000,435138.07296000
1771689600000,MAGMAUSDT,4139970.00000000,409250.81419290
1771704000000,MAGMAUSDT,4654908.00000000,525297.89586744
1771718400000,MAGMAUSDT,5113206.00000000,592006.99068000
1771732800000,MAGMAUSDT,4623679.00000000,513669.00560870
1771747200000,MAGMAUSDT,4824134.00000000,557456.66367720
1771761600000,MAGMAUSDT,5056692.00000000,557093.58326244
1771776000000,MAGMAUSDT,4827277.00000000,523798.55889816
1771790400000,MAGMAUSDT,4673845.00000000,516371.53682950
1771804800000,MAGMAUSDT,4619371.00000000,515775.31468048
1771819200000,MAGMAUSDT,4415768.00000000,480046.97081600
1771833600000,MAGMAUSDT,4197808.00000000,453697.11567024
1771848000000,MAGMAUSDT,4003836.00000000,404743.29694368
1771862400000,MAGMAUSDT,4022358.00000000,402195.57642000
1771876800000,MAGMAUSDT,4126447.00000000,411818.29645931
1771891200000,MAGMAUSDT,3862537.00000000,374666.08900000
1771905600000,MAGMAUSDT,3792935.00000000,370732.31469410
1771920000000,MAGMAUSDT,3850207.00000000,384811.90327439
1771934400000,MAGMAUSDT,3742095.00000000,378479.75428830
1771948800000,MAGMAUSDT,3819872.00000000,393523.21344000
1771963200000,MAGMAUSDT,3922098.00000000,408471.32818074
1771977600000,MAGMAUSDT,3853050.00000000,399522.75450000
1771992000000,MAGMAUSDT,3815762.00000000,396305.04132000
1772006400000,MAGMAUSDT,3803438.00000000,397801.58042000
1772020800000,MAGMAUSDT,3886923.00000000,398254.13058000
1772035200000,MAGMAUSDT,3668305.00000000,366210.88660245
1772049600000,MAGMAUSDT,3661676.00000000,365545.11508000
1772064000000,MAGMAUSDT,3754168.00000000,370981.85117488
1772078400000,MAGMAUSDT,3855401.00000000,381799.70561183
1772092800000,MAGMAUSDT,3773494.00000000,382820.96630000
1772107200000,MAGMAUSDT,3910841.00000000,398183.72342617
1772121600000,MAGMAUSDT,3915745.00000000,412797.83790000
1772136000000,MAGMAUSDT,3791415.00000000,398894.77215000
1772150400000,MAGMAUSDT,3780652.00000000,397686.78388000
1772164800000,MAGMAUSDT,3603122.00000000,372375.92086186
1772179200000,MAGMAUSDT,3660293.00000000,366505.13809000
1772193600000,MAGMAUSDT,3597401.00000000,356034.77697000
1772208000000,MAGMAUSDT,3550330.00000000,347313.94352060
1772222400000,MAGMAUSDT,3650656.00000000,358288.99678688
1772236800000,MAGMAUSDT,3603516.00000000,350978.31435660
1772251200000,MAGMAUSDT,3733345.00000000,370620.84351985
1772265600000,MAGMAUSDT,3643665.00000000,348808.05045000
1772280000000,MAGMAUSDT,3974077.00000000,395699.36352001
1772294400000,MAGMAUSDT,4146940.00000000,428461.84080000
1772308800000,MAGMAUSDT,4634557.00000000,481764.19300951
1772323200000,MAGMAUSDT,4975163.00000000,539506.67572000
1772337600000,MAGMAUSDT,6237517.00000000,723388.98568079
1772352000000,MAGMAUSDT,6116721.00000000,663141.06535287
1772366400000,MAGMAUSDT,5787493.00000000,641601.47398000
1772380800000,MAGMAUSDT,5609101.00000000,627735.19049269
1772395200000,MAGMAUSDT,5571287.00000000,619025.69857000
1772409600000,MAGMAUSDT,5610671.00000000,629037.57382950
1772424000000,MAGMAUSDT,5539794.00000000,623905.61595882
1772438400000,MAGMAUSDT,5673936.00000000,625154.26848000
1772452800000,MAGMAUSDT,5670946.00000000,631686.67494000
1772467200000,MAGMAUSDT,5698687.00000000,640429.27256530
1772481600000,MAGMAUSDT,5644063.00000000,615710.83267000
1772496000000,MAGMAUSDT,5617729.00000000,606040.60452000
1772510400000,MAGMAUSDT,5704836.00000000,644646.46800000
1772524800000,MAGMAUSDT,5750693.00000000,658093.03245881
1772539200000,MAGMAUSDT,5871100.00000000,690450.51891600
1772553600000,MAGMAUSDT,5935586.00000000,712542.58532982
1772568000000,MAGMAUSDT,6497685.00000000,811560.85650000
1772582400000,MAGMAUSDT,6464261.00000000,785455.99952967
1772596800000,MAGMAUSDT,7737390.00000000,1024425.09720090
1772611200000,MAGMAUSDT,8497167.00000000,1169500.18750971
1772625600000,MAGMAUSDT,11906047.00000000,1791383.83162000
1772640000000,MAGMAUSDT,8513209.00000000,1064832.18172000
1772654400000,MAGMAUSDT,7935386.00000000,965177.19019472
1772668800000,MAGMAUSDT,7539180.00000000,936418.93026000
1772683200000,MAGMAUSDT,7369359.00000000,939270.71565657
1772697600000,MAGMAUSDT,7844234.00000000,1007905.62666000
1772712000000,MAGMAUSDT,7766255.00000000,890781.75990755
1772726400000,MAGMAUSDT,7411792.00000000,829682.44473904
1772740800000,MAGMAUSDT,7438973.00000000,753297.78140064
1772755200000,MAGMAUSDT,7462514.00000000,766549.43808000
1772769600000,MAGMAUSDT,7465922.00000000,785862.94972000
1772784000000,MAGMAUSDT,7374999.00000000,754904.89764000
1772798400000,MAGMAUSDT,9885548.00000000,999626.61376000
1772812800000,MAGMAUSDT,9603271.00000000,939814.03298045
1772827200000,MAGMAUSDT,9575651.00000000,892684.12757138
1772841600000,MAGMAUSDT,9658715.00000000,908936.36927665
1772856000000,MAGMAUSDT,9849804.00000000,975721.58424000
1772870400000,MAGMAUSDT,9187068.00000000,815187.83648280
1772884800000,MAGMAUSDT,9202125.00000000,807026.36250000
1772899200000,MAGMAUSDT,9882770.00000000,955663.85900000
1772913600000,MAGMAUSDT,9642478.00000000,917674.63126000
1772928000000,MAGMAUSDT,9725907.00000000,923377.61058000
1772942400000,MAGMAUSDT,9418095.00000000,904930.78286565
1772956800000,MAGMAUSDT,9547872.00000000,896534.29622592
1772971200000,MAGMAUSDT,9567837.00000000,870194.77515000
1772985600000,MAGMAUSDT,9879049.00000000,957382.88658107
1773000000000,MAGMAUSDT,9476449.00000000,895198.53541889
1773014400000,MAGMAUSDT,9423058.00000000,896524.15539874
1773028800000,MAGMAUSDT,9250398.00000000,863532.33113034
1773043200000,MAGMAUSDT,10220123.00000000,1024758.14044641
1773057600000,MAGMAUSDT,12157042.00000000,1341929.91609306
1773072000000,MAGMAUSDT,11553754.00000000,1262072.35405182
1773086400000,MAGMAUSDT,11045176.00000000,1183269.70488000
1773100800000,MAGMAUSDT,11115262.00000000,1226235.70384000
1773115200000,MAGMAUSDT,10725920.00000000,1159083.13740000
1773129600000,MAGMAUSDT,10269105.00000000,1094100.43248660
1773144000000,MAGMAUSDT,10209062.00000000,1096351.16818000
1773158400000,MAGMAUSDT,10099265.00000000,1077389.59020000
1773172800000,MAGMAUSDT,10077916.00000000,1071262.31496800
1773187200000,MAGMAUSDT,9988531.00000000,1098004.85228336
1773201600000,MAGMAUSDT,9786747.00000000,1007512.62231261
1773216000000,MAGMAUSDT,9760957.00000000,1029097.69651000
1773230400000,MAGMAUSDT,9703661.00000000,1026647.33380000
1773244800000,MAGMAUSDT,9745303.00000000,1035704.49052190
1773259200000,MAGMAUSDT,9729580.00000000,1017227.58900000
1773273600000,MAGMAUSDT,9777910.00000000,1047266.66837670
1773288000000,MAGMAUSDT,9835294.00000000,1062175.45976514
1773302400000,MAGMAUSDT,9811337.00000000,1071888.56725000
1773316800000,MAGMAUSDT,10082468.00000000,1128127.34452000
1773331200000,MAGMAUSDT,10080166.00000000,1125652.13722000
1773345600000,MAGMAUSDT,8839812.00000000,860983.98709140
1773360000000,MAGMAUSDT,9125865.00000000,904600.63805580
1773374400000,MAGMAUSDT,9106471.00000000,906002.79979000
1773388800000,MAGMAUSDT,9068944.00000000,906259.57392000
1773403200000,MAGMAUSDT,8966578.00000000,883631.42447894
1773417600000,MAGMAUSDT,9150421.00000000,915924.01757598
1773432000000,MAGMAUSDT,9055251.00000000,902899.07721000
1773446400000,MAGMAUSDT,9079044.00000000,922975.61304000
1773460800000,MAGMAUSDT,8935616.00000000,903319.29267200
1773475200000,MAGMAUSDT,8851255.00000000,901146.27155000
1773489600000,MAGMAUSDT,8733565.00000000,894701.94420955
1773504000000,MAGMAUSDT,8713388.00000000,910200.51048000
1773518400000,MAGMAUSDT,8809285.00000000,916782.28995000
1773532800000,MAGMAUSDT,8649225.00000000,898694.26393500
1773547200000,MAGMAUSDT,8619236.00000000,892694.27252000
1773561600000,MAGMAUSDT,8560533.00000000,869578.94214000
1773576000000,MAGMAUSDT,8559650.00000000,852373.19966700
1773590400000,MAGMAUSDT,9296745.00000000,963210.92714085
1773604800000,MAGMAUSDT,9241283.00000000,972948.05741957
