timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,MAVIAUSDT,15216558.00000000,536688.00066000
1771574400000,MAVIAUSDT,15473904.00000000,540967.68384000
1771588800000,MAVIAUSDT,15555327.00000000,543873.80882241
1771603200000,MAVIAUSDT,15899585.00000000,560742.58888375
1771617600000,MAVIAUSDT,16119516.00000000,570690.02502372
1771632000000,MAVIAUSDT,16314006.00000000,584072.08513128
1771646400000,MAVIAUSDT,16981567.00000000,597386.05470950
1771660800000,MAVIAUSDT,17352468.00000000,604523.19788784
1771675200000,MAVIAUSDT,17382214.00000000,612006.02717250
1771689600000,MAVIAUSDT,17637166.00000000,620122.75656000
1771704000000,MAVIAUSDT,17639077.00000000,608195.37496000
1771718400000,MAVIAUSDT,17627978.00000000,598646.13288000
1771732800000,MAVIAUSDT,17360944.00000000,583154.10896000
1771747200000,MAVIAUSDT,17177653.00000000,591083.03973000
1771761600000,MAVIAUSDT,17365967.00000000,591311.17635000
1771776000000,MAVIAUSDT,17409403.00000000,573474.43952150
1771790400000,MAVIAUSDT,17440264.00000000,571571.86490368
1771804800000,MAVIAUSDT,17583914.00000000,568762.60035668
1771819200000,MAVIAUSDT,17597491.00000000,547786.49016697
1771833600000,MAVIAUSDT,17631859.00000000,556843.55242453
1771848000000,MAVIAUSDT,17550112.00000000,549102.11271904
1771862400000,MAVIAUSDT,17995404.00000000,534719.93330700
1771876800000,MAVIAUSDT,18829071.00000000,548095.42773900
1771891200000,MAVIAUSDT,18878392.00000000,554303.38144168
1771905600000,MAVIAUSDT,19191834.00000000,550229.88078000
1771920000000,MAVIAUSDT,20279265.00000000,588869.29707000
1771934400000,MAVIAUSDT,21036604.00000000,604150.23027600
1771948800000,MAVIAUSDT,22137602.00000000,644646.97024000
1771963200000,MAVIAUSDT,22977691.00000000,654248.16160429
1771977600000,MAVIAUSDT,23303834.00000000,679302.79944822
1771992000000,MAVIAUSDT,22813190.00000000,695120.63688280
1772006400000,MAVIAUSDT,23544197.00000000,693188.24807400
1772020800000,MAVIAUSDT,23407450.00000000,702457.57450000
1772035200000,MAVIAUSDT,23302334.00000000,718643.98056000
1772049600000,MAVIAUSDT,23321550.00000000,754755.32265000
1772064000000,MAVIAUSDT,23810355.00000000,762407.56710000
1772078400000,MAVIAUSDT,23578231.00000000,768886.11291000
1772092800000,MAVIAUSDT,23408635.00000000,747437.71555000
1772107200000,MAVIAUSDT,23781752.00000000,761253.88152000
1772121600000,MAVIAUSDT,30091271.00000000,1123689.60648441
1772136000000,MAVIAUSDT,27247960.00000000,999988.68785680
1772150400000,MAVIAUSDT,27073327.00000000,976805.63816000
1772164800000,MAVIAUSDT,27116313.00000000,1041676.41785256
1772179200000,MAVIAUSDT,25116502.00000000,928871.03521500
1772193600000,MAVIAUSDT,22172723.00000000,747470.20823375
1772208000000,MAVIAUSDT,21718212.00000000,724311.49184904
1772222400000,MAVIAUSDT,21679802.00000000,719444.22937000
1772236800000,MAVIAUSDT,20986783.00000000,696226.87210482
1772251200000,MAVIAUSDT,20941729.00000000,699309.66950448
1772265600000,MAVIAUSDT,20217023.00000000,671609.50406000
1772280000000,MAVIAUSDT,19891925.00000000,624407.52575000
1772294400000,MAVIAUSDT,19204212.00000000,623368.72152000
1772308800000,MAVIAUSDT,19102453.00000000,630954.02259000
1772323200000,MAVIAUSDT,19218600.00000000,634793.62516200
1772337600000,MAVIAUSDT,18782672.00000000,629961.42754400
1772352000000,MAVIAUSDT,19001259.00000000,629131.68549000
1772366400000,MAVIAUSDT,18979857.00000000,631005.84421056
1772380800000,MAVIAUSDT,19052169.00000000,636342.44460000
1772395200000,MAVIAUSDT,18051448.00000000,593057.75973000
1772409600000,MAVIAUSDT,17748931.00000000,586424.68024000
1772424000000,MAVIAUSDT,17335633.00000000,576654.57638796
1772438400000,MAVIAUSDT,17560569.00000000,567695.08933527
1772452800000,MAVIAUSDT,17741925.00000000,584706.60610425
1772467200000,MAVIAUSDT,17643009.00000000,597039.42456000
1772481600000,MAVIAUSDT,17631519.00000000,603879.52575000
1772496000000,MAVIAUSDT,18016317.00000000,603484.28304318
1772510400000,MAVIAUSDT,18376952.00000000,617277.22344200
1772524800000,MAVIAUSDT,18737671.00000000,642139.98517000
1772539200000,MAVIAUSDT,18550771.00000000,632952.30652000
1772553600000,MAVIAUSDT,17900924.00000000,603440.14804000
1772568000000,MAVIAUSDT,17751701.00000000,606975.03644250
1772582400000,MAVIAUSDT,17288717.00000000,575022.72742000
1772596800000,MAVIAUSDT,16809734.00000000,555750.81820750
1772611200000,MAVIAUSDT,16713708.00000000,566636.48547000
1772625600000,MAVIAUSDT,16410785.00000000,565372.05673125
1772640000000,MAVIAUSDT,16688218.00000000,588760.33104000
1772654400000,MAVIAUSDT,16740530.00000000,596897.49178990
1772668800000,MAVIAUSDT,16930968.00000000,592033.62354000
1772683200000,MAVIAUSDT,17291929.00000000,604007.07997000
1772697600000,MAVIAUSDT,17865791.00000000,621224.81820425
1772712000000,MAVIAUSDT,18302270.00000000,630844.10654160
1772726400000,MAVIAUSDT,19152181.00000000,667873.32365752
1772740800000,MAVIAUSDT,19460294.00000000,666709.67244000
1772755200000,MAVIAUSDT,19973057.00000000,687472.62194000
1772769600000,MAVIAUSDT,20218939.00000000,698766.53184000
1772784000000,MAVIAUSDT,20418492.00000000,719547.65808000
1772798400000,MAVIAUSDT,20507452.00000000,703405.60360000
1772812800000,MAVIAUSDT,20002194.00000000,666549.71248302
1772827200000,MAVIAUSDT,19746724.00000000,661997.46900008
1772841600000,MAVIAUSDT,19674380.00000000,657752.29820960
1772856000000,MAVIAUSDT,19868223.00000000,659928.19268298
1772870400000,MAVIAUSDT,19733629.00000000,652883.76074807
1772884800000,MAVIAUSDT,20179054.00000000,652994.18744000
1772899200000,MAVIAUSDT,20252193.00000000,643256.02720197
1772913600000,MAVIAUSDT,20146830.00000000,643445.22570570
1772928000000,MAVIAUSDT,20193259.00000000,646184.28800000
1772942400000,MAVIAUSDT,20073556.00000000,640747.90752000
1772956800000,MAVIAUSDT,20197898.00000000,645997.04693524
1772971200000,MAVIAUSDT,20181291.00000000,660130.02861000
1772985600000,MAVIAUSDT,19994510.00000000,669616.13990000
1773000000000,MAVIAUSDT,19662701.00000000,648279.25197000
1773014400000,MAVIAUSDT,19435438.00000000,636510.59450000
1773028800000,MAVIAUSDT,19386375.00000000,640525.83000000
1773043200000,MAVIAUSDT,19760822.00000000,664510.40114474
1773057600000,MAVIAUSDT,19459166.00000000,651712.57166414
1773072000000,MAVIAUSDT,19983108.00000000,673282.46493864
1773086400000,MAVIAUSDT,19845512.00000000,666412.29296000
1773100800000,MAVIAUSDT,19916427.00000000,669391.11147000
1773115200000,MAVIAUSDT,20368348.00000000,683154.39192000
1773129600000,MAVIAUSDT,20775534.00000000,705329.37930000
1773144000000,MAVIAUSDT,21325158.00000000,730173.40992000
1773158400000,MAVIAUSDT,20845717.00000000,710213.57819000
1773172800000,MAVIAUSDT,21115521.00000000,708425.72955000
1773187200000,MAVIAUSDT,21269162.00000000,721449.97504000
1773201600000,MAVIAUSDT,21727465.00000000,733301.94375000
1773216000000,MAVIAUSDT,21742919.00000000,742303.25466000
1773230400000,MAVIAUSDT,24567409.00000000,904167.61982786
1773244800000,MAVIAUSDT,23138459.00000000,792511.42567097
1773259200000,MAVIAUSDT,22050038.00000000,760796.20962046
1773273600000,MAVIAUSDT,21629352.00000000,742968.24120000
1773288000000,MAVIAUSDT,21100362.00000000,722265.39126000
1773302400000,MAVIAUSDT,20586280.00000000,707429.39627360
1773316800000,MAVIAUSDT,19404101.00000000,664475.58697208
1773331200000,MAVIAUSDT,19366226.00000000,662332.28836588
1773345600000,MAVIAUSDT,19662607.00000000,674101.41407594
1773360000000,MAVIAUSDT,19687736.00000000,676964.37737888
1773374400000,MAVIAUSDT,19731725.00000000,689623.78875000
1773388800000,MAVIAUSDT,20002152.00000000,701268.84840984
1773403200000,MAVIAUSDT,20533036.00000000,726664.14404000
1773417600000,MAVIAUSDT,20243679.00000000,720048.22809816
1773432000000,MAVIAUSDT,20227759.00000000,713433.05993000
1773446400000,MAVIAUSDT,20267787.00000000,702076.14168000
1773460800000,MAVIAUSDT,20334615.00000000,711914.87115000
1773475200000,MAVIAUSDT,21304273.00000000,744371.29862000
1773489600000,MAVIAUSDT,22046106.00000000,761824.35709176
1773504000000,MAVIAUSDT,22502496.00000000,795238.20864000
1773518400000,MAVIAUSDT,22535757.00000000,781611.49110969
1773532800000,MAVIAUSDT,22912000.00000000,790693.12000000
