timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,NEIROUSDT,37987364978.00000000,2774977.01164290
1771574400000,NEIROUSDT,37795552888.00000000,2770036.07116152
1771588800000,NEIROUSDT,38288139456.00000000,2803457.57096832
1771603200000,NEIROUSDT,39507846098.00000000,2967829.39888176
1771617600000,NEIROUSDT,38934863227.00000000,2902983.40220512
1771632000000,NEIROUSDT,39138880825.00000000,2939329.94995750
1771646400000,NEIROUSDT,39247830577.00000000,2943587.29327500
1771660800000,NEIROUSDT,39434811823.00000000,2961554.36790730
1771675200000,NEIROUSDT,39359241388.00000000,2965718.83858580
1771689600000,NEIROUSDT,38837119781.00000000,2924435.11950930
1771704000000,NEIROUSDT,38602931179.00000000,2872058.07971760
1771718400000,NEIROUSDT,38090640963.00000000,2776807.72620270
1771732800000,NEIROUSDT,38613630683.00000000,2751607.32247058
1771747200000,NEIROUSDT,40067246019.00000000,2846777.82964995
1771761600000,NEIROUSDT,40201931326.00000000,2872427.99324270
1771776000000,NEIROUSDT,41055558987.00000000,2886616.35237597
1771790400000,NEIROUSDT,41484134704.00000000,2893933.23695104
1771804800000,NEIROUSDT,41525065962.00000000,2892220.84425330
1771819200000,NEIROUSDT,38818282277.00000000,2596943.08433130
1771833600000,NEIROUSDT,39589679506.00000000,2696057.17435860
1771848000000,NEIROUSDT,39750084123.00000000,2749910.81962914
1771862400000,NEIROUSDT,38335458767.00000000,2578059.60208075
1771876800000,NEIROUSDT,38897398014.00000000,2594456.44753380
1771891200000,NEIROUSDT,38633233465.00000000,2600016.61219450
1771905600000,NEIROUSDT,39065944662.00000000,2607651.80618850
1771920000000,NEIROUSDT,39268272440.00000000,2588957.20196920
1771934400000,NEIROUSDT,40879524888.00000000,2663709.84170208
1771948800000,NEIROUSDT,41228838585.00000000,2754086.41747800
1771963200000,NEIROUSDT,41626508103.00000000,2781899.53652349
1771977600000,NEIROUSDT,40816674618.00000000,2704104.69344250
1771992000000,NEIROUSDT,41073215343.00000000,2768334.71411820
1772006400000,NEIROUSDT,41123224621.00000000,2782397.37785686
1772020800000,NEIROUSDT,40755304323.00000000,2803557.38437917
1772035200000,NEIROUSDT,40538990576.00000000,2911104.91326256
1772049600000,NEIROUSDT,41019471453.00000000,3049797.70253055
1772064000000,NEIROUSDT,40703070947.00000000,2950972.64365750
1772078400000,NEIROUSDT,41022631252.00000000,2945424.92389360
1772092800000,NEIROUSDT,40368840521.00000000,2882335.21319940
1772107200000,NEIROUSDT,40092671041.00000000,2834551.84259870
1772121600000,NEIROUSDT,40547131810.00000000,2861411.09183170
1772136000000,NEIROUSDT,39241368562.00000000,2758668.20990860
1772150400000,NEIROUSDT,39344111229.00000000,2792645.01503442
1772164800000,NEIROUSDT,39626953538.00000000,2823420.43958250
1772179200000,NEIROUSDT,39466489829.00000000,2859741.85300934
1772193600000,NEIROUSDT,40063017270.00000000,2832455.32098900
1772208000000,NEIROUSDT,39591334502.00000000,2774560.72190016
1772222400000,NEIROUSDT,39048658389.00000000,2681861.85815652
1772236800000,NEIROUSDT,39261986164.00000000,2669029.81942872
1772251200000,NEIROUSDT,39674773419.00000000,2673286.23297222
1772265600000,NEIROUSDT,40216251933.00000000,2556949.29790014
1772280000000,NEIROUSDT,41689778619.00000000,2578929.70537134
1772294400000,NEIROUSDT,43445014548.00000000,2703148.80517656
1772308800000,NEIROUSDT,44331265323.00000000,2835871.04271231
1772323200000,NEIROUSDT,43160954820.00000000,2826179.32161360
1772337600000,NEIROUSDT,43351424867.00000000,2871164.86894141
1772352000000,NEIROUSDT,43662765891.00000000,2952039.60189051
1772366400000,NEIROUSDT,43696778197.00000000,2930305.94589082
1772380800000,NEIROUSDT,45251446517.00000000,3135925.24362810
1772395200000,NEIROUSDT,45110266141.00000000,2969608.82006203
1772409600000,NEIROUSDT,43220566428.00000000,2883676.19207616
1772424000000,NEIROUSDT,42301824138.00000000,2876101.02314262
1772438400000,NEIROUSDT,42224005247.00000000,2777072.82509519
1772452800000,NEIROUSDT,43012527541.00000000,2860333.08147650
1772467200000,NEIROUSDT,43205177153.00000000,3063679.11191923
1772481600000,NEIROUSDT,42861174797.00000000,2994710.28306639
1772496000000,NEIROUSDT,42208283988.00000000,2881981.63070064
1772510400000,NEIROUSDT,42281005621.00000000,2875108.38222800
1772524800000,NEIROUSDT,43005632032.00000000,2945025.68155136
1772539200000,NEIROUSDT,43248933701.00000000,2879081.51647557
1772553600000,NEIROUSDT,42795037411.00000000,2878822.16663797
1772568000000,NEIROUSDT,43719633446.00000000,2961130.77329758
1772582400000,NEIROUSDT,43616623318.00000000,2975962.20898714
1772596800000,NEIROUSDT,42764649111.00000000,2913983.19042354
1772611200000,NEIROUSDT,41910405800.00000000,2883016.81498200
1772625600000,NEIROUSDT,41733736111.00000000,2926369.57610332
1772640000000,NEIROUSDT,42452161871.00000000,3105375.64086365
1772654400000,NEIROUSDT,42618858507.00000000,3080917.28147103
1772668800000,NEIROUSDT,42986447533.00000000,3037852.24715711
1772683200000,NEIROUSDT,42154918216.00000000,2968549.34077072
1772697600000,NEIROUSDT,41666178704.00000000,2919549.14178928
1772712000000,NEIROUSDT,41697083678.00000000,2960492.94113800
1772726400000,NEIROUSDT,41116289620.00000000,2830856.54033700
1772740800000,NEIROUSDT,40511079028.00000000,2743410.27177616
1772755200000,NEIROUSDT,40617217154.00000000,2753441.15086966
1772769600000,NEIROUSDT,40756385501.00000000,2833791.48388453
1772784000000,NEIROUSDT,40283988511.00000000,2804168.44025071
1772798400000,NEIROUSDT,41493013941.00000000,2808247.18352688
