timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,NEWTUSDT,21567166.00000000,1511426.99328000
1771588800000,NEWTUSDT,21873678.00000000,1551506.98011696
1771603200000,NEWTUSDT,21897802.00000000,1561981.16556100
1771617600000,NEWTUSDT,22094363.00000000,1560966.74595000
1771632000000,NEWTUSDT,22164774.00000000,1564168.10118000
1771646400000,NEWTUSDT,22151626.00000000,1562247.63245894
1771660800000,NEWTUSDT,22240059.00000000,1562884.78453119
1771675200000,NEWTUSDT,22213639.00000000,1555513.18088446
1771689600000,NEWTUSDT,22142359.00000000,1549969.77989539
1771704000000,NEWTUSDT,22099108.00000000,1536789.42861532
1771718400000,NEWTUSDT,22140078.00000000,1524344.37030000
1771732800000,NEWTUSDT,22074512.00000000,1485033.87718928
1771747200000,NEWTUSDT,22152634.00000000,1479352.89852000
1771761600000,NEWTUSDT,22470492.00000000,1531813.43964000
1771776000000,NEWTUSDT,22555589.00000000,1516010.08231813
1771790400000,NEWTUSDT,22502778.00000000,1505210.82042000
1771804800000,NEWTUSDT,22426882.00000000,1503049.63164000
1771819200000,NEWTUSDT,22666642.00000000,1459505.07838000
1771833600000,NEWTUSDT,22834615.00000000,1490204.55755355
1771848000000,NEWTUSDT,22937923.00000000,1520554.91567000
1771862400000,NEWTUSDT,23003664.00000000,1493627.90352000
1771876800000,NEWTUSDT,23031205.00000000,1465705.88620000
1771891200000,NEWTUSDT,22996636.00000000,1474084.36760000
1771905600000,NEWTUSDT,23174595.00000000,1474802.25755625
1771920000000,NEWTUSDT,23224150.00000000,1455457.48050000
1771934400000,NEWTUSDT,23231515.00000000,1457312.93595000
1771948800000,NEWTUSDT,22959899.00000000,1464382.35822000
1771963200000,NEWTUSDT,23154926.00000000,1502835.73964100
1771977600000,NEWTUSDT,23214869.00000000,1492483.92801000
1771992000000,NEWTUSDT,24480158.00000000,1680783.16812200
1772006400000,NEWTUSDT,24058350.00000000,1646072.30700000
1772020800000,NEWTUSDT,23305785.00000000,1576643.11392765
1772035200000,NEWTUSDT,22638651.00000000,1516336.84398000
1772049600000,NEWTUSDT,22098735.00000000,1522087.94097450
1772064000000,NEWTUSDT,21617073.00000000,1483069.12472574
1772078400000,NEWTUSDT,21509696.00000000,1462339.26372352
1772092800000,NEWTUSDT,22245212.00000000,1510004.99056000
1772107200000,NEWTUSDT,21929096.00000000,1474501.45049200
1772121600000,NEWTUSDT,21950337.00000000,1467742.20901050
1772136000000,NEWTUSDT,22282986.00000000,1528089.85791858
1772150400000,NEWTUSDT,22546185.00000000,1542384.51585000
1772164800000,NEWTUSDT,23166268.00000000,1657778.13808000
1772179200000,NEWTUSDT,24658146.00000000,1874981.25685692
1772193600000,NEWTUSDT,38023031.00000000,3169326.47856711
1772208000000,NEWTUSDT,33176071.00000000,2476593.70015000
1772222400000,NEWTUSDT,31702601.00000000,2404959.31186000
1772236800000,NEWTUSDT,31533527.00000000,2406149.38030096
1772251200000,NEWTUSDT,30585865.00000000,2235215.01420000
1772265600000,NEWTUSDT,29549631.00000000,2006715.44121000
1772280000000,NEWTUSDT,28138623.00000000,1906110.32202000
1772294400000,NEWTUSDT,27381476.00000000,1866869.03368000
