timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,OXTUSDT,40174786.00000000,704451.61483062
1771574400000,OXTUSDT,40004340.00000000,701920.95016080
1771588800000,OXTUSDT,39668496.00000000,693314.07253920
1771603200000,OXTUSDT,39318405.00000000,695556.73907580
1771617600000,OXTUSDT,39158461.00000000,691146.83665000
1771632000000,OXTUSDT,38836577.00000000,686519.22038401
1771646400000,OXTUSDT,39608706.00000000,687211.04910000
1771660800000,OXTUSDT,40322264.00000000,700196.11436000
1771675200000,OXTUSDT,40104509.00000000,702278.47904589
1771689600000,OXTUSDT,40269177.00000000,702294.44688000
1771704000000,OXTUSDT,39993511.00000000,696287.02651000
1771718400000,OXTUSDT,40002587.00000000,690235.03806412
1771732800000,OXTUSDT,40095381.00000000,691792.87325208
1771747200000,OXTUSDT,40146958.00000000,690306.86933100
1771761600000,OXTUSDT,40860522.00000000,694821.73566384
1771776000000,OXTUSDT,40173000.00000000,678703.55196000
1771790400000,OXTUSDT,39989201.00000000,671773.78889488
1771804800000,OXTUSDT,39901211.00000000,670100.93753400
1771819200000,OXTUSDT,39730795.00000000,647942.91602235
1771833600000,OXTUSDT,39701185.00000000,653680.01102500
1771848000000,OXTUSDT,39388811.00000000,657287.39136676
1771862400000,OXTUSDT,39374065.00000000,642980.05641260
1771876800000,OXTUSDT,39432605.00000000,639991.17915000
1771891200000,OXTUSDT,39608069.00000000,646799.76677000
1771905600000,OXTUSDT,39977712.00000000,646439.60304000
1771920000000,OXTUSDT,40644267.00000000,651121.15734000
1771934400000,OXTUSDT,40339021.00000000,648651.45768000
1771948800000,OXTUSDT,40331582.00000000,654984.89168000
1771963200000,OXTUSDT,40001056.00000000,645617.04384000
1771977600000,OXTUSDT,39884852.00000000,638357.05626000
1771992000000,OXTUSDT,39891555.00000000,646841.56432500
1772006400000,OXTUSDT,40176139.00000000,649447.28693500
1772020800000,OXTUSDT,40110564.00000000,655005.51012000
1772035200000,OXTUSDT,39085237.00000000,669535.58174318
1772049600000,OXTUSDT,40126026.00000000,691162.37138454
1772064000000,OXTUSDT,40345311.00000000,684518.71908150
1772078400000,OXTUSDT,41319891.00000000,693471.73065300
1772092800000,OXTUSDT,42173988.00000000,701353.42044000
1772107200000,OXTUSDT,42192140.00000000,702597.86060760
