timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,PAXGUSDT,27329.69300000,136559096.90389000
1771574400000,PAXGUSDT,27507.92000000,137911507.07840000
1771588800000,PAXGUSDT,27203.47100000,136699890.08739000
1771603200000,PAXGUSDT,25250.32900000,127604052.62124000
1771617600000,PAXGUSDT,26594.81900000,135321353.72494000
1771632000000,PAXGUSDT,26835.94400000,137229625.03560000
1771646400000,PAXGUSDT,26425.98800000,135177381.82476416
1771660800000,PAXGUSDT,26542.27000000,135892362.73910052
1771675200000,PAXGUSDT,26481.97100000,135711362.32457000
1771689600000,PAXGUSDT,26680.27000000,136857512.17580000
1771704000000,PAXGUSDT,26729.40000000,137430813.86400000
1771718400000,PAXGUSDT,26658.87200000,136988213.30432000
1771732800000,PAXGUSDT,26327.14000000,134830761.71040000
1771747200000,PAXGUSDT,26425.40200000,135634982.11550000
1771761600000,PAXGUSDT,26294.49800000,134970769.76106718
1771776000000,PAXGUSDT,26461.55600000,136329936.51200000
1771790400000,PAXGUSDT,26687.43700000,137323943.32468000
1771804800000,PAXGUSDT,27645.05300000,143334070.79440000
1771819200000,PAXGUSDT,28066.84100000,145389590.28694767
1771833600000,PAXGUSDT,27936.74900000,143888125.46816823
1771848000000,PAXGUSDT,28354.67900000,146427812.84572494
1771862400000,PAXGUSDT,30995.12700000,161541162.86563930
1771876800000,PAXGUSDT,31641.30700000,165424461.07968614
1771891200000,PAXGUSDT,31687.23200000,166443206.65408000
1771905600000,PAXGUSDT,28879.59900000,149818118.14032000
1771920000000,PAXGUSDT,27967.26600000,145338609.91284000
1771934400000,PAXGUSDT,28105.41000000,145832789.29980000
1771948800000,PAXGUSDT,28163.36100000,145496992.33098000
1771963200000,PAXGUSDT,28083.95300000,145213795.77815900
1771977600000,PAXGUSDT,28278.23300000,146006173.92441925
1771992000000,PAXGUSDT,27926.62500000,145126714.53496405
1772006400000,PAXGUSDT,28225.00700000,146740682.39272000
1772020800000,PAXGUSDT,28200.75000000,146606081.27789566
1772035200000,PAXGUSDT,28025.85500000,145901741.07144073
1772049600000,PAXGUSDT,28052.86000000,146199578.30508325
1772064000000,PAXGUSDT,27273.26800000,141096888.33460000
1772078400000,PAXGUSDT,26960.68500000,140159434.68210000
1772092800000,PAXGUSDT,26967.38500000,140105003.65975000
1772107200000,PAXGUSDT,27001.20600000,139711723.18423092
1772121600000,PAXGUSDT,26103.32100000,135550369.42164000
1772136000000,PAXGUSDT,26031.64000000,135228122.20640000
1772150400000,PAXGUSDT,26113.77900000,135600759.07551000
1772164800000,PAXGUSDT,26090.15900000,135557682.72266000
1772179200000,PAXGUSDT,26064.82900000,135249203.83624380
1772193600000,PAXGUSDT,26161.05200000,135995427.67732470
1772208000000,PAXGUSDT,28152.30500000,147955402.81597190
1772222400000,PAXGUSDT,29481.50600000,155268638.36327940
1772236800000,PAXGUSDT,30088.21000000,159110097.50901595
1772251200000,PAXGUSDT,30146.58700000,159882327.01918203
1772265600000,PAXGUSDT,30150.31200000,161877025.12800000
1772280000000,PAXGUSDT,31592.38500000,172451528.17395726
1772294400000,PAXGUSDT,31911.41000000,172421000.83200747
1772308800000,PAXGUSDT,31356.50100000,169268827.10821506
1772323200000,PAXGUSDT,30899.67900000,165854645.02608000
1772337600000,PAXGUSDT,30501.25600000,162522759.96775872
1772352000000,PAXGUSDT,30654.84200000,163963396.21012917
1772366400000,PAXGUSDT,31800.30500000,171034826.95286620
1772380800000,PAXGUSDT,32553.80100000,176065605.01845000
1772395200000,PAXGUSDT,33660.35300000,181820033.77978575
1772409600000,PAXGUSDT,35467.17000000,192574319.59050000
1772424000000,PAXGUSDT,34895.89500000,188699552.21250000
1772438400000,PAXGUSDT,34158.55900000,185850570.97838000
1772452800000,PAXGUSDT,34321.78600000,185826198.91649583
1772467200000,PAXGUSDT,32215.70100000,171653598.95016083
1772481600000,PAXGUSDT,31850.60900000,170138221.10185283
1772496000000,PAXGUSDT,31496.86900000,168752027.37822932
1772510400000,PAXGUSDT,31364.40600000,168412301.32410520
1772524800000,PAXGUSDT,30679.25700000,163806868.41663733
1772539200000,PAXGUSDT,34225.92500000,176773480.03250000
1772553600000,PAXGUSDT,37673.79700000,192517366.02561423
1772568000000,PAXGUSDT,37227.99900000,190884717.06039736
1772582400000,PAXGUSDT,37556.22300000,193100202.86349000
1772596800000,PAXGUSDT,37463.47100000,194271699.12173000
1772611200000,PAXGUSDT,37004.57300000,191724956.50719678
1772625600000,PAXGUSDT,36590.44200000,190374581.15970000
1772640000000,PAXGUSDT,35387.32600000,182620008.33072630
1772654400000,PAXGUSDT,33349.87000000,171548829.86398792
1772668800000,PAXGUSDT,33927.11100000,175706096.44292740
1772683200000,PAXGUSDT,34555.46300000,179305187.51533000
1772697600000,PAXGUSDT,34466.86300000,178187725.82918024
1772712000000,PAXGUSDT,31893.34200000,164865929.25093767
1772726400000,PAXGUSDT,32743.02300000,167480319.35353392
1772740800000,PAXGUSDT,33238.31800000,168828438.40613183
1772755200000,PAXGUSDT,33475.59200000,170632457.05424000
1772769600000,PAXGUSDT,34603.44000000,177829846.43520000
1772784000000,PAXGUSDT,34205.19200000,175348470.11304000
1772798400000,PAXGUSDT,33833.30600000,172089389.30534000
1772812800000,PAXGUSDT,32554.62200000,167655652.20756000
1772827200000,PAXGUSDT,32775.81500000,169380167.78960000
1772841600000,PAXGUSDT,32683.06900000,169310713.43291673
1772856000000,PAXGUSDT,32315.09200000,167075488.65840000
1772870400000,PAXGUSDT,32269.45400000,167189977.34124000
1772884800000,PAXGUSDT,32305.45700000,167354543.33366000
1772899200000,PAXGUSDT,32208.59600000,166840527.28000000
1772913600000,PAXGUSDT,32332.74800000,167053609.09160000
1772928000000,PAXGUSDT,32413.27200000,167615154.00071680
