timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,PNUTUSDT,82418162.00000000,3938763.96198000
1771574400000,PNUTUSDT,82252452.00000000,3967035.75996000
1771588800000,PNUTUSDT,82283951.00000000,3958296.61655883
1771603200000,PNUTUSDT,82326436.00000000,4060651.84071244
1771617600000,PNUTUSDT,82651213.00000000,4039164.77931000
1771632000000,PNUTUSDT,82837847.00000000,4057397.74606000
1771646400000,PNUTUSDT,83420414.00000000,4075651.14589864
1771660800000,PNUTUSDT,83792131.00000000,4108107.80962547
1771675200000,PNUTUSDT,84062159.00000000,4140061.33075000
1771689600000,PNUTUSDT,83115773.00000000,4076402.28173451
1771704000000,PNUTUSDT,83716377.00000000,4059407.12073000
1771718400000,PNUTUSDT,81514412.00000000,3903917.56469232
1771732800000,PNUTUSDT,81591409.00000000,3845532.02059622
1771747200000,PNUTUSDT,82001455.00000000,3864318.56687500
1771761600000,PNUTUSDT,82284553.00000000,3877248.13736000
1771776000000,PNUTUSDT,80660611.00000000,3739425.92596000
1771790400000,PNUTUSDT,80873963.00000000,3723881.25457687
1771804800000,PNUTUSDT,81439699.00000000,3757010.39894158
1771819200000,PNUTUSDT,84197462.00000000,3684333.59156150
1771833600000,PNUTUSDT,83671155.00000000,3730060.08990000
1771848000000,PNUTUSDT,84111521.00000000,3810251.90130000
1771862400000,PNUTUSDT,82241246.00000000,3656445.79716000
1771876800000,PNUTUSDT,82964750.00000000,3632113.79025000
1771891200000,PNUTUSDT,83237244.00000000,3662299.72980252
1771905600000,PNUTUSDT,84340264.00000000,3665427.87344000
1771920000000,PNUTUSDT,84084586.00000000,3622363.96488000
1771934400000,PNUTUSDT,84874928.00000000,3653281.71089536
1771948800000,PNUTUSDT,83660866.00000000,3692790.62524000
1771963200000,PNUTUSDT,82914341.00000000,3682225.88381000
1771977600000,PNUTUSDT,83208452.00000000,3676149.40936000
1771992000000,PNUTUSDT,82608298.00000000,3733068.98662000
1772006400000,PNUTUSDT,81157814.00000000,3676280.97752502
1772020800000,PNUTUSDT,80204013.00000000,3672541.75527000
1772035200000,PNUTUSDT,79923392.00000000,3835879.24117440
1772049600000,PNUTUSDT,83472873.00000000,4138070.01571359
1772064000000,PNUTUSDT,82746852.00000000,3985871.17753992
1772078400000,PNUTUSDT,80596877.00000000,3840662.83046175
1772092800000,PNUTUSDT,80911007.00000000,3816572.20019000
1772107200000,PNUTUSDT,80471029.00000000,3764408.98589072
1772121600000,PNUTUSDT,81063158.00000000,3772881.22058342
1772136000000,PNUTUSDT,79818391.00000000,3685215.11247000
1772150400000,PNUTUSDT,79612586.00000000,3664567.33358000
1772164800000,PNUTUSDT,79823196.00000000,3716609.51382192
1772179200000,PNUTUSDT,79151218.00000000,3756516.80628000
