timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,PUMPBTCUSDT,45725098.00000000,772296.90522000
1771574400000,PUMPBTCUSDT,45794030.00000000,769740.40176250
1771588800000,PUMPBTCUSDT,45779533.00000000,765433.79176000
1771603200000,PUMPBTCUSDT,45869871.00000000,768998.75464209
1771617600000,PUMPBTCUSDT,45613384.00000000,771778.45728000
1771632000000,PUMPBTCUSDT,45629263.00000000,779804.10467000
1771646400000,PUMPBTCUSDT,45688515.00000000,775501.77640005
1771660800000,PUMPBTCUSDT,45584015.00000000,774973.83901500
1771675200000,PUMPBTCUSDT,45510525.00000000,780232.44060000
1771689600000,PUMPBTCUSDT,45177305.00000000,767110.63890000
1771704000000,PUMPBTCUSDT,44444421.00000000,734221.83492000
1771718400000,PUMPBTCUSDT,44635700.00000000,745373.33972800
1771732800000,PUMPBTCUSDT,44323154.00000000,732938.75533250
1771747200000,PUMPBTCUSDT,44739281.00000000,734419.45682674
1771761600000,PUMPBTCUSDT,44994973.00000000,743316.95396000
1771776000000,PUMPBTCUSDT,43580226.00000000,704408.98295100
1771790400000,PUMPBTCUSDT,43443271.00000000,690867.47789525
1771804800000,PUMPBTCUSDT,43321386.00000000,690976.10670000
1771819200000,PUMPBTCUSDT,43440169.00000000,675248.32219177
1771833600000,PUMPBTCUSDT,43191876.00000000,675520.94064000
1771848000000,PUMPBTCUSDT,42793539.00000000,674816.45171568
1771862400000,PUMPBTCUSDT,42483740.00000000,665210.40092000
1771876800000,PUMPBTCUSDT,42253394.00000000,643941.72456000
1771891200000,PUMPBTCUSDT,41628784.00000000,648992.74256000
1771905600000,PUMPBTCUSDT,41659264.00000000,640386.20620800
1771920000000,PUMPBTCUSDT,41524760.00000000,626193.38080000
1771934400000,PUMPBTCUSDT,39301467.00000000,587769.94560114
1771948800000,PUMPBTCUSDT,40599107.00000000,589255.43899800
1771963200000,PUMPBTCUSDT,41034567.00000000,603618.48057000
1771977600000,PUMPBTCUSDT,41399775.00000000,604457.41488750
1771992000000,PUMPBTCUSDT,41293588.00000000,616244.86051800
1772006400000,PUMPBTCUSDT,41599628.00000000,619331.93369376
1772020800000,PUMPBTCUSDT,41833397.00000000,634194.29852000
1772035200000,PUMPBTCUSDT,41884527.00000000,647889.13051842
1772049600000,PUMPBTCUSDT,42584223.00000000,678366.67239000
1772064000000,PUMPBTCUSDT,43011510.00000000,676823.09974860
1772078400000,PUMPBTCUSDT,42764130.00000000,667120.42800000
1772092800000,PUMPBTCUSDT,43269668.00000000,661593.22372000
1772107200000,PUMPBTCUSDT,42718550.00000000,664561.80271250
1772121600000,PUMPBTCUSDT,43258904.00000000,650073.17986000
1772136000000,PUMPBTCUSDT,42687957.00000000,646422.02533272
1772150400000,PUMPBTCUSDT,42127245.00000000,631908.67500000
1772164800000,PUMPBTCUSDT,42530055.00000000,635824.32225000
1772179200000,PUMPBTCUSDT,42123574.00000000,650282.67362500
1772193600000,PUMPBTCUSDT,41856540.00000000,627036.92025480
1772208000000,PUMPBTCUSDT,41442597.00000000,616976.66283750
1772222400000,PUMPBTCUSDT,41074292.00000000,606134.55927276
1772236800000,PUMPBTCUSDT,41456704.00000000,615217.48736000
1772251200000,PUMPBTCUSDT,41725093.00000000,619993.15688700
1772265600000,PUMPBTCUSDT,41600950.00000000,592679.99845050
1772280000000,PUMPBTCUSDT,41236170.00000000,574832.20980000
1772294400000,PUMPBTCUSDT,41051313.00000000,582928.64460000
1772308800000,PUMPBTCUSDT,41029823.00000000,597524.28741891
1772323200000,PUMPBTCUSDT,42308519.00000000,648166.51108000
1772337600000,PUMPBTCUSDT,43374768.00000000,664935.19344000
1772352000000,PUMPBTCUSDT,43332470.00000000,653886.97230000
1772366400000,PUMPBTCUSDT,43477774.00000000,638525.45840750
1772380800000,PUMPBTCUSDT,43041169.00000000,627348.28040626
1772395200000,PUMPBTCUSDT,42727165.00000000,606084.83552500
1772409600000,PUMPBTCUSDT,43158081.00000000,612202.55795472
1772424000000,PUMPBTCUSDT,43724250.00000000,637280.94375000
1772438400000,PUMPBTCUSDT,43552500.00000000,616267.87500000
1772452800000,PUMPBTCUSDT,43489392.00000000,618690.96294000
1772467200000,PUMPBTCUSDT,43412183.00000000,641632.06474000
1772481600000,PUMPBTCUSDT,44072240.00000000,661965.04480000
1772496000000,PUMPBTCUSDT,44155365.00000000,638677.77063045
1772510400000,PUMPBTCUSDT,44207164.00000000,633669.02534912
1772524800000,PUMPBTCUSDT,43870085.00000000,638309.73675000
1772539200000,PUMPBTCUSDT,43041380.00000000,602148.90620000
1772553600000,PUMPBTCUSDT,43127601.00000000,613274.48622000
1772568000000,PUMPBTCUSDT,43007127.00000000,619302.62880000
1772582400000,PUMPBTCUSDT,43123632.00000000,616998.69585744
1772596800000,PUMPBTCUSDT,42707656.00000000,607729.94488000
1772611200000,PUMPBTCUSDT,42195267.00000000,605502.08145000
1772625600000,PUMPBTCUSDT,43543814.00000000,641835.81836000
1772640000000,PUMPBTCUSDT,43809010.00000000,650848.55706500
1772654400000,PUMPBTCUSDT,43582503.00000000,648794.41750974
1772668800000,PUMPBTCUSDT,43533798.00000000,642994.19646000
1772683200000,PUMPBTCUSDT,44381879.00000000,662177.63468000
1772697600000,PUMPBTCUSDT,44061077.00000000,642307.84035059
1772712000000,PUMPBTCUSDT,44411490.00000000,657290.05200000
1772726400000,PUMPBTCUSDT,45532367.00000000,676610.97362000
1772740800000,PUMPBTCUSDT,46242580.00000000,670054.98420000
1772755200000,PUMPBTCUSDT,46328534.00000000,676230.74024828
1772769600000,PUMPBTCUSDT,46265362.00000000,680563.47502000
1772784000000,PUMPBTCUSDT,47243856.00000000,705350.77008000
1772798400000,PUMPBTCUSDT,45747149.00000000,660588.83156000
1772812800000,PUMPBTCUSDT,44432601.00000000,626944.00011000
1772827200000,PUMPBTCUSDT,43428979.00000000,608439.99579000
1772841600000,PUMPBTCUSDT,43208240.00000000,611612.63720000
1772856000000,PUMPBTCUSDT,43019480.00000000,601888.98623840
1772870400000,PUMPBTCUSDT,42667236.00000000,592434.57186000
1772884800000,PUMPBTCUSDT,42450106.00000000,591736.22409442
1772899200000,PUMPBTCUSDT,42338184.00000000,581938.33908000
1772913600000,PUMPBTCUSDT,42123116.00000000,576586.26658192
1772928000000,PUMPBTCUSDT,41802099.00000000,571852.71432000
1772942400000,PUMPBTCUSDT,41160317.00000000,557362.14257625
1772956800000,PUMPBTCUSDT,41055832.00000000,572318.29808000
1772971200000,PUMPBTCUSDT,41915461.00000000,588493.07244000
1772985600000,PUMPBTCUSDT,42207116.00000000,583302.34312000
1773000000000,PUMPBTCUSDT,42209882.00000000,587417.19964356
1773014400000,PUMPBTCUSDT,42439785.00000000,586666.36794750
1773028800000,PUMPBTCUSDT,42428762.00000000,596548.39372000
1773043200000,PUMPBTCUSDT,42931407.00000000,609625.97940000
1773057600000,PUMPBTCUSDT,43091274.00000000,610172.43984000
1773072000000,PUMPBTCUSDT,43160972.00000000,614709.35346700
1773086400000,PUMPBTCUSDT,43787075.00000000,618986.79045175
1773100800000,PUMPBTCUSDT,44257958.00000000,619168.83242000
1773115200000,PUMPBTCUSDT,44229912.00000000,622701.87357000
1773129600000,PUMPBTCUSDT,44103236.00000000,634645.56604000
1773144000000,PUMPBTCUSDT,43698781.00000000,630660.80739200
