timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,REZUSDT,382816721.00000000,1170458.29629029
1771574400000,REZUSDT,381089877.00000000,1162148.82350658
1771588800000,REZUSDT,379304202.00000000,1150050.34046400
1771603200000,REZUSDT,365695828.00000000,1104756.12551316
1771617600000,REZUSDT,368029983.00000000,1114762.81850700
1771632000000,REZUSDT,370964983.00000000,1119943.28367700
1771646400000,REZUSDT,373361475.00000000,1126431.57007500
1771660800000,REZUSDT,374433973.00000000,1124799.65489200
1771675200000,REZUSDT,379068915.00000000,1149716.01919500
1771689600000,REZUSDT,383216053.00000000,1152962.97785845
1771704000000,REZUSDT,386959166.00000000,1155460.06967600
1771718400000,REZUSDT,387405028.00000000,1149663.16109280
1771732800000,REZUSDT,388846566.00000000,1140004.80833616
1771747200000,REZUSDT,386438263.00000000,1134304.50461864
1771761600000,REZUSDT,393116927.00000000,1153405.06381800
1771776000000,REZUSDT,393713881.00000000,1127596.55518400
1771790400000,REZUSDT,389949555.00000000,1110966.28219500
1771804800000,REZUSDT,389196819.00000000,1096196.19252264
1771819200000,REZUSDT,383869633.00000000,1043357.66249400
1771833600000,REZUSDT,390020898.00000000,1090888.45170600
1771848000000,REZUSDT,388004163.00000000,1098827.78961600
1771862400000,REZUSDT,389496349.00000000,1090714.41603168
1771876800000,REZUSDT,387063630.00000000,1061638.12436400
1771891200000,REZUSDT,387191536.00000000,1061292.00017600
1771905600000,REZUSDT,392974894.00000000,1107084.94162786
1771920000000,REZUSDT,394852754.00000000,1096900.95061200
1771934400000,REZUSDT,395681814.00000000,1093035.39981174
1771948800000,REZUSDT,399066618.00000000,1126253.79065196
1771963200000,REZUSDT,400105981.00000000,1132700.03221100
1771977600000,REZUSDT,441701072.00000000,1279634.50764832
1771992000000,REZUSDT,427517007.00000000,1247763.96214041
1772006400000,REZUSDT,424821103.00000000,1308873.81834300
1772020800000,REZUSDT,418457773.00000000,1257695.75964015
1772035200000,REZUSDT,416251185.00000000,1284134.90572500
1772049600000,REZUSDT,408581843.00000000,1275371.87965078
1772064000000,REZUSDT,398997279.00000000,1212987.63791511
1772078400000,REZUSDT,393564504.00000000,1187624.18291544
1772092800000,REZUSDT,392478666.00000000,1168016.51001600
1772107200000,REZUSDT,392277157.00000000,1166632.26491800
1772121600000,REZUSDT,393317189.00000000,1164325.07508103
1772136000000,REZUSDT,384561196.00000000,1140147.03390080
1772150400000,REZUSDT,387104154.00000000,1140223.02769008
1772164800000,REZUSDT,394274070.00000000,1163897.05464000
1772179200000,REZUSDT,393594619.00000000,1173888.07927512
1772193600000,REZUSDT,396406281.00000000,1157058.40142247
1772208000000,REZUSDT,396560555.00000000,1155180.89671500
1772222400000,REZUSDT,394362336.00000000,1144088.51659296
1772236800000,REZUSDT,400980796.00000000,1162443.32760400
1772251200000,REZUSDT,402616711.00000000,1155107.34385900
1772265600000,REZUSDT,400539927.00000000,1085655.46133496
1772280000000,REZUSDT,415276920.00000000,1100068.56108000
1772294400000,REZUSDT,411016518.00000000,1127007.29235600
1772308800000,REZUSDT,408240870.00000000,1151239.25340000
1772323200000,REZUSDT,413887802.00000000,1189927.43075000
1772337600000,REZUSDT,411180367.00000000,1190975.70940816
1772352000000,REZUSDT,411263539.00000000,1189024.58077985
1772366400000,REZUSDT,410684786.00000000,1153613.56387400
1772380800000,REZUSDT,407055914.00000000,1123881.37855400
1772395200000,REZUSDT,406666148.00000000,1097356.06708616
1772409600000,REZUSDT,405381349.00000000,1109630.09755025
1772424000000,REZUSDT,403846787.00000000,1131578.69717400
1772438400000,REZUSDT,396251326.00000000,1087313.63854400
1772452800000,REZUSDT,386950415.00000000,1061404.98834500
1772467200000,REZUSDT,390983204.00000000,1118211.96344000
1772481600000,REZUSDT,393361988.00000000,1116754.68393200
1772496000000,REZUSDT,393954782.00000000,1103124.60372166
1772510400000,REZUSDT,396528587.00000000,1111667.89365450
1772524800000,REZUSDT,401255601.00000000,1123515.68280000
1772539200000,REZUSDT,406104915.00000000,1122323.72624145
1772553600000,REZUSDT,414438956.00000000,1153383.61454800
1772568000000,REZUSDT,423661602.00000000,1193454.73283400
1772582400000,REZUSDT,421891496.00000000,1189734.01872000
1772596800000,REZUSDT,412837018.00000000,1148198.82794232
1772611200000,REZUSDT,408942166.00000000,1160590.13537298
1772625600000,REZUSDT,389926430.00000000,1131956.42629000
1772640000000,REZUSDT,391663833.00000000,1176565.98760866
1772654400000,REZUSDT,387176340.00000000,1165331.09165880
1772668800000,REZUSDT,383368429.00000000,1130511.32659381
1772683200000,REZUSDT,380530063.00000000,1140829.12887400
1772697600000,REZUSDT,382929113.00000000,1174508.68752021
1772712000000,REZUSDT,377657800.00000000,1179425.30940000
1772726400000,REZUSDT,373577513.00000000,1146135.80988400
1772740800000,REZUSDT,375842798.00000000,1176387.95774000
1772755200000,REZUSDT,372645884.00000000,1158213.21914272
1772769600000,REZUSDT,372689361.00000000,1178816.44884300
1772784000000,REZUSDT,369484487.00000000,1159811.80469300
1772798400000,REZUSDT,359204899.00000000,1098089.37624300
1772812800000,REZUSDT,357058562.00000000,1090039.08983046
1772827200000,REZUSDT,356699242.00000000,1103984.15399000
1772841600000,REZUSDT,358858347.00000000,1121740.95255342
1772856000000,REZUSDT,356429552.00000000,1107426.61806400
1772870400000,REZUSDT,356090861.00000000,1120098.04690994
1772884800000,REZUSDT,346596531.00000000,1067149.92315714
1772899200000,REZUSDT,339854168.00000000,1028058.85820000
1772913600000,REZUSDT,336640366.00000000,1046035.87646448
1772928000000,REZUSDT,331045519.00000000,1028243.93428995
1772942400000,REZUSDT,333215086.00000000,1032606.89430712
1772956800000,REZUSDT,322293374.00000000,1023284.68538374
1772971200000,REZUSDT,326603046.00000000,1045394.29566726
1772985600000,REZUSDT,331241711.00000000,1053348.64098000
1773000000000,REZUSDT,327722248.00000000,1055265.63856000
1773014400000,REZUSDT,323926475.00000000,1032677.60230000
1773028800000,REZUSDT,329392623.00000000,1085678.08540800
1773043200000,REZUSDT,332342759.00000000,1106422.21955244
1773057600000,REZUSDT,341623813.00000000,1124424.03434633
1773072000000,REZUSDT,347195087.00000000,1156176.99946435
1773086400000,REZUSDT,350336096.00000000,1171523.90502400
1773100800000,REZUSDT,350129466.00000000,1130200.40977470
1773115200000,REZUSDT,344665878.00000000,1116717.44472000
1773129600000,REZUSDT,343196915.00000000,1139224.99949675
1773144000000,REZUSDT,346287741.00000000,1126325.11774437
1773158400000,REZUSDT,345396941.00000000,1130826.13086459
1773172800000,REZUSDT,346926323.00000000,1111205.01256900
1773187200000,REZUSDT,346792055.00000000,1119916.39073480
1773201600000,REZUSDT,342449339.00000000,1086249.30330800
1773216000000,REZUSDT,342586217.00000000,1099379.72552602
1773230400000,REZUSDT,342723180.00000000,1129080.95311920
1773244800000,REZUSDT,340099813.00000000,1106688.19250013
1773259200000,REZUSDT,335608698.00000000,1110881.57081490
1773273600000,REZUSDT,330837439.00000000,1102681.18418700
1773288000000,REZUSDT,325920374.00000000,1079122.35831400
1773302400000,REZUSDT,322151463.00000000,1057661.91120456
1773316800000,REZUSDT,314581996.00000000,1048187.21067200
1773331200000,REZUSDT,309100266.00000000,1041358.79615400
1773345600000,REZUSDT,311536301.00000000,1041771.15981798
1773360000000,REZUSDT,312539197.00000000,1033879.66367600
1773374400000,REZUSDT,315197704.00000000,1061289.58123024
1773388800000,REZUSDT,318730353.00000000,1068454.26393366
1773403200000,REZUSDT,315788504.00000000,1043049.42871200
1773417600000,REZUSDT,323797485.00000000,1091074.48140570
1773432000000,REZUSDT,316339479.00000000,1035255.74237019
1773446400000,REZUSDT,314353428.00000000,1012988.20405860
1773460800000,REZUSDT,315344697.00000000,1008573.25130904
1773475200000,REZUSDT,315563617.00000000,1009891.93221276
1773489600000,REZUSDT,313289899.00000000,1006265.22529507
1773504000000,REZUSDT,316920602.00000000,1014462.84700200
1773518400000,REZUSDT,314675026.00000000,1005701.38309600
1773532800000,REZUSDT,310817548.00000000,997245.67005608
1773547200000,REZUSDT,312677094.00000000,1015262.52421800
1773561600000,REZUSDT,311601151.00000000,1018624.16261900
1773576000000,REZUSDT,317288045.00000000,1028070.37764810
1773590400000,REZUSDT,325685274.00000000,1056014.95982856
1773604800000,REZUSDT,1436107617.00000000,6457041.42863157
1773619200000,REZUSDT,1250299852.00000000,5178741.98698400
1773633600000,REZUSDT,1089525962.00000000,4280747.50469800
1773648000000,REZUSDT,1095350005.00000000,4282818.51955000
1773662400000,REZUSDT,1053481967.00000000,4049690.02934470
1773676800000,REZUSDT,953994369.00000000,3608331.06164346
1773691200000,REZUSDT,867915615.00000000,3363928.09471005
1773705600000,REZUSDT,839533270.00000000,3221289.15699000
1773720000000,REZUSDT,757156039.00000000,2824949.18150900
1773734400000,REZUSDT,700220233.00000000,2549501.86835300
1773748800000,REZUSDT,677126977.00000000,2411249.16509700
1773763200000,REZUSDT,666592481.00000000,2334420.20031162
1773777600000,REZUSDT,656800033.00000000,2294202.51526900
1773792000000,REZUSDT,647369142.00000000,2224120.84532946
1773806400000,REZUSDT,639279183.00000000,2180581.29321300
1773820800000,REZUSDT,646888962.00000000,2220122.91758400
1773835200000,REZUSDT,649819060.00000000,2158698.91732000
1773849600000,REZUSDT,633472853.00000000,2067021.91933900
1773864000000,REZUSDT,725930883.00000000,2587043.44360008
1773878400000,REZUSDT,762341262.00000000,2831335.44706800
1773892800000,REZUSDT,728128910.00000000,2569064.51444210
1773907200000,REZUSDT,680652667.00000000,2339192.21415223
1773921600000,REZUSDT,679203745.00000000,2345616.54928260
1773936000000,REZUSDT,655251567.00000000,2261273.15771700
1773950400000,REZUSDT,645434908.00000000,2233611.40567204
1773964800000,REZUSDT,633899781.00000000,2212944.13547100
