timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,SCRTUSDT,10622277.00000000,931042.57905000
1771574400000,SCRTUSDT,10539698.00000000,927493.42400000
1771588800000,SCRTUSDT,10546860.00000000,913358.07600000
1771603200000,SCRTUSDT,10652563.00000000,925707.72470000
1771617600000,SCRTUSDT,10735275.00000000,948998.31000000
1771632000000,SCRTUSDT,10653594.00000000,947644.75035174
1771646400000,SCRTUSDT,11074993.00000000,962662.09204502
1771660800000,SCRTUSDT,10742938.00000000,940007.07500000
1771675200000,SCRTUSDT,10764894.00000000,946234.18260000
1771689600000,SCRTUSDT,10723675.00000000,932959.72500000
1771704000000,SCRTUSDT,10770663.00000000,925773.05867823
1771718400000,SCRTUSDT,10764348.00000000,904743.44940000
1771732800000,SCRTUSDT,10905817.00000000,918129.65165155
1771747200000,SCRTUSDT,10862859.00000000,912480.15600000
1771761600000,SCRTUSDT,10638168.00000000,892021.76963976
1771776000000,SCRTUSDT,10628704.00000000,885881.64614016
1771790400000,SCRTUSDT,10709902.00000000,885708.89540000
1771804800000,SCRTUSDT,10687212.00000000,884299.99792500
1771819200000,SCRTUSDT,10566257.00000000,826281.29740000
1771833600000,SCRTUSDT,10419947.00000000,839295.67940794
1771848000000,SCRTUSDT,10081417.00000000,818611.06040000
1771862400000,SCRTUSDT,10028101.00000000,795228.40930000
1771876800000,SCRTUSDT,10073929.00000000,787781.24780000
1771891200000,SCRTUSDT,10245840.00000000,809421.36000000
1771905600000,SCRTUSDT,10184251.00000000,805574.25410000
1771920000000,SCRTUSDT,10148152.00000000,788511.41040000
1771934400000,SCRTUSDT,10188622.00000000,790637.06720000
1771948800000,SCRTUSDT,9991368.00000000,780325.84080000
1771963200000,SCRTUSDT,10052059.00000000,795081.98104937
1771977600000,SCRTUSDT,10338905.00000000,817841.81405365
1771992000000,SCRTUSDT,11124661.00000000,905547.40540000
1772006400000,SCRTUSDT,11069309.00000000,903255.61440000
1772020800000,SCRTUSDT,10796727.00000000,876694.23240000
1772035200000,SCRTUSDT,10762891.00000000,887485.28215999
1772049600000,SCRTUSDT,10549377.00000000,895202.83124172
1772064000000,SCRTUSDT,10411713.00000000,861254.50466601
1772078400000,SCRTUSDT,10693608.00000000,892369.39688688
1772092800000,SCRTUSDT,10570423.00000000,866246.16485000
1772107200000,SCRTUSDT,10601348.00000000,867186.44991472
1772121600000,SCRTUSDT,10532621.00000000,852590.60231202
1772136000000,SCRTUSDT,10390260.00000000,839440.22297820
1772150400000,SCRTUSDT,10564873.00000000,848863.35199083
1772164800000,SCRTUSDT,10541638.00000000,848108.61575798
1772179200000,SCRTUSDT,10710998.00000000,875088.53660000
1772193600000,SCRTUSDT,10623990.00000000,858418.39200000
1772208000000,SCRTUSDT,10643020.00000000,854634.50600000
1772222400000,SCRTUSDT,10724769.00000000,838676.93580000
1772236800000,SCRTUSDT,10716458.00000000,840697.34260444
1772251200000,SCRTUSDT,10669441.00000000,830617.90234938
1772265600000,SCRTUSDT,9989554.00000000,741586.62855034
