timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,SONICUSDT,42591816.60000000,2322105.84103200
1771574400000,SONICUSDT,41202582.30000000,2055596.83094700
1771588800000,SONICUSDT,40648187.90000000,2016963.08359800
1771603200000,SONICUSDT,40137027.00000000,2063709.46244820
1771617600000,SONICUSDT,39654085.10000000,2034254.56563000
1771632000000,SONICUSDT,40023525.40000000,2100452.22334318
1771646400000,SONICUSDT,39439895.80000000,1979882.76916000
1771660800000,SONICUSDT,39330099.10000000,1967432.35873678
1771675200000,SONICUSDT,39140611.70000000,1977828.73183903
1771689600000,SONICUSDT,38616361.10000000,1924639.43722400
1771704000000,SONICUSDT,38463548.10000000,1902817.87971971
1771718400000,SONICUSDT,38322809.00000000,1886213.40199572
1771732800000,SONICUSDT,39344499.00000000,1839355.32825000
1771747200000,SONICUSDT,39008105.10000000,1819338.02186400
1771761600000,SONICUSDT,38794067.90000000,1831855.88623800
1771776000000,SONICUSDT,40301090.00000000,1900279.81675630
1771790400000,SONICUSDT,40265718.20000000,1868086.92485644
1771804800000,SONICUSDT,40050199.00000000,1856326.72365000
1771819200000,SONICUSDT,39291067.00000000,1735486.42939000
1771833600000,SONICUSDT,40230662.90000000,1763309.95490700
1771848000000,SONICUSDT,39229636.20000000,1712116.66601289
1771862400000,SONICUSDT,39205454.00000000,1698772.32182000
1771876800000,SONICUSDT,40540153.30000000,1716875.49225500
1771891200000,SONICUSDT,40463016.60000000,1724938.39765800
1771905600000,SONICUSDT,41608057.50000000,1973346.59129423
1771920000000,SONICUSDT,42755186.50000000,1900468.03992500
1771934400000,SONICUSDT,41989594.40000000,1862658.40758400
1771948800000,SONICUSDT,39693915.10000000,1807998.68887150
1771963200000,SONICUSDT,39015761.00000000,1766164.29847517
1771977600000,SONICUSDT,38799278.00000000,1754874.66025046
1771992000000,SONICUSDT,40080406.60000000,1890656.90797256
1772006400000,SONICUSDT,40420256.20000000,1919941.95937190
1772020800000,SONICUSDT,42500323.60000000,2065090.72372400
1772035200000,SONICUSDT,40966966.20000000,1972281.66649916
1772049600000,SONICUSDT,40197176.10000000,1959745.78949965
1772064000000,SONICUSDT,40289313.90000000,1942347.82311900
1772078400000,SONICUSDT,41974705.80000000,2113426.43703000
1772092800000,SONICUSDT,41432195.30000000,2031264.33618272
1772107200000,SONICUSDT,40214119.00000000,1985514.61943483
1772121600000,SONICUSDT,39907035.60000000,1949433.14855722
1772136000000,SONICUSDT,39130336.60000000,1930690.80784400
1772150400000,SONICUSDT,38866425.60000000,1956924.52896000
1772164800000,SONICUSDT,39069621.80000000,1914020.77198200
1772179200000,SONICUSDT,38972758.20000000,1910909.94169691
1772193600000,SONICUSDT,38987165.60000000,1853065.43917118
1772208000000,SONICUSDT,38463233.20000000,1811107.49198310
1772222400000,SONICUSDT,38165090.80000000,1767807.00585600
1772236800000,SONICUSDT,38414031.10000000,1783776.66184561
1772251200000,SONICUSDT,38621797.10000000,1752105.24691744
1772265600000,SONICUSDT,38320241.50000000,1649517.40430999
1772280000000,SONICUSDT,37510182.80000000,1576602.49652530
1772294400000,SONICUSDT,37394234.00000000,1625065.15924776
1772308800000,SONICUSDT,38198503.20000000,1720157.66999762
1772323200000,SONICUSDT,38378103.60000000,1736225.40686400
