timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,TAGUSDT,8757807024.00000000,3448824.40605120
1771588800000,TAGUSDT,8731984044.00000000,3211711.05122364
1771603200000,TAGUSDT,8758966772.00000000,3262890.30190544
1771617600000,TAGUSDT,9016202210.00000000,3105630.85123450
1771632000000,TAGUSDT,8817661052.00000000,3224354.11688484
1771646400000,TAGUSDT,8748024940.00000000,3101874.68322520
1771660800000,TAGUSDT,8844681080.00000000,3049646.03638400
1771675200000,TAGUSDT,8811270164.00000000,2992043.00958948
1771689600000,TAGUSDT,8748581210.00000000,3008812.04974320
1771704000000,TAGUSDT,8790604135.00000000,3176572.71022360
1771718400000,TAGUSDT,8787714898.00000000,3244424.34034160
1771732800000,TAGUSDT,8755514343.00000000,3234286.99830420
1771747200000,TAGUSDT,8776554621.00000000,3289540.43749701
1771761600000,TAGUSDT,8871216132.00000000,3412047.14868984
1771776000000,TAGUSDT,8906021993.00000000,3405662.81012320
1771790400000,TAGUSDT,8929926924.00000000,3507675.29574720
1771804800000,TAGUSDT,9100273133.00000000,3682880.53692510
1771819200000,TAGUSDT,8921713486.00000000,3503556.88595220
1771833600000,TAGUSDT,8892088797.00000000,3465335.92507887
1771848000000,TAGUSDT,8838876073.00000000,3496217.43067515
1771862400000,TAGUSDT,8804233754.00000000,3445977.09131560
1771876800000,TAGUSDT,8795314466.00000000,3409151.84016626
1771891200000,TAGUSDT,8784873530.00000000,3395353.61934500
1771905600000,TAGUSDT,8775981950.00000000,3393672.22006500
1771920000000,TAGUSDT,8763847936.00000000,3349893.23505664
1771934400000,TAGUSDT,8758983818.00000000,3355566.70067580
1771948800000,TAGUSDT,8782286663.00000000,3375296.23319079
1771963200000,TAGUSDT,8794527565.00000000,3332070.60382720
1771977600000,TAGUSDT,8783138485.00000000,3279623.91029900
1771992000000,TAGUSDT,8762424778.00000000,3310444.08112840
1772006400000,TAGUSDT,8726066381.00000000,3256480.71272539
1772020800000,TAGUSDT,8736252069.00000000,3195721.00684020
1772035200000,TAGUSDT,8777516377.00000000,3205197.88022532
1772049600000,TAGUSDT,8774862339.00000000,3179220.37404309
1772064000000,TAGUSDT,8786311873.00000000,3199271.87919676
1772078400000,TAGUSDT,8766543328.00000000,3150257.34491680
1772092800000,TAGUSDT,8685690128.00000000,3039991.54480000
1772107200000,TAGUSDT,8670989423.00000000,3048719.88112680
1772121600000,TAGUSDT,8653181658.00000000,2989674.26283900
1772136000000,TAGUSDT,8632630901.00000000,2993796.39646680
1772150400000,TAGUSDT,8637585083.00000000,3008298.13270724
1772164800000,TAGUSDT,8658652406.00000000,2999443.77996246
1772179200000,TAGUSDT,8669812459.00000000,2950857.36854524
1772193600000,TAGUSDT,8647715013.00000000,2888769.20009265
1772208000000,TAGUSDT,8776757728.00000000,3041585.39063840
1772222400000,TAGUSDT,8779034762.00000000,3091976.04317640
1772236800000,TAGUSDT,8754702483.00000000,3116936.72502249
1772251200000,TAGUSDT,8713347257.00000000,3098466.28458920
1772265600000,TAGUSDT,8653591875.00000000,2953470.90693750
1772280000000,TAGUSDT,8661705281.00000000,2971831.08191110
1772294400000,TAGUSDT,8669832081.00000000,3037909.16118240
1772308800000,TAGUSDT,8632000533.00000000,3055728.18868200
1772323200000,TAGUSDT,8620026395.00000000,3008475.41211895
1772337600000,TAGUSDT,8595174615.00000000,3008912.77747305
1772352000000,TAGUSDT,8581756391.00000000,3034509.05985760
1772366400000,TAGUSDT,8561577918.00000000,2973436.01092140
1772380800000,TAGUSDT,8557059994.00000000,2953897.10992880
1772395200000,TAGUSDT,8557125912.00000000,2929959.91226880
1772409600000,TAGUSDT,8550261682.00000000,2937869.91393520
1772424000000,TAGUSDT,8552966309.00000000,2964971.30067794
1772438400000,TAGUSDT,8549337325.00000000,2929857.90127750
1772452800000,TAGUSDT,8544826650.00000000,2924039.67963000
1772467200000,TAGUSDT,8523341116.00000000,2970895.77939296
1772481600000,TAGUSDT,8513021870.00000000,2969937.93978690
1772496000000,TAGUSDT,8523758806.00000000,2962858.56096560
1772510400000,TAGUSDT,8509895512.00000000,2930978.21224304
1772524800000,TAGUSDT,8504994409.00000000,2933882.87132864
1772539200000,TAGUSDT,8493707828.00000000,2921835.49283200
1772553600000,TAGUSDT,8507520067.00000000,2941049.68716190
1772568000000,TAGUSDT,8512043214.00000000,3066889.17000420
1772582400000,TAGUSDT,8494039948.00000000,3131752.52882760
1772596800000,TAGUSDT,9890510921.00000000,4002195.24418265
1772611200000,TAGUSDT,10178011412.00000000,4273746.99189880
1772625600000,TAGUSDT,9718120207.00000000,3816500.16769304
1772640000000,TAGUSDT,9624270452.00000000,4041904.86172644
1772654400000,TAGUSDT,9711438984.00000000,4070549.65014360
1772668800000,TAGUSDT,9686241618.00000000,4111809.56684100
1772683200000,TAGUSDT,9804460060.00000000,4448871.79682560
1772697600000,TAGUSDT,10192285145.00000000,4700681.90887400
1772712000000,TAGUSDT,10075375598.00000000,4725854.92424190
1772726400000,TAGUSDT,9754271959.00000000,4354307.00249760
1772740800000,TAGUSDT,9659840440.00000000,4249170.61274720
1772755200000,TAGUSDT,9632173297.00000000,4350467.39132302
1772769600000,TAGUSDT,9632165715.00000000,4402188.69672645
1772784000000,TAGUSDT,9721791190.00000000,4647891.15002710
1772798400000,TAGUSDT,9603010569.00000000,4295426.62751370
1772812800000,TAGUSDT,9593365466.00000000,4378411.99868240
1772827200000,TAGUSDT,9606984083.00000000,4334671.21824960
1772841600000,TAGUSDT,9623666928.00000000,4343930.77796064
1772856000000,TAGUSDT,9573652528.00000000,4266019.56647680
1772870400000,TAGUSDT,9572944402.00000000,4319312.51418240
1772884800000,TAGUSDT,9551625925.00000000,4422402.80327500
1772899200000,TAGUSDT,9552947216.00000000,4446896.92904800
1772913600000,TAGUSDT,9595972163.00000000,4413475.47692859
1772928000000,TAGUSDT,9597869204.00000000,4382387.07854640
1772942400000,TAGUSDT,9585720909.00000000,4344248.71595880
