timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,TAUSDT,89110189.00000000,3345879.97020963
1771588800000,TAUSDT,89208558.00000000,3342245.01392016
1771603200000,TAUSDT,89213163.00000000,3432030.38061000
1771617600000,TAUSDT,89554719.00000000,3455418.68197236
1771632000000,TAUSDT,89742843.00000000,3502855.21197402
1771646400000,TAUSDT,89712686.00000000,3499786.97630716
1771660800000,TAUSDT,89507947.00000000,3490809.93300000
1771675200000,TAUSDT,89502907.00000000,3480857.55613700
1771689600000,TAUSDT,89471635.00000000,3452078.72490690
1771704000000,TAUSDT,89188276.00000000,3410311.73083272
1771718400000,TAUSDT,89079564.00000000,3422882.24670000
1771732800000,TAUSDT,88984007.00000000,3395629.70712000
1771747200000,TAUSDT,89179065.00000000,3425367.88665000
1771761600000,TAUSDT,89373631.00000000,3497190.18103000
1771776000000,TAUSDT,89689898.00000000,3545441.66794000
1771790400000,TAUSDT,90211259.00000000,3604806.72724899
1771804800000,TAUSDT,90182189.00000000,3648527.87502970
1771819200000,TAUSDT,90151804.00000000,3686527.23596176
1771833600000,TAUSDT,88038584.00000000,3417628.77814728
1771848000000,TAUSDT,87324774.00000000,3485131.73034000
1771862400000,TAUSDT,87450334.00000000,3400622.54653422
1771876800000,TAUSDT,87422925.00000000,3394233.52921200
1771891200000,TAUSDT,87535826.00000000,3450662.26092000
1771905600000,TAUSDT,87435690.00000000,3394753.61794680
1771920000000,TAUSDT,87515563.00000000,3469992.07295000
1771934400000,TAUSDT,87788152.00000000,3549506.74608128
1771948800000,TAUSDT,87350634.00000000,3503633.92974000
1771963200000,TAUSDT,87344727.00000000,3457104.29466000
1771977600000,TAUSDT,87122548.00000000,3386280.93811496
1771992000000,TAUSDT,87261227.00000000,3448563.69104000
1772006400000,TAUSDT,87388925.00000000,3412537.52125000
1772020800000,TAUSDT,87483512.00000000,3407279.83065216
1772035200000,TAUSDT,87131157.00000000,3296442.64720827
1772049600000,TAUSDT,87391123.00000000,3401767.62785094
1772064000000,TAUSDT,87422712.00000000,3407737.31376000
1772078400000,TAUSDT,87596091.00000000,3359310.08985000
1772092800000,TAUSDT,87684030.00000000,3338131.02210000
1772107200000,TAUSDT,87690335.00000000,3284003.04575000
1772121600000,TAUSDT,88175805.00000000,3430038.81450000
1772136000000,TAUSDT,88631148.00000000,3444206.41128000
1772150400000,TAUSDT,88575895.00000000,3434973.20810000
1772164800000,TAUSDT,88650083.00000000,3444942.22538000
1772179200000,TAUSDT,88596186.00000000,3430444.32192000
1772193600000,TAUSDT,88601580.00000000,3428615.34126000
1772208000000,TAUSDT,88716340.00000000,3370333.75660000
1772222400000,TAUSDT,88854250.00000000,3434216.76250000
1772236800000,TAUSDT,89163445.00000000,3501448.48515000
1772251200000,TAUSDT,88912191.00000000,3423722.17815498
1772265600000,TAUSDT,88994135.00000000,3402494.07468665
1772280000000,TAUSDT,88717937.00000000,3362409.81230000
1772294400000,TAUSDT,88733624.00000000,3375407.53556272
1772308800000,TAUSDT,88561833.00000000,3423308.05998852
1772323200000,TAUSDT,89452497.00000000,3512799.55719000
1772337600000,TAUSDT,88863776.00000000,3461649.29401856
1772352000000,TAUSDT,89270165.00000000,3582411.72145000
1772366400000,TAUSDT,89455917.00000000,3576422.51400324
1772380800000,TAUSDT,89695974.00000000,3564518.00676000
1772395200000,TAUSDT,89581788.00000000,3516085.17900000
1772409600000,TAUSDT,89490147.00000000,3545599.62414000
1772424000000,TAUSDT,89999238.00000000,3583769.65716000
1772438400000,TAUSDT,90650282.00000000,3626464.53141000
1772452800000,TAUSDT,90592525.00000000,3669903.18775000
1772467200000,TAUSDT,90240083.00000000,3637718.52025948
1772481600000,TAUSDT,89841654.00000000,3592952.81726724
1772496000000,TAUSDT,90319506.00000000,3614445.73169064
1772510400000,TAUSDT,90532305.00000000,3688286.10570000
1772524800000,TAUSDT,90839163.00000000,3783451.13895000
1772539200000,TAUSDT,93321923.00000000,4105231.39277000
1772553600000,TAUSDT,93973122.00000000,4379147.48520000
1772568000000,TAUSDT,95967573.00000000,4468415.26310556
1772582400000,TAUSDT,96123023.00000000,4519704.54146000
1772596800000,TAUSDT,98067559.00000000,4789865.73113309
1772611200000,TAUSDT,105686628.00000000,5125218.06781344
1772625600000,TAUSDT,101816076.00000000,4901272.15636524
1772640000000,TAUSDT,102870762.00000000,5172341.91336000
1772654400000,TAUSDT,102366055.00000000,5198283.39609260
1772668800000,TAUSDT,101892942.00000000,5040643.84074000
1772683200000,TAUSDT,101096340.00000000,5039652.54900000
1772697600000,TAUSDT,103867777.00000000,4349286.58665410
1772712000000,TAUSDT,106113117.00000000,4192529.25267000
1772726400000,TAUSDT,106372034.00000000,4088940.98696000
1772740800000,TAUSDT,105778436.00000000,4067180.86420000
1772755200000,TAUSDT,106111903.00000000,4087430.50356000
1772769600000,TAUSDT,106791008.00000000,4243874.65792000
1772784000000,TAUSDT,108559259.00000000,4425177.19158002
1772798400000,TAUSDT,107811848.00000000,4389020.33208000
1772812800000,TAUSDT,108460864.00000000,4569814.12117120
1772827200000,TAUSDT,109074816.00000000,4574560.69760256
1772841600000,TAUSDT,108959247.00000000,4556306.33769267
1772856000000,TAUSDT,107015007.00000000,4455034.74141000
1772870400000,TAUSDT,106715666.00000000,4374275.14934000
1772884800000,TAUSDT,106830210.00000000,4385054.28835950
1772899200000,TAUSDT,106959168.00000000,4307964.46096896
1772913600000,TAUSDT,106454290.00000000,4153846.39580000
1772928000000,TAUSDT,106532268.00000000,4181391.51900000
1772942400000,TAUSDT,105748459.00000000,4041119.19903255
1772956800000,TAUSDT,107721131.00000000,4799745.51492534
1772971200000,TAUSDT,108636076.00000000,4782160.06552000
1772985600000,TAUSDT,108420635.00000000,4730637.33568510
1773000000000,TAUSDT,108671363.00000000,4791320.39467000
1773014400000,TAUSDT,107252598.00000000,4722331.88994000
1773028800000,TAUSDT,108280006.00000000,4770800.82235910
1773043200000,TAUSDT,107382501.00000000,4745349.76611609
1773057600000,TAUSDT,107741781.00000000,4757831.79741198
1773072000000,TAUSDT,106752587.00000000,4731114.52695950
1773086400000,TAUSDT,105428473.00000000,4665209.93025000
1773100800000,TAUSDT,104480851.00000000,4608650.33761000
1773115200000,TAUSDT,104404110.00000000,4615705.70310000
1773129600000,TAUSDT,104463685.00000000,4599629.02322965
1773144000000,TAUSDT,105263478.00000000,4648014.13456800
1773158400000,TAUSDT,104656869.00000000,4609332.36126477
1773172800000,TAUSDT,104388981.00000000,4577045.52426486
1773187200000,TAUSDT,104255950.00000000,4588555.61633950
1773201600000,TAUSDT,104344221.00000000,4762270.24644000
1773216000000,TAUSDT,103430833.00000000,4544561.52359561
1773230400000,TAUSDT,103423479.00000000,4573386.24138000
1773244800000,TAUSDT,103491141.00000000,4562521.82615151
1773259200000,TAUSDT,102811094.00000000,4530942.48679264
1773273600000,TAUSDT,102576015.00000000,4457953.61190000
1773288000000,TAUSDT,103496201.00000000,4548651.82417794
1773302400000,TAUSDT,103178953.00000000,4563605.09119000
1773316800000,TAUSDT,103620758.00000000,4610850.17219888
1773331200000,TAUSDT,103972567.00000000,4519717.63953443
1773345600000,TAUSDT,104291930.00000000,4583677.25486850
1773360000000,TAUSDT,104460600.00000000,4595221.79400000
1773374400000,TAUSDT,104831577.00000000,4642990.54533000
1773388800000,TAUSDT,104311418.00000000,4569883.22258000
1773403200000,TAUSDT,104264367.00000000,4590760.07901000
1773417600000,TAUSDT,104383590.00000000,4610187.89072970
1773432000000,TAUSDT,104583781.00000000,4604823.87743000
1773446400000,TAUSDT,104568073.00000000,4609040.67953662
1773460800000,TAUSDT,104528479.00000000,4582528.51936000
1773475200000,TAUSDT,98292382.00000000,4392232.44077516
1773489600000,TAUSDT,96480072.00000000,4348057.75681680
1773504000000,TAUSDT,96443518.00000000,4450715.01050638
1773518400000,TAUSDT,95541060.00000000,4310648.29657680
1773532800000,TAUSDT,95075590.00000000,4298652.65067000
1773547200000,TAUSDT,94817280.00000000,4236641.82389760
1773561600000,TAUSDT,106307491.00000000,5323551.72220772
1773576000000,TAUSDT,104276372.00000000,5464081.89280000
1773590400000,TAUSDT,104925200.00000000,5459486.89293600
1773604800000,TAUSDT,99367306.00000000,4720940.70806000
1773619200000,TAUSDT,99450376.00000000,4804447.66456000
1773633600000,TAUSDT,98059945.00000000,4404378.11926620
1773648000000,TAUSDT,97855244.00000000,4505255.43376000
1773662400000,TAUSDT,96655558.00000000,4430690.77872000
1773676800000,TAUSDT,99345343.00000000,4180452.03344000
1773691200000,TAUSDT,101569185.00000000,4344029.74002645
1773705600000,TAUSDT,101617303.00000000,4317873.66277056
