timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,TLMUSDT,781064173.00000000,1400526.16860630
1771574400000,TLMUSDT,786524325.00000000,1392210.97719600
1771588800000,TLMUSDT,752862709.00000000,1311486.83907800
1771603200000,TLMUSDT,743027892.00000000,1329276.89878800
1771617600000,TLMUSDT,589295154.00000000,1009085.44990344
1771632000000,TLMUSDT,531630570.00000000,901608.23258010
1771646400000,TLMUSDT,504756679.00000000,862972.39895272
1771660800000,TLMUSDT,503233335.00000000,862038.70285500
1771675200000,TLMUSDT,480573038.00000000,827618.85739170
1771689600000,TLMUSDT,481344553.00000000,815869.39044394
1771704000000,TLMUSDT,486335777.00000000,814860.45772127
1771718400000,TLMUSDT,500855006.00000000,827913.32491800
1771732800000,TLMUSDT,495562188.00000000,814793.43826584
1771747200000,TLMUSDT,494280945.00000000,807299.18184960
1771761600000,TLMUSDT,517385495.00000000,853018.63946145
1771776000000,TLMUSDT,503616052.00000000,820894.16476000
1771790400000,TLMUSDT,501502615.00000000,823467.29383000
1771804800000,TLMUSDT,498082170.00000000,813866.26578000
1771819200000,TLMUSDT,477576742.00000000,756003.98258600
1771833600000,TLMUSDT,467634904.00000000,756165.63976800
1771848000000,TLMUSDT,455877352.00000000,730452.28110960
1771862400000,TLMUSDT,451395376.00000000,712753.29870400
1771876800000,TLMUSDT,454712843.00000000,710838.94607661
1771891200000,TLMUSDT,451677662.00000000,709707.55997074
1771905600000,TLMUSDT,444974261.00000000,697461.55617662
1771920000000,TLMUSDT,444332738.00000000,689160.07663800
1771934400000,TLMUSDT,443051193.00000000,682892.52581862
1771948800000,TLMUSDT,450904647.00000000,702509.44002600
1771963200000,TLMUSDT,457366732.00000000,715115.75381860
1771977600000,TLMUSDT,451869028.00000000,707175.02882000
1771992000000,TLMUSDT,447978861.00000000,710942.45240700
1772006400000,TLMUSDT,467280645.00000000,745779.90942000
1772020800000,TLMUSDT,454081207.00000000,729254.41844200
1772035200000,TLMUSDT,446711806.00000000,738754.11629056
1772049600000,TLMUSDT,450897131.00000000,761046.72255835
1772064000000,TLMUSDT,431815690.00000000,713713.60874580
1772078400000,TLMUSDT,431165983.00000000,711630.83162184
1772092800000,TLMUSDT,421177367.00000000,686519.10821000
1772107200000,TLMUSDT,428096437.00000000,698653.38518400
1772121600000,TLMUSDT,423373369.00000000,683324.61756600
1772136000000,TLMUSDT,413535309.00000000,668219.29975383
1772150400000,TLMUSDT,420939863.00000000,678555.05915600
1772164800000,TLMUSDT,428002214.00000000,694219.59110800
1772179200000,TLMUSDT,440595157.00000000,728303.79452100
1772193600000,TLMUSDT,431866635.00000000,697032.74889000
1772208000000,TLMUSDT,429924449.00000000,691318.51399200
1772222400000,TLMUSDT,554105562.00000000,915664.98226062
1772236800000,TLMUSDT,636292667.00000000,1066426.50989200
1772251200000,TLMUSDT,613550591.00000000,1011744.92455900
1772265600000,TLMUSDT,577285693.00000000,908647.68078200
1772280000000,TLMUSDT,588770590.00000000,950864.50285000
1772294400000,TLMUSDT,577232909.00000000,904772.17855387
1772308800000,TLMUSDT,534772788.00000000,859647.25671000
1772323200000,TLMUSDT,513306963.00000000,833184.46313271
1772337600000,TLMUSDT,494676017.00000000,812173.92499111
1772352000000,TLMUSDT,488745030.00000000,793506.88090680
1772366400000,TLMUSDT,485103488.00000000,775243.88417280
1772380800000,TLMUSDT,483187314.00000000,764402.33074800
1772395200000,TLMUSDT,565500867.00000000,916314.98485212
1772409600000,TLMUSDT,1014934879.00000000,1780195.77776600
1772424000000,TLMUSDT,750800282.00000000,1265849.27545200
1772438400000,TLMUSDT,1014443455.00000000,1837157.09700500
1772452800000,TLMUSDT,939079361.00000000,1648675.89855243
1772467200000,TLMUSDT,857790576.00000000,1492555.60224000
1772481600000,TLMUSDT,844250065.00000000,1443161.06111100
1772496000000,TLMUSDT,839162000.00000000,1451750.26000000
1772510400000,TLMUSDT,821246346.00000000,1448678.55434400
1772524800000,TLMUSDT,812031914.00000000,1412829.96621118
1772539200000,TLMUSDT,710588431.00000000,1201676.09566410
1772553600000,TLMUSDT,662057946.00000000,1108907.33607324
1772568000000,TLMUSDT,647335024.00000000,1075171.68806208
1772582400000,TLMUSDT,630287715.00000000,1050059.33319000
1772596800000,TLMUSDT,611737138.00000000,1024323.25072410
1772611200000,TLMUSDT,611089727.00000000,1022554.77288091
1772625600000,TLMUSDT,617157492.00000000,1052981.76970056
1772640000000,TLMUSDT,613912421.00000000,1061454.57590900
1772654400000,TLMUSDT,617132720.00000000,1055914.08392000
1772668800000,TLMUSDT,594489071.00000000,1004413.06501734
1772683200000,TLMUSDT,585658458.00000000,987712.98941700
1772697600000,TLMUSDT,581111451.00000000,976482.24891687
1772712000000,TLMUSDT,580630467.00000000,981979.66470441
1772726400000,TLMUSDT,570843877.00000000,964155.30825300
1772740800000,TLMUSDT,569171434.00000000,959053.86629000
1772755200000,TLMUSDT,566132289.00000000,955631.30383200
1772769600000,TLMUSDT,567269744.00000000,968329.45300800
1772784000000,TLMUSDT,565104221.00000000,963751.34266224
1772798400000,TLMUSDT,557306398.00000000,932083.80452704
1772812800000,TLMUSDT,550798940.00000000,904665.22699240
1772827200000,TLMUSDT,545104345.00000000,900245.27681095
1772841600000,TLMUSDT,539353387.00000000,890779.87336759
1772856000000,TLMUSDT,532153423.00000000,873263.76714300
1772870400000,TLMUSDT,525703389.00000000,854530.85881950
1772884800000,TLMUSDT,533455992.00000000,867932.89898400
1772899200000,TLMUSDT,530787710.00000000,859860.16656870
1772913600000,TLMUSDT,529037024.00000000,851749.60864000
1772928000000,TLMUSDT,516292362.00000000,829403.02785852
1772942400000,TLMUSDT,514193552.00000000,820370.10253840
1772956800000,TLMUSDT,511406518.00000000,833592.62434000
1772971200000,TLMUSDT,540820340.00000000,895057.66270000
1772985600000,TLMUSDT,539998431.00000000,890457.41271900
1773000000000,TLMUSDT,508321749.00000000,832122.70311300
1773014400000,TLMUSDT,487927921.00000000,787515.66449400
1773028800000,TLMUSDT,477132492.00000000,792039.93672000
1773043200000,TLMUSDT,475865749.00000000,790888.87483800
1773057600000,TLMUSDT,476169759.00000000,792608.37234345
1773072000000,TLMUSDT,481449879.00000000,813452.90105961
1773086400000,TLMUSDT,491787646.00000000,821285.36882000
1773100800000,TLMUSDT,488037524.00000000,812338.45869800
1773115200000,TLMUSDT,483816132.00000000,812114.40652992
1773129600000,TLMUSDT,479986175.00000000,804183.23718025
1773144000000,TLMUSDT,477138194.00000000,803500.71869600
1773158400000,TLMUSDT,475794096.00000000,823599.58017600
1773172800000,TLMUSDT,498679994.00000000,851246.74975800
1773187200000,TLMUSDT,486552089.00000000,838815.80143600
1773201600000,TLMUSDT,486304183.00000000,835470.58639400
1773216000000,TLMUSDT,526548824.00000000,933571.06495200
1773230400000,TLMUSDT,510159605.00000000,895330.10677500
1773244800000,TLMUSDT,502863208.00000000,864718.54384472
1773259200000,TLMUSDT,498669388.00000000,855218.00042000
1773273600000,TLMUSDT,501704139.00000000,858917.48596800
1773288000000,TLMUSDT,494308190.00000000,837867.21129570
1773302400000,TLMUSDT,494535923.00000000,832798.49433200
1773316800000,TLMUSDT,497926933.00000000,845320.59561544
1773331200000,TLMUSDT,489509129.00000000,827270.42801000
1773345600000,TLMUSDT,494385332.00000000,828797.45827144
1773360000000,TLMUSDT,497206010.00000000,840909.60853270
1773374400000,TLMUSDT,484351025.00000000,833960.43835525
1773388800000,TLMUSDT,479048423.00000000,832107.11075100
1773403200000,TLMUSDT,470884641.00000000,808711.40899263
1773417600000,TLMUSDT,475087555.00000000,821901.47015000
1773432000000,TLMUSDT,649351374.00000000,1196072.76333930
1773446400000,TLMUSDT,825422445.00000000,1474658.46911475
1773460800000,TLMUSDT,716834344.00000000,1280266.13838400
1773475200000,TLMUSDT,612666012.00000000,1061756.32545612
1773489600000,TLMUSDT,636269421.00000000,1118561.64211800
1773504000000,TLMUSDT,589219909.00000000,1032655.02811522
1773518400000,TLMUSDT,581128253.00000000,997216.08214800
1773532800000,TLMUSDT,567400321.00000000,978459.15755166
1773547200000,TLMUSDT,533568096.00000000,924412.06200096
1773561600000,TLMUSDT,531751450.00000000,929203.75378800
1773576000000,TLMUSDT,518132348.00000000,909089.11118340
1773590400000,TLMUSDT,517091803.00000000,901544.38761247
1773604800000,TLMUSDT,514433753.00000000,904374.53777400
1773619200000,TLMUSDT,501325505.00000000,879324.93577000
1773633600000,TLMUSDT,502961711.00000000,883965.26631672
1773648000000,TLMUSDT,505131335.00000000,895092.72562000
1773662400000,TLMUSDT,503030528.00000000,886339.79033600
1773676800000,TLMUSDT,508712309.00000000,890246.54075000
1773691200000,TLMUSDT,523813395.00000000,927526.85479440
1773705600000,TLMUSDT,525274423.00000000,957049.99870600
1773720000000,TLMUSDT,507392906.00000000,926621.22065344
1773734400000,TLMUSDT,496798599.00000000,889269.49221000
1773748800000,TLMUSDT,483761925.00000000,880785.33684750
1773763200000,TLMUSDT,484085998.00000000,889532.22562490
1773777600000,TLMUSDT,555361088.00000000,1014255.95501440
1773792000000,TLMUSDT,524409827.00000000,949438.74768523
1773806400000,TLMUSDT,503173190.00000000,917284.72537000
1773820800000,TLMUSDT,497099688.00000000,900247.53496800
1773835200000,TLMUSDT,489527654.00000000,864995.36461800
1773849600000,TLMUSDT,472664383.00000000,831416.64969700
1773864000000,TLMUSDT,497024728.00000000,887189.13948000
1773878400000,TLMUSDT,503679042.00000000,896045.01571800
1773892800000,TLMUSDT,508678434.00000000,907482.32625600
1773907200000,TLMUSDT,493732614.00000000,871136.88681546
1773921600000,TLMUSDT,493380124.00000000,870322.53873600
1773936000000,TLMUSDT,493209866.00000000,865583.31483000
1773950400000,TLMUSDT,499818585.00000000,874182.70516500
1773964800000,TLMUSDT,495105235.00000000,863958.63507500
