timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,TNSRUSDT,48981573.80000000,2372144.80147955
1771574400000,TNSRUSDT,49274336.40000000,2387836.31291746
1771588800000,TNSRUSDT,50195753.10000000,2532047.46366973
1771603200000,TNSRUSDT,48906722.50000000,2470278.55347500
1771617600000,TNSRUSDT,49363638.40000000,2480498.14778080
1771632000000,TNSRUSDT,49032200.10000000,2458474.51301400
1771646400000,TNSRUSDT,48679804.30000000,2457540.04392621
1771660800000,TNSRUSDT,47965208.10000000,2394902.84043300
1771675200000,TNSRUSDT,47508618.80000000,2370680.07812000
1771689600000,TNSRUSDT,47427603.20000000,2359077.43972992
1771704000000,TNSRUSDT,47640574.40000000,2337246.58006400
1771718400000,TNSRUSDT,48408304.10000000,2348099.97583717
1771732800000,TNSRUSDT,49668650.30000000,2372271.09550958
1771747200000,TNSRUSDT,49586247.90000000,2390627.39063085
1771761600000,TNSRUSDT,49935620.20000000,2377692.04616603
1771776000000,TNSRUSDT,50830836.10000000,2375833.27931400
1771790400000,TNSRUSDT,50863368.40000000,2359297.34323400
1771804800000,TNSRUSDT,50113637.50000000,2351004.62944713
1771819200000,TNSRUSDT,49144965.00000000,2242189.39171035
1771833600000,TNSRUSDT,47855191.00000000,2270169.38576721
1771848000000,TNSRUSDT,49686084.20000000,2418718.57885600
1771862400000,TNSRUSDT,49590670.70000000,2323818.82900200
1771876800000,TNSRUSDT,48915317.40000000,2270744.90773010
1771891200000,TNSRUSDT,50035169.90000000,2363692.94823304
1771905600000,TNSRUSDT,51161631.20000000,2490364.53655999
1771920000000,TNSRUSDT,52739637.30000000,2479786.10206362
1771934400000,TNSRUSDT,53976936.90000000,2600069.05047300
1771948800000,TNSRUSDT,53481605.90000000,2571595.63287807
1771963200000,TNSRUSDT,52314554.00000000,2525223.52158000
1771977600000,TNSRUSDT,51071115.80000000,2460227.41156476
1771992000000,TNSRUSDT,51263152.70000000,2494465.01038200
1772006400000,TNSRUSDT,50265695.60000000,2426325.12661200
1772020800000,TNSRUSDT,49952454.00000000,2449668.34416000
1772035200000,TNSRUSDT,49087859.30000000,2442611.87876800
1772049600000,TNSRUSDT,48794282.90000000,2446735.64230931
1772064000000,TNSRUSDT,47915662.60000000,2340802.78210626
1772078400000,TNSRUSDT,48120084.30000000,2375447.96146950
1772092800000,TNSRUSDT,48160791.70000000,2351691.45871100
1772107200000,TNSRUSDT,46876977.10000000,2244469.66354800
1772121600000,TNSRUSDT,46654973.30000000,2240162.80358562
1772136000000,TNSRUSDT,46735273.80000000,2221112.11410178
1772150400000,TNSRUSDT,47318325.40000000,2218838.61189220
1772164800000,TNSRUSDT,47966038.50000000,2307048.45539529
1772179200000,TNSRUSDT,46384544.00000000,2254141.79939552
1772193600000,TNSRUSDT,46563602.60000000,2186161.14207000
1772208000000,TNSRUSDT,46007527.90000000,2190878.47859800
1772222400000,TNSRUSDT,45958596.30000000,2151929.46544609
1772236800000,TNSRUSDT,45406613.30000000,2120488.84111000
1772251200000,TNSRUSDT,45432034.20000000,2101685.90209200
1772265600000,TNSRUSDT,44887618.70000000,1979747.32558271
1772280000000,TNSRUSDT,45783196.10000000,1982412.39113000
1772294400000,TNSRUSDT,46537975.40000000,2019748.13236000
1772308800000,TNSRUSDT,45887507.90000000,2047071.55429914
1772323200000,TNSRUSDT,45020965.90000000,2134522.78000933
1772337600000,TNSRUSDT,44260646.70000000,2084829.15880112
1772352000000,TNSRUSDT,45161815.50000000,2092798.53027000
1772366400000,TNSRUSDT,45228591.90000000,2042636.73396967
1772380800000,TNSRUSDT,44724310.60000000,2012593.97700000
1772395200000,TNSRUSDT,44210726.40000000,1963559.72857536
1772409600000,TNSRUSDT,46029081.90000000,2057329.65332697
1772424000000,TNSRUSDT,45762141.00000000,2070909.40352157
1772438400000,TNSRUSDT,45554983.10000000,2029018.94727400
1772452800000,TNSRUSDT,45638126.60000000,2078534.16662635
1772467200000,TNSRUSDT,45797808.70000000,2118606.63046200
1772481600000,TNSRUSDT,46549257.60000000,2131373.66686742
1772496000000,TNSRUSDT,46648768.30000000,2106173.22923768
1772510400000,TNSRUSDT,47740982.00000000,2124473.69900000
1772524800000,TNSRUSDT,47341684.40000000,2109097.60452958
1772539200000,TNSRUSDT,47542586.30000000,2082619.63277671
1772553600000,TNSRUSDT,47485904.70000000,2126073.11507978
1772568000000,TNSRUSDT,47721419.60000000,2136965.16968800
1772582400000,TNSRUSDT,47267780.70000000,2114391.34715073
1772596800000,TNSRUSDT,47103705.80000000,2099913.82197277
1772611200000,TNSRUSDT,46577868.60000000,2098844.40542723
1772625600000,TNSRUSDT,47186010.40000000,2128324.99909200
1772640000000,TNSRUSDT,47118158.10000000,2174974.17789600
1772654400000,TNSRUSDT,47446214.00000000,2169950.69944144
1772668800000,TNSRUSDT,47631716.40000000,2173226.11609700
1772683200000,TNSRUSDT,48354739.80000000,2177946.80242660
1772697600000,TNSRUSDT,48019531.30000000,2155684.15560397
1772712000000,TNSRUSDT,48192675.40000000,2248413.84913087
1772726400000,TNSRUSDT,47747964.20000000,2160826.00271709
1772740800000,TNSRUSDT,46449626.10000000,2085123.71562900
1772755200000,TNSRUSDT,46317146.60000000,2097316.82133989
1772769600000,TNSRUSDT,46493270.80000000,2104025.53902423
1772784000000,TNSRUSDT,46514297.10000000,2105702.22971700
1772798400000,TNSRUSDT,48690876.90000000,2238806.51986200
1772812800000,TNSRUSDT,49282475.20000000,2270936.45721600
1772827200000,TNSRUSDT,50231928.60000000,2306147.84202600
1772841600000,TNSRUSDT,51553870.30000000,2407270.33933318
1772856000000,TNSRUSDT,49363697.40000000,2297995.13138494
1772870400000,TNSRUSDT,49597029.70000000,2437694.00975500
1772884800000,TNSRUSDT,48734632.00000000,2302648.49432472
1772899200000,TNSRUSDT,47845306.00000000,2220500.65146000
1772913600000,TNSRUSDT,47474786.50000000,2123072.45228000
1772928000000,TNSRUSDT,46251052.10000000,2067422.02887000
1772942400000,TNSRUSDT,46903880.20000000,2101408.74746649
1772956800000,TNSRUSDT,46216569.80000000,2103316.09159800
1772971200000,TNSRUSDT,45375771.50000000,2083655.42728000
1772985600000,TNSRUSDT,44899618.00000000,2029975.93623374
1773000000000,TNSRUSDT,44697824.70000000,2038465.30342111
1773014400000,TNSRUSDT,44619761.90000000,2002508.58841248
1773028800000,TNSRUSDT,44810694.10000000,2046952.50648800
1773043200000,TNSRUSDT,44258177.10000000,2022652.68844606
1773057600000,TNSRUSDT,44161610.10000000,2005820.33074200
1773072000000,TNSRUSDT,43477380.30000000,2007785.42225400
1773086400000,TNSRUSDT,43200149.40000000,1976452.19520687
1773100800000,TNSRUSDT,42686870.40000000,1920368.32535203
1773115200000,TNSRUSDT,42393448.90000000,1928684.44655714
1773129600000,TNSRUSDT,42293865.60000000,1938043.22273251
1773144000000,TNSRUSDT,42736689.00000000,1966896.27986040
1773158400000,TNSRUSDT,43787557.70000000,2045754.69574400
1773172800000,TNSRUSDT,43158614.90000000,2021117.93576700
1773187200000,TNSRUSDT,51311424.90000000,2536699.33243727
1773201600000,TNSRUSDT,48811334.80000000,2304883.92020305
1773216000000,TNSRUSDT,48727022.60000000,2336288.24001000
1773230400000,TNSRUSDT,48973527.20000000,2336880.08184311
1773244800000,TNSRUSDT,48053268.50000000,2262828.41366500
1773259200000,TNSRUSDT,48500951.70000000,2263544.26593417
1773273600000,TNSRUSDT,48089178.10000000,2295224.33694585
