timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,TONUSDT,21548012.50000000,29260046.17375000
1771574400000,TONUSDT,21529647.70000000,29413318.33299846
1771588800000,TONUSDT,21820816.50000000,29476237.99200948
1771603200000,TONUSDT,21237710.40000000,28977986.58131333
1771617600000,TONUSDT,21148411.50000000,28578981.80332229
1771632000000,TONUSDT,21382944.70000000,28428624.97865000
1771646400000,TONUSDT,21448110.20000000,28583896.46354000
1771660800000,TONUSDT,21625031.50000000,28687766.78790000
1771675200000,TONUSDT,21849239.40000000,29076967.79352000
1771689600000,TONUSDT,21967086.70000000,29552633.88981201
1771704000000,TONUSDT,22072420.70000000,29627810.30561000
1771718400000,TONUSDT,21928827.10000000,29443836.14717000
1771732800000,TONUSDT,21760979.10000000,28794141.03692704
1771747200000,TONUSDT,21781571.80000000,28804945.09488839
1771761600000,TONUSDT,21752255.10000000,29189351.11869000
1771776000000,TONUSDT,21878829.60000000,29333370.20007276
1771790400000,TONUSDT,21943926.20000000,29346501.23627110
1771804800000,TONUSDT,21977658.60000000,29540170.92426000
1771819200000,TONUSDT,21645532.40000000,28563444.55504000
1771833600000,TONUSDT,21739253.00000000,29104224.08869028
1771848000000,TONUSDT,21662855.10000000,29452817.79396000
1771862400000,TONUSDT,21444856.60000000,29220567.31275921
1771876800000,TONUSDT,21327476.40000000,28666261.02924000
1771891200000,TONUSDT,21403569.10000000,28738119.97315492
1771905600000,TONUSDT,21273740.20000000,28513193.99006000
1771920000000,TONUSDT,21346969.00000000,28233501.19940000
1771934400000,TONUSDT,21325644.00000000,28258610.86440000
1771948800000,TONUSDT,21231776.60000000,28005394.45079333
1771963200000,TONUSDT,21086739.20000000,27743245.19965331
1771977600000,TONUSDT,21053074.00000000,27160570.76740000
1771992000000,TONUSDT,21265993.30000000,27569718.79142717
1772006400000,TONUSDT,21171716.30000000,27326604.80294431
1772020800000,TONUSDT,21347614.00000000,27448762.08120000
1772035200000,TONUSDT,21279759.00000000,28102267.00173939
1772049600000,TONUSDT,21422949.10000000,28533585.81183488
1772064000000,TONUSDT,21787453.90000000,27927081.71718227
1772078400000,TONUSDT,22015836.60000000,28920002.95776000
1772092800000,TONUSDT,22290391.20000000,28782321.85784155
1772107200000,TONUSDT,22901921.40000000,29300718.23916000
1772121600000,TONUSDT,23006063.40000000,29810855.95803494
1772136000000,TONUSDT,22987792.40000000,29833176.52875578
1772150400000,TONUSDT,22921688.80000000,29672126.15160000
1772164800000,TONUSDT,22841352.70000000,29780868.11996494
1772179200000,TONUSDT,22375292.30000000,29427984.43296000
1772193600000,TONUSDT,22354843.00000000,29142961.71825388
1772208000000,TONUSDT,22271207.50000000,29034261.20724623
1772222400000,TONUSDT,22044366.10000000,28366690.29748000
1772236800000,TONUSDT,22066816.20000000,28656037.46912735
1772251200000,TONUSDT,21977556.00000000,28434561.95280000
1772265600000,TONUSDT,21786435.10000000,27296633.46817683
1772280000000,TONUSDT,21978722.80000000,27038224.78856000
1772294400000,TONUSDT,22001781.40000000,27414219.62440000
1772308800000,TONUSDT,21942614.60000000,28031744.34975806
1772323200000,TONUSDT,21982055.60000000,28145823.99024000
1772337600000,TONUSDT,21969061.20000000,28261287.90269111
1772352000000,TONUSDT,22422862.30000000,28306621.36752000
1772366400000,TONUSDT,23102541.50000000,28866625.60425000
1772380800000,TONUSDT,23439826.00000000,28861457.75380000
1772395200000,TONUSDT,24222084.00000000,29262699.68040000
1772409600000,TONUSDT,24449406.60000000,29336842.97934000
1772424000000,TONUSDT,24637015.60000000,29671974.81441383
1772438400000,TONUSDT,24582244.30000000,29926424.21082000
1772452800000,TONUSDT,24660435.80000000,29696682.22910589
1772467200000,TONUSDT,24351262.40000000,30271343.82594994
1772481600000,TONUSDT,24571056.40000000,30234684.90020000
1772496000000,TONUSDT,24440161.10000000,30000297.75025000
1772510400000,TONUSDT,24058115.60000000,29693704.15885977
1772524800000,TONUSDT,23876678.70000000,29707363.63854000
1772539200000,TONUSDT,24047474.80000000,29441061.28016468
1772553600000,TONUSDT,23998797.00000000,29540119.22730000
1772568000000,TONUSDT,23942448.50000000,29630863.96946744
1772582400000,TONUSDT,23752619.60000000,29724028.16744000
1772596800000,TONUSDT,23527191.90000000,29480184.56932091
1772611200000,TONUSDT,23425707.70000000,29931115.51172219
1772625600000,TONUSDT,23412735.20000000,30195980.30659857
1772640000000,TONUSDT,23300524.60000000,30403194.85417274
