timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,TRUTHUSDT,202481042.00000000,1923974.86108400
1771588800000,TRUTHUSDT,213597234.00000000,2015076.30555600
1771603200000,TRUTHUSDT,214293116.00000000,2099637.52177452
1771617600000,TRUTHUSDT,212718335.00000000,2073631.50916375
1771632000000,TRUTHUSDT,207262978.00000000,2168012.20247560
1771646400000,TRUTHUSDT,199404667.00000000,2081585.31881300
1771660800000,TRUTHUSDT,195145192.00000000,2006703.37821096
1771675200000,TRUTHUSDT,287356244.00000000,3416904.24684252
1771689600000,TRUTHUSDT,246680004.00000000,2537843.88115200
1771704000000,TRUTHUSDT,236941252.00000000,2395949.94022400
1771718400000,TRUTHUSDT,234738912.00000000,2397623.24716800
1771732800000,TRUTHUSDT,224805738.00000000,2257328.36863512
1771747200000,TRUTHUSDT,223433167.00000000,2267793.02108992
1771761600000,TRUTHUSDT,220102992.00000000,2136495.72274560
1771776000000,TRUTHUSDT,209718029.00000000,2013293.07840000
1771790400000,TRUTHUSDT,210258538.00000000,1980635.42796000
1771804800000,TRUTHUSDT,210603542.00000000,1970252.99836634
1771819200000,TRUTHUSDT,206224403.00000000,1887518.34231422
1771833600000,TRUTHUSDT,210682015.00000000,1891924.49470000
1771848000000,TRUTHUSDT,201175048.00000000,1931264.36679616
1771862400000,TRUTHUSDT,197101442.00000000,1905783.69777010
1771876800000,TRUTHUSDT,194579562.00000000,1929482.06952192
1771891200000,TRUTHUSDT,194841296.00000000,1916856.46369984
1771905600000,TRUTHUSDT,192834583.00000000,1885100.74641642
1771920000000,TRUTHUSDT,191963485.00000000,1873755.57708500
1771934400000,TRUTHUSDT,192772968.00000000,1862036.50796496
1771948800000,TRUTHUSDT,196798973.00000000,1856042.60219868
1771963200000,TRUTHUSDT,196724711.00000000,1819851.12028325
1771977600000,TRUTHUSDT,197112168.00000000,1814726.97254376
1771992000000,TRUTHUSDT,199906761.00000000,1886817.96463089
1772006400000,TRUTHUSDT,201690186.00000000,1922712.54313800
1772020800000,TRUTHUSDT,201700138.00000000,1883306.46052808
1772035200000,TRUTHUSDT,203733943.00000000,1923765.90613522
1772049600000,TRUTHUSDT,209296852.00000000,1964460.25287200
1772064000000,TRUTHUSDT,210751143.00000000,1994217.93805749
1772078400000,TRUTHUSDT,211385178.00000000,2050858.99695600
1772092800000,TRUTHUSDT,210664155.00000000,2076305.91168000
1772107200000,TRUTHUSDT,206385279.00000000,2008747.92050700
1772121600000,TRUTHUSDT,210667235.00000000,2110253.69299500
1772136000000,TRUTHUSDT,208050994.00000000,2068651.03334200
1772150400000,TRUTHUSDT,206438887.00000000,2082031.13728302
1772164800000,TRUTHUSDT,204456097.00000000,1991676.35594998
1772179200000,TRUTHUSDT,204909694.00000000,1958049.41566498
1772193600000,TRUTHUSDT,204844371.00000000,1950937.78940400
1772208000000,TRUTHUSDT,202690714.00000000,1992737.53943388
1772222400000,TRUTHUSDT,202582649.00000000,1955327.72814800
1772236800000,TRUTHUSDT,205658280.00000000,1985630.69340000
1772251200000,TRUTHUSDT,206528705.00000000,2030796.75626500
1772265600000,TRUTHUSDT,208492285.00000000,2042219.46018630
1772280000000,TRUTHUSDT,283171730.00000000,3180528.23701400
1772294400000,TRUTHUSDT,222463164.00000000,2263700.62086168
1772308800000,TRUTHUSDT,217994554.00000000,2290876.42869398
1772323200000,TRUTHUSDT,209836086.00000000,2214509.33032272
1772337600000,TRUTHUSDT,205456028.00000000,2175900.55557652
1772352000000,TRUTHUSDT,204975855.00000000,2141792.70889500
1772366400000,TRUTHUSDT,203103225.00000000,1989192.98565000
1772380800000,TRUTHUSDT,202008468.00000000,2004732.03643200
1772395200000,TRUTHUSDT,197726452.00000000,1966334.20173344
1772409600000,TRUTHUSDT,187812781.00000000,1835156.24570720
1772424000000,TRUTHUSDT,191017789.00000000,1804927.08826100
1772438400000,TRUTHUSDT,187689826.00000000,1862633.83322400
1772452800000,TRUTHUSDT,185251279.00000000,1732051.29331746
1772467200000,TRUTHUSDT,182688029.00000000,1758372.27912500
1772481600000,TRUTHUSDT,186245341.00000000,1758342.26438100
1772496000000,TRUTHUSDT,191772128.00000000,1802082.68681600
1772510400000,TRUTHUSDT,187749663.00000000,1820232.98278500
1772524800000,TRUTHUSDT,187666973.00000000,1786964.91690600
1772539200000,TRUTHUSDT,185763039.00000000,1873669.17078726
1772553600000,TRUTHUSDT,186527196.00000000,1768837.39966800
1772568000000,TRUTHUSDT,188986980.00000000,1802389.61682780
1772582400000,TRUTHUSDT,190078540.00000000,1781606.15542000
1772596800000,TRUTHUSDT,193357134.00000000,1807889.20290000
1772611200000,TRUTHUSDT,188570556.00000000,1763888.98082400
1772625600000,TRUTHUSDT,189453860.00000000,1777645.56838000
1772640000000,TRUTHUSDT,191793916.00000000,1829713.95864000
1772654400000,TRUTHUSDT,191017247.00000000,1814952.28254297
1772668800000,TRUTHUSDT,190412719.00000000,1819583.94276400
1772683200000,TRUTHUSDT,190776985.00000000,1832031.38695500
1772697600000,TRUTHUSDT,191603268.00000000,1847630.31332400
1772712000000,TRUTHUSDT,191480733.00000000,1811409.64898733
1772726400000,TRUTHUSDT,189722679.00000000,1839285.48383340
1772740800000,TRUTHUSDT,186408258.00000000,1792315.40067000
1772755200000,TRUTHUSDT,187265337.00000000,1813855.79948874
1772769600000,TRUTHUSDT,185896327.00000000,1803008.47557300
1772784000000,TRUTHUSDT,185944606.00000000,1812885.53065760
1772798400000,TRUTHUSDT,188954727.00000000,1794950.86502199
1772812800000,TRUTHUSDT,189584073.00000000,1846169.70287400
1772827200000,TRUTHUSDT,190476704.00000000,1852833.56665440
1772841600000,TRUTHUSDT,186476741.00000000,1805119.09485633
1772856000000,TRUTHUSDT,189291498.00000000,1781422.28767800
1772870400000,TRUTHUSDT,187606474.00000000,1802523.00219200
1772884800000,TRUTHUSDT,190352170.00000000,1771797.99836000
1772899200000,TRUTHUSDT,188828225.00000000,1814450.41402500
1772913600000,TRUTHUSDT,189345216.00000000,1765753.95942528
1772928000000,TRUTHUSDT,188497710.00000000,1806185.05722000
1772942400000,TRUTHUSDT,189083828.00000000,1781547.82741600
1772956800000,TRUTHUSDT,189058069.00000000,1802946.60327643
