timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,TRXUSDT,368304173.00000000,104307424.83533000
1771574400000,TRXUSDT,367538788.00000000,104107486.07519464
1771588800000,TRXUSDT,371190036.00000000,105727616.95203120
1771603200000,TRXUSDT,370838815.00000000,106071026.25445000
1771617600000,TRXUSDT,366440088.00000000,104473677.76078632
1771632000000,TRXUSDT,364651103.00000000,104005787.59766000
1771646400000,TRXUSDT,359835268.00000000,102383928.80404000
1771660800000,TRXUSDT,357404192.00000000,101893965.84210208
1771675200000,TRXUSDT,357619327.00000000,102323232.71359890
1771689600000,TRXUSDT,359044734.00000000,103128418.94682000
1771704000000,TRXUSDT,365107276.00000000,105501062.57426608
1771718400000,TRXUSDT,368149352.00000000,106395162.72800000
1771732800000,TRXUSDT,370799722.00000000,107083251.71638000
1771747200000,TRXUSDT,369334021.00000000,106247894.87733968
1771761600000,TRXUSDT,370953701.00000000,107053528.57159000
1771776000000,TRXUSDT,373133980.00000000,107978552.17620420
1771790400000,TRXUSDT,375548734.00000000,109040574.91690000
1771804800000,TRXUSDT,374414819.00000000,108756991.35138248
1771819200000,TRXUSDT,369219809.00000000,106003007.16390000
1771833600000,TRXUSDT,365574211.00000000,105157421.79415000
1771848000000,TRXUSDT,363840292.00000000,104328791.46986404
1771862400000,TRXUSDT,362600341.00000000,102806544.51029098
1771876800000,TRXUSDT,354861510.00000000,100074494.43510000
1771891200000,TRXUSDT,351102799.00000000,98869013.87916838
1771905600000,TRXUSDT,351995043.00000000,99167563.46439000
1771920000000,TRXUSDT,350400801.00000000,98498688.33143891
1771934400000,TRXUSDT,351405831.00000000,98525195.50906809
1771948800000,TRXUSDT,349507717.00000000,98416721.15948673
1771963200000,TRXUSDT,346278099.00000000,97838501.40469086
1771977600000,TRXUSDT,344469748.00000000,97722622.81012000
1771992000000,TRXUSDT,344188241.00000000,98442965.33079090
1772006400000,TRXUSDT,346257305.00000000,99154241.85980000
1772020800000,TRXUSDT,344792454.00000000,98410662.22068000
1772035200000,TRXUSDT,340125793.00000000,96792998.17194000
1772049600000,TRXUSDT,341376347.00000000,97766772.01733000
1772064000000,TRXUSDT,338717891.00000000,96583797.70866776
1772078400000,TRXUSDT,341312841.00000000,97366314.15207000
1772092800000,TRXUSDT,344239417.00000000,98562258.09686963
1772107200000,TRXUSDT,344640662.00000000,98684651.85195002
1772121600000,TRXUSDT,344044638.00000000,98480445.00485437
1772136000000,TRXUSDT,344059259.00000000,98329548.89657232
1772150400000,TRXUSDT,343294514.00000000,98050145.00679336
1772164800000,TRXUSDT,342510997.00000000,97444440.29847945
1772179200000,TRXUSDT,343512397.00000000,97880185.37762608
1772193600000,TRXUSDT,344527241.00000000,98010899.35806298
1772208000000,TRXUSDT,345445548.00000000,97842746.50263624
1772222400000,TRXUSDT,341074735.00000000,96142146.30180000
1772236800000,TRXUSDT,341219459.00000000,96462860.48611064
1772251200000,TRXUSDT,340992439.00000000,96307602.77219675
1772265600000,TRXUSDT,344525238.00000000,96612714.68436450
1772280000000,TRXUSDT,355761579.00000000,99271711.00416000
1772294400000,TRXUSDT,353815766.00000000,99114410.52958000
1772308800000,TRXUSDT,350987339.00000000,98946082.60483776
1772323200000,TRXUSDT,350856318.00000000,98820092.40709835
1772337600000,TRXUSDT,347248243.00000000,97859409.40783714
1772352000000,TRXUSDT,347278370.00000000,97765806.72240000
1772366400000,TRXUSDT,351080462.00000000,98629030.67885537
1772380800000,TRXUSDT,352291446.00000000,99117198.33210000
1772395200000,TRXUSDT,354603821.00000000,99459279.71408000
1772409600000,TRXUSDT,355912686.00000000,99816926.45095927
1772424000000,TRXUSDT,355216419.00000000,99837389.58429006
1772438400000,TRXUSDT,356636705.00000000,100241529.90229414
1772452800000,TRXUSDT,355559169.00000000,100052703.91764753
1772467200000,TRXUSDT,352795112.00000000,99583476.26424000
1772481600000,TRXUSDT,351477490.00000000,99288876.15010000
1772496000000,TRXUSDT,349842760.00000000,99050980.63880000
1772510400000,TRXUSDT,349069895.00000000,98765836.09130000
1772524800000,TRXUSDT,349733147.00000000,98628856.81847724
1772539200000,TRXUSDT,352208135.00000000,98941516.81589624
1772553600000,TRXUSDT,355816126.00000000,99863353.92316000
1772568000000,TRXUSDT,356842511.00000000,100140713.86193000
1772582400000,TRXUSDT,357366064.00000000,100163653.95807584
1772596800000,TRXUSDT,360337879.00000000,100912623.01395000
1772611200000,TRXUSDT,355758502.00000000,100738797.35937248
1772625600000,TRXUSDT,348906053.00000000,99145144.02048000
1772640000000,TRXUSDT,347219526.00000000,99249229.31184000
1772654400000,TRXUSDT,347964631.00000000,100069721.57430290
1772668800000,TRXUSDT,347302745.00000000,99627619.67949990
1772683200000,TRXUSDT,345536610.00000000,98405799.62729640
1772697600000,TRXUSDT,345032091.00000000,98005606.37794980
1772712000000,TRXUSDT,345380977.00000000,98107756.39272751
1772726400000,TRXUSDT,339205838.00000000,96038429.66511902
1772740800000,TRXUSDT,337958825.00000000,95483506.82725000
