timestamp,symbol,sum_open_interest,sum_open_interest_value
1771574400000,TURTLEUSDT,31270089.00000000,1306464.31842000
1771588800000,TURTLEUSDT,30844262.00000000,1269412.25851148
1771603200000,TURTLEUSDT,30857750.00000000,1290667.36029000
1771617600000,TURTLEUSDT,30649223.00000000,1298508.27502748
1771632000000,TURTLEUSDT,30848723.00000000,1306443.41905000
1771646400000,TURTLEUSDT,30506510.00000000,1292865.89380000
1771660800000,TURTLEUSDT,30888678.00000000,1314931.02246000
1771675200000,TURTLEUSDT,30008894.00000000,1276368.28850200
1771689600000,TURTLEUSDT,30547870.00000000,1289932.68734200
1771704000000,TURTLEUSDT,30283870.00000000,1257387.19091610
1771718400000,TURTLEUSDT,30339637.00000000,1259094.93550000
1771732800000,TURTLEUSDT,30262751.00000000,1256259.75382425
1771747200000,TURTLEUSDT,30043825.00000000,1247154.32702525
1771761600000,TURTLEUSDT,30070715.00000000,1246431.73816430
1771776000000,TURTLEUSDT,29908327.00000000,1231026.73932000
1771790400000,TURTLEUSDT,29864489.00000000,1213991.47785000
1771804800000,TURTLEUSDT,30114430.00000000,1213009.24040000
1771819200000,TURTLEUSDT,29711118.00000000,1163487.38088000
1771833600000,TURTLEUSDT,30176651.00000000,1186743.27261754
1771848000000,TURTLEUSDT,30305504.00000000,1196140.66568768
1771862400000,TURTLEUSDT,30440912.00000000,1184760.29504000
1771876800000,TURTLEUSDT,30340846.00000000,1176921.41634000
1771891200000,TURTLEUSDT,30374468.00000000,1176354.85023588
1771905600000,TURTLEUSDT,31296153.00000000,1207092.62121000
1771920000000,TURTLEUSDT,31230538.00000000,1190510.91930842
1771934400000,TURTLEUSDT,30623533.00000000,1190030.49238000
1771948800000,TURTLEUSDT,30807742.00000000,1206123.09930000
1771963200000,TURTLEUSDT,30830074.00000000,1202462.29321460
1771977600000,TURTLEUSDT,30986029.00000000,1246584.67912566
1771992000000,TURTLEUSDT,30772117.00000000,1255194.65243000
1772006400000,TURTLEUSDT,31202838.00000000,1283060.69856000
1772020800000,TURTLEUSDT,31843935.00000000,1310696.36460000
1772035200000,TURTLEUSDT,31180058.00000000,1278634.93646980
1772049600000,TURTLEUSDT,31024818.00000000,1281635.23158000
