timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,TUTUSDT,228032234.00000000,2516335.70219000
1771574400000,TUTUSDT,227510196.00000000,2525037.83601972
1771588800000,TUTUSDT,227334931.00000000,2518871.03548000
1771603200000,TUTUSDT,221536716.00000000,2441810.91425940
1771617600000,TUTUSDT,221882403.00000000,2454128.09955747
1771632000000,TUTUSDT,221751584.00000000,2476965.19328000
1771646400000,TUTUSDT,220749813.00000000,2484541.35281313
1771660800000,TUTUSDT,219668675.00000000,2445938.20546225
1771675200000,TUTUSDT,218691956.00000000,2469032.18324000
1771689600000,TUTUSDT,218085041.00000000,2441933.09768356
1771704000000,TUTUSDT,217571409.00000000,2422968.76632987
1771718400000,TUTUSDT,216855487.00000000,2390395.86464613
1771732800000,TUTUSDT,219362252.00000000,2381177.24546000
1771747200000,TUTUSDT,220971307.00000000,2398681.10260719
1771761600000,TUTUSDT,221819706.00000000,2412027.55549692
1771776000000,TUTUSDT,223052278.00000000,2381120.98653726
1771790400000,TUTUSDT,222853953.00000000,2373394.59945000
1771804800000,TUTUSDT,222828284.00000000,2364023.14576428
1771819200000,TUTUSDT,219234180.00000000,2199857.14769040
1771833600000,TUTUSDT,220022765.00000000,2261625.00257325
1771848000000,TUTUSDT,220868042.00000000,2279314.01983160
1771862400000,TUTUSDT,220296915.00000000,2223511.83732375
1771876800000,TUTUSDT,215686416.00000000,2090001.37104000
1771891200000,TUTUSDT,220371558.00000000,2136387.66159984
1771905600000,TUTUSDT,221449155.00000000,2161343.75280000
1771920000000,TUTUSDT,220585964.00000000,2168360.02612000
1771934400000,TUTUSDT,219731005.00000000,2124798.81835000
1771948800000,TUTUSDT,221062308.00000000,2162504.44741764
1771963200000,TUTUSDT,220708316.00000000,2141528.37598168
1771977600000,TUTUSDT,220527685.00000000,2117729.56433185
1771992000000,TUTUSDT,220282994.00000000,2145556.36156000
1772006400000,TUTUSDT,221032794.00000000,2153522.51194200
1772020800000,TUTUSDT,221466596.00000000,2211175.64644704
1772035200000,TUTUSDT,218665680.00000000,2249702.48885760
1772049600000,TUTUSDT,216781758.00000000,2314160.44137306
1772064000000,TUTUSDT,217426994.00000000,2319526.39188158
1772078400000,TUTUSDT,219866186.00000000,2311596.12643890
1772092800000,TUTUSDT,217316818.00000000,2241381.75600202
1772107200000,TUTUSDT,215981738.00000000,2209493.17974000
1772121600000,TUTUSDT,214690419.00000000,2185548.46542000
1772136000000,TUTUSDT,211846660.00000000,2146006.66580000
1772150400000,TUTUSDT,212820259.00000000,2153741.02108000
1772164800000,TUTUSDT,213399366.00000000,2203634.40910044
1772179200000,TUTUSDT,214615691.00000000,2231286.36999206
1772193600000,TUTUSDT,215246822.00000000,2203877.77096648
1772208000000,TUTUSDT,213272910.00000000,2165084.73317610
1772222400000,TUTUSDT,213854495.00000000,2149237.67475000
1772236800000,TUTUSDT,213493400.00000000,2147743.60400000
1772251200000,TUTUSDT,214717883.00000000,2143958.06175500
1772265600000,TUTUSDT,214008063.00000000,2021295.45463185
1772280000000,TUTUSDT,216813214.00000000,2011603.84015270
1772294400000,TUTUSDT,218415248.00000000,2048735.02624000
1772308800000,TUTUSDT,218991401.00000000,2160591.06140610
1772323200000,TUTUSDT,218174722.00000000,2203383.60718074
1772337600000,TUTUSDT,216887897.00000000,2244789.73395000
1772352000000,TUTUSDT,214809665.00000000,2213680.18882115
1772366400000,TUTUSDT,212177504.00000000,2148407.56030208
1772380800000,TUTUSDT,209422543.00000000,2082106.14743659
1772395200000,TUTUSDT,207721533.00000000,2017987.68929571
1772409600000,TUTUSDT,208108153.00000000,2017192.32702900
1772424000000,TUTUSDT,208813159.00000000,2060985.87933000
1772438400000,TUTUSDT,210060463.00000000,2025631.95015067
1772452800000,TUTUSDT,210914000.00000000,2060629.78000000
1772467200000,TUTUSDT,213919909.00000000,2184122.27089000
1772481600000,TUTUSDT,214545303.00000000,2218692.36008511
1772496000000,TUTUSDT,212181545.00000000,2182329.62663400
1772510400000,TUTUSDT,214165690.00000000,2238309.87589700
1772524800000,TUTUSDT,214512027.00000000,2255349.42019422
1772539200000,TUTUSDT,211354379.00000000,2152367.47587851
1772553600000,TUTUSDT,211938358.00000000,2176606.93666000
1772568000000,TUTUSDT,213571144.00000000,2296131.13339272
1772582400000,TUTUSDT,214709348.00000000,2314744.98019884
1772596800000,TUTUSDT,212702635.00000000,2279470.32850450
1772611200000,TUTUSDT,209014846.00000000,2226660.23621952
1772625600000,TUTUSDT,208877986.00000000,2219311.89101112
1772640000000,TUTUSDT,210820098.00000000,2271059.50570500
1772654400000,TUTUSDT,212828882.00000000,2303195.85180524
1772668800000,TUTUSDT,212961203.00000000,2270277.16380556
1772683200000,TUTUSDT,211326135.00000000,2228645.41971000
1772697600000,TUTUSDT,210691877.00000000,2197305.58523300
1772712000000,TUTUSDT,209539801.00000000,2220032.28363480
1772726400000,TUTUSDT,209430224.00000000,2184805.41699936
1772740800000,TUTUSDT,208313577.00000000,2133131.02848000
1772755200000,TUTUSDT,207426884.00000000,2120975.15147028
1772769600000,TUTUSDT,208158454.00000000,2123001.82759238
1772784000000,TUTUSDT,210098290.00000000,2143002.55800000
1772798400000,TUTUSDT,211469957.00000000,2149602.68640285
1772812800000,TUTUSDT,212248780.00000000,2122487.80000000
1772827200000,TUTUSDT,212570244.00000000,2146959.46440000
1772841600000,TUTUSDT,212984984.00000000,2139336.19118736
1772856000000,TUTUSDT,214183076.00000000,2148134.16792668
1772870400000,TUTUSDT,216374713.00000000,2233521.48370111
1772884800000,TUTUSDT,215572589.00000000,2226864.84437000
1772899200000,TUTUSDT,212733212.00000000,2167557.84305708
1772913600000,TUTUSDT,213005981.00000000,2177839.18159811
1772928000000,TUTUSDT,211970544.00000000,2132423.67264000
1772942400000,TUTUSDT,210876396.00000000,2079241.26456000
1772956800000,TUTUSDT,211379709.00000000,2087340.80562156
1772971200000,TUTUSDT,210025756.00000000,2102357.81756000
1772985600000,TUTUSDT,212186614.00000000,2106211.01161908
1773000000000,TUTUSDT,212976566.00000000,2130830.54283000
1773014400000,TUTUSDT,213688097.00000000,2111208.48202642
1773028800000,TUTUSDT,214500916.00000000,2142312.88348588
1773043200000,TUTUSDT,212207284.00000000,2162485.59516496
1773057600000,TUTUSDT,212871556.00000000,2169465.56196508
1773072000000,TUTUSDT,212809374.00000000,2338264.27776240
1773086400000,TUTUSDT,227240672.00000000,2547367.93312000
1773100800000,TUTUSDT,229903413.00000000,2510448.71052654
1773115200000,TUTUSDT,233483138.00000000,2654703.27906000
1773129600000,TUTUSDT,235003948.00000000,2668239.52567096
1773144000000,TUTUSDT,232077144.00000000,2651065.95211224
1773158400000,TUTUSDT,227560957.00000000,2578110.90135924
1773172800000,TUTUSDT,224279604.00000000,2507445.97272000
1773187200000,TUTUSDT,222277133.00000000,2452503.63804082
1773201600000,TUTUSDT,221835026.00000000,2373634.77820000
1773216000000,TUTUSDT,222555944.00000000,2393128.48691592
1773230400000,TUTUSDT,223436007.00000000,2399045.81331942
1773244800000,TUTUSDT,223956807.00000000,2456152.21891356
1773259200000,TUTUSDT,224229973.00000000,2484468.10084000
1773273600000,TUTUSDT,221910771.00000000,2517888.37207440
1773288000000,TUTUSDT,218685396.00000000,2451463.28916000
1773302400000,TUTUSDT,218662149.00000000,2456487.75443133
1773316800000,TUTUSDT,216789151.00000000,2424786.65393500
1773331200000,TUTUSDT,215843832.00000000,2441193.73992000
1773345600000,TUTUSDT,212213936.00000000,2421046.93313472
1773360000000,TUTUSDT,212043965.00000000,2390464.91678960
1773374400000,TUTUSDT,211888057.00000000,2398021.89629180
