timestamp,symbol,sum_open_interest,sum_open_interest_value
1771560000000,WCTUSDT,60521534.00000000,3679709.26720000
1771574400000,WCTUSDT,60144048.00000000,3719531.66417856
1771588800000,WCTUSDT,60455964.00000000,3699443.11323504
1771603200000,WCTUSDT,59210577.00000000,3633753.11049000
1771617600000,WCTUSDT,58840674.00000000,3634000.02624000
1771632000000,WCTUSDT,59044449.00000000,3704585.71338168
1771646400000,WCTUSDT,59039068.00000000,3627069.86570544
1771660800000,WCTUSDT,58251802.00000000,3572583.01666000
1771675200000,WCTUSDT,58258862.00000000,3583607.46757160
1771689600000,WCTUSDT,58551373.00000000,3599779.39800110
1771704000000,WCTUSDT,58888476.00000000,3611548.37809836
1771718400000,WCTUSDT,59182407.00000000,3599313.01759296
1771732800000,WCTUSDT,59024825.00000000,3534715.22083475
1771747200000,WCTUSDT,58693665.00000000,3508120.35705000
1771761600000,WCTUSDT,58393932.00000000,3572811.12366516
1771776000000,WCTUSDT,59392046.00000000,3581242.37692410
1771790400000,WCTUSDT,58572116.00000000,3498512.48868000
1771804800000,WCTUSDT,58509491.00000000,3517590.59892000
1771819200000,WCTUSDT,59442394.00000000,3414699.82779882
1771833600000,WCTUSDT,58889958.00000000,3464656.40982576
1771848000000,WCTUSDT,58258274.00000000,3458211.14464000
1771862400000,WCTUSDT,57862972.00000000,3374568.52704000
1771876800000,WCTUSDT,57246392.00000000,3303120.82564744
1771891200000,WCTUSDT,56837869.00000000,3302280.18890000
1771905600000,WCTUSDT,57578468.00000000,3300397.78576000
1771920000000,WCTUSDT,57508331.00000000,3237143.95199000
1771934400000,WCTUSDT,58439449.00000000,3278973.78439059
1771948800000,WCTUSDT,58452745.00000000,3377971.85847355
1771963200000,WCTUSDT,57660896.00000000,3323659.38356608
1771977600000,WCTUSDT,57861735.00000000,3301809.89507565
1771992000000,WCTUSDT,58813875.00000000,3444473.99467125
1772006400000,WCTUSDT,58904478.00000000,3504227.39622000
1772020800000,WCTUSDT,58309065.00000000,3520701.34470000
1772035200000,WCTUSDT,57431529.00000000,3512801.19423087
1772049600000,WCTUSDT,57122353.00000000,3558151.36837000
1772064000000,WCTUSDT,56651669.00000000,3456318.32569000
1772078400000,WCTUSDT,56038083.00000000,3353498.76896643
1772092800000,WCTUSDT,56092941.00000000,3342017.42478000
1772107200000,WCTUSDT,55874987.00000000,3321730.54090871
1772121600000,WCTUSDT,55611296.00000000,3303108.55728256
1772136000000,WCTUSDT,54362307.00000000,3237154.15390539
1772150400000,WCTUSDT,54205420.00000000,3240942.06180000
1772164800000,WCTUSDT,53905540.00000000,3280691.16440000
1772179200000,WCTUSDT,54028553.00000000,3283315.16581000
1772193600000,WCTUSDT,54826130.00000000,3316520.32550800
1772208000000,WCTUSDT,54459545.00000000,3269206.48635000
1772222400000,WCTUSDT,53956488.00000000,3182353.66224000
1772236800000,WCTUSDT,53678545.00000000,3175622.72220000
1772251200000,WCTUSDT,57496853.00000000,3623191.21531591
1772265600000,WCTUSDT,59102841.00000000,3398820.57607449
1772280000000,WCTUSDT,57178654.00000000,3252321.83952000
1772294400000,WCTUSDT,55763518.00000000,3242648.57170000
1772308800000,WCTUSDT,54976121.00000000,3276251.90272489
1772323200000,WCTUSDT,54226974.00000000,3276393.76908000
1772337600000,WCTUSDT,54116056.00000000,3261552.50753704
1772352000000,WCTUSDT,54343731.00000000,3234538.86912000
1772366400000,WCTUSDT,53219295.00000000,3148201.76493465
1772380800000,WCTUSDT,53031884.00000000,3115092.86616000
1772395200000,WCTUSDT,53449602.00000000,3063737.60059224
1772409600000,WCTUSDT,54972150.00000000,3186185.81400000
1772424000000,WCTUSDT,55794162.00000000,3287392.02504000
1772438400000,WCTUSDT,56094221.00000000,3257952.35568000
1772452800000,WCTUSDT,56394728.00000000,3344207.37040000
1772467200000,WCTUSDT,56142150.00000000,3390424.43850000
1772481600000,WCTUSDT,55342625.00000000,3321664.35250000
1772496000000,WCTUSDT,54988605.00000000,3257008.61719905
1772510400000,WCTUSDT,54182117.00000000,3206750.71454639
1772524800000,WCTUSDT,53838482.00000000,3177547.20764000
1772539200000,WCTUSDT,53829326.00000000,3127319.12286244
1772553600000,WCTUSDT,53997014.00000000,3165897.30792358
1772568000000,WCTUSDT,54134393.00000000,3179358.91512405
1772582400000,WCTUSDT,54279875.00000000,3216082.59375000
1772596800000,WCTUSDT,54481931.00000000,3191554.24207655
1772611200000,WCTUSDT,54456462.00000000,3218376.90420000
1772625600000,WCTUSDT,53837148.00000000,3216436.87942536
1772640000000,WCTUSDT,53705756.00000000,3270143.48284000
1772654400000,WCTUSDT,53827460.00000000,3291268.73793340
1772668800000,WCTUSDT,53755151.00000000,3244142.17715285
1772683200000,WCTUSDT,53659873.00000000,3249584.49281589
1772697600000,WCTUSDT,53374789.00000000,3202527.37109175
1772712000000,WCTUSDT,53242306.00000000,3214930.69562106
1772726400000,WCTUSDT,53043308.00000000,3189494.11004000
1772740800000,WCTUSDT,53201396.00000000,3212884.44180808
1772755200000,WCTUSDT,53067903.00000000,3209054.83397919
1772769600000,WCTUSDT,53144814.00000000,3249805.37610000
1772784000000,WCTUSDT,52732928.00000000,3269759.51555584
1772798400000,WCTUSDT,52777127.00000000,3188794.01334000
1772812800000,WCTUSDT,53319016.00000000,3158485.21030000
1772827200000,WCTUSDT,53140771.00000000,3183417.01743256
1772841600000,WCTUSDT,52049366.00000000,3107867.64386000
1772856000000,WCTUSDT,51969037.00000000,3089731.78685284
1772870400000,WCTUSDT,51979641.00000000,3082748.77184085
1772884800000,WCTUSDT,51723338.00000000,3057883.74256000
1772899200000,WCTUSDT,51790344.00000000,2986856.86239552
1772913600000,WCTUSDT,51655778.00000000,2975889.37058000
1772928000000,WCTUSDT,51635988.00000000,2979396.50760000
1772942400000,WCTUSDT,51908549.00000000,2945818.98020333
1772956800000,WCTUSDT,52020397.00000000,2979963.99255841
1772971200000,WCTUSDT,51993437.00000000,2956346.82782000
1772985600000,WCTUSDT,51980253.00000000,2939483.30715000
1773000000000,WCTUSDT,51627853.00000000,2953629.47013000
1773014400000,WCTUSDT,51381555.00000000,2888671.02210000
1773028800000,WCTUSDT,51014983.00000000,2921017.93721332
1773043200000,WCTUSDT,50682532.00000000,2911711.46340000
1773057600000,WCTUSDT,51129906.00000000,2922074.12790000
1773072000000,WCTUSDT,51044875.00000000,2961623.64750000
1773086400000,WCTUSDT,50864349.00000000,2957938.90228452
1773100800000,WCTUSDT,50967344.00000000,2921143.88303632
1773115200000,WCTUSDT,51297597.00000000,2958332.41899000
1773129600000,WCTUSDT,51208672.00000000,2960885.41504000
1773144000000,WCTUSDT,51959699.00000000,3008263.40967691
1773158400000,WCTUSDT,51980794.00000000,3015554.52501084
1773172800000,WCTUSDT,52733772.00000000,2982515.62210056
1773187200000,WCTUSDT,52509341.00000000,2995657.90405000
1773201600000,WCTUSDT,52689411.00000000,2963090.71814823
1773216000000,WCTUSDT,52609328.00000000,2960650.43392720
1773230400000,WCTUSDT,52104503.00000000,2930032.11662128
1773244800000,WCTUSDT,52517774.00000000,2987736.16286000
1773259200000,WCTUSDT,52516802.00000000,2980853.68152000
1773273600000,WCTUSDT,52612925.00000000,2996832.20800000
1773288000000,WCTUSDT,57274043.00000000,3469661.52494000
1773302400000,WCTUSDT,56630059.00000000,3368430.66099788
1773316800000,WCTUSDT,55739970.00000000,3373940.38410000
1773331200000,WCTUSDT,59501560.00000000,3590591.88742000
1773345600000,WCTUSDT,59523535.00000000,3622007.10475000
1773360000000,WCTUSDT,59723642.00000000,3619849.94162000
1773374400000,WCTUSDT,62210103.00000000,3772332.92967477
1773388800000,WCTUSDT,61024026.00000000,3684965.71178274
1773403200000,WCTUSDT,60681738.00000000,3639335.05025532
1773417600000,WCTUSDT,59359724.00000000,3602619.41079844
1773432000000,WCTUSDT,58782474.00000000,3531651.03792000
1773446400000,WCTUSDT,58374032.00000000,3512402.28108016
1773460800000,WCTUSDT,58131060.00000000,3501233.74380000
1773475200000,WCTUSDT,53363395.00000000,3111695.87210485
1773489600000,WCTUSDT,52834611.00000000,3077376.74996217
1773504000000,WCTUSDT,52617850.00000000,3057870.56739500
1773518400000,WCTUSDT,52534788.00000000,3031110.17019360
1773532800000,WCTUSDT,52668589.00000000,3044771.13009000
1773547200000,WCTUSDT,53135526.00000000,3052614.18313434
1773561600000,WCTUSDT,53221856.00000000,3054402.31584000
1773576000000,WCTUSDT,53272953.00000000,3062662.06797000
1773590400000,WCTUSDT,52588074.00000000,3026443.65870000
1773604800000,WCTUSDT,52294300.00000000,3023133.48300000
1773619200000,WCTUSDT,52364849.00000000,3041350.42992000
1773633600000,WCTUSDT,52021138.00000000,3072638.92019760
1773648000000,WCTUSDT,51852989.00000000,3076437.83737000
1773662400000,WCTUSDT,51497674.00000000,3065817.20596288
1773676800000,WCTUSDT,51393061.00000000,3045038.86425000
1773691200000,WCTUSDT,51867960.00000000,3109505.46786360
1773705600000,WCTUSDT,52112868.00000000,3185133.28087320
1773720000000,WCTUSDT,56225863.00000000,3474196.07477000
1773734400000,WCTUSDT,54990928.00000000,3401738.80608000
1773748800000,WCTUSDT,54985974.00000000,3411252.29673666
1773763200000,WCTUSDT,54346689.00000000,3318344.15778009
1773777600000,WCTUSDT,54064478.00000000,3279551.23548000
1773792000000,WCTUSDT,53141621.00000000,3218787.98397000
1773806400000,WCTUSDT,55912675.00000000,3420737.45650000
1773820800000,WCTUSDT,54676138.00000000,3398121.97670000
1773835200000,WCTUSDT,52984736.00000000,3222001.79616000
1773849600000,WCTUSDT,52377304.00000000,3130605.60195208
1773864000000,WCTUSDT,52172667.00000000,3143920.73960664
1773878400000,WCTUSDT,52119745.00000000,3247060.11350000
1773892800000,WCTUSDT,52164990.00000000,3203973.68580000
1773907200000,WCTUSDT,52647083.00000000,3232779.91690259
1773921600000,WCTUSDT,50514800.00000000,3075065.71834000
1773936000000,WCTUSDT,50319452.00000000,3080387.27488676
1773950400000,WCTUSDT,49910199.00000000,3051478.12343463
1773964800000,WCTUSDT,49770737.00000000,3080986.30183109
